Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,LeBron James,22,CLE,SF,78,78,3190,0.476,12.2,0.809,0.333,0.125,0.111,0.241,0.191,0.513,0.725,0.406,0.361,0.346,0.319,0.321,0.495,0.068,108,0.145,0.444,5,1,MVP-5ASNBA2,jamesle01
2,Kobe Bryant,28,LAL,SG,77,77,3140,0.463,14.5,0.773,0.223,0.09,0.14,0.321,0.227,0.497,0.619,0.468,0.488,0.426,0.344,0.351,0.642,0.038,59,0.08,0.375,2,0,MVP-3DPOY-24ASNBA1,bryanko01
3,Vince Carter,30,NJN,SG,82,82,3126,0.454,12.9,0.727,0.331,0.109,0.064,0.223,0.273,0.491,0.582,0.437,0.382,0.413,0.357,0.453,0.814,0.057,86,0.119,0.442,1,0,AS,cartevi01
4,Elton Brand,27,LAC,PF,80,80,3077,0.533,9.1,0.999,0.265,0.226,0.339,0.168,0.001,0.532,0.688,0.547,0.462,0.407,1,0.624,1,0.051,60,0,,0,0,,brandel01
5,Luol Deng,21,CHI,SF,82,82,3071,0.517,10.3,0.994,0.369,0.105,0.103,0.418,0.006,0.519,0.668,0.422,0.416,0.438,0.143,0.693,1,0.076,90,0.286,0.5,2,0,DPOY-20,denglu01
6,Andre Iguodala,23,PHI,SG,76,76,3062,0.447,11.9,0.844,0.367,0.054,0.107,0.315,0.156,0.472,0.64,0.259,0.302,0.372,0.31,0.468,0.792,0.126,120,0.245,0.263,2,0,DPOY-24,iguodan01
7,Rafer Alston,30,HOU,PG,82,82,3040,0.375,16.4,0.481,0.22,0.113,0.043,0.106,0.519,0.389,0.487,0.348,0.227,0.296,0.363,0.272,0.797,0,0,0.174,0.272,0,0,,alstora01
8,Dwight Howard,21,ORL,C,82,82,3023,0.603,2.7,0.998,0.627,0.331,0.037,0.003,0.002,0.603,0.72,0.429,0.188,0.333,0.5,0.556,1,0.312,254,0,,0,0,DPOY-16ASNBA3,howardw01
9,Ricky Davis,27,MIN,SF,81,81,3021,0.465,16.3,0.715,0.18,0.046,0.129,0.36,0.285,0.492,0.638,0.4,0.426,0.454,0.397,0.54,0.902,0.035,34,0.284,0.398,8,1,,davisri01
10,Shawn Marion,28,PHO,SF,80,80,3010,0.524,9.8,0.765,0.415,0.156,0.125,0.068,0.235,0.587,0.726,0.473,0.448,0.26,0.317,0.748,0.975,0.171,169,0.46,0.336,3,0,DPOY-4AS,mariosh01
11,Tayshaun Prince,26,DET,SF,82,82,3001,0.46,11.7,0.789,0.299,0.177,0.131,0.183,0.211,0.48,0.611,0.42,0.344,0.423,0.386,0.561,0.938,0.069,66,0.524,0.445,1,0,DPOY-11,princta01
