Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Allen Iverson,32,DEN,SG,82,82,3424,0.458,11.8,0.823,0.303,0.136,0.154,0.23,0.177,0.482,0.578,0.436,0.429,0.416,0.345,0.222,0.811,0.001,2,0.138,0.316,2,0,AS,iversal01
2,Joe Johnson,26,ATL,SG,82,82,3343,0.432,15,0.703,0.186,0.154,0.113,0.251,0.297,0.454,0.55,0.5,0.426,0.367,0.381,0.372,0.781,0.009,12,0.27,0.383,6,1,AS,johnsjo02
3,Andre Iguodala,24,PHI,SF,82,82,3242,0.456,14.1,0.76,0.28,0.059,0.106,0.316,0.24,0.496,0.689,0.387,0.289,0.414,0.329,0.466,0.772,0.114,141,0.29,0.326,9,1,,iguodan01
4,Richard Jefferson,27,NJN,SF,82,82,3200,0.466,11.7,0.84,0.373,0.068,0.078,0.32,0.16,0.486,0.599,0.378,0.356,0.409,0.362,0.738,0.961,0.074,90,0.286,0.426,0,0,,jefferi01
5,Baron Davis,28,GSW,PG,82,82,3196,0.426,13.8,0.656,0.307,0.125,0.085,0.14,0.344,0.477,0.609,0.366,0.349,0.362,0.33,0.199,0.468,0.011,16,0.118,0.242,9,0,,davisba01
6,Kobe Bryant,29,LAL,SG,82,82,3192,0.459,14.4,0.754,0.246,0.087,0.129,0.292,0.246,0.49,0.637,0.544,0.436,0.374,0.361,0.333,0.68,0.049,80,0.07,0.414,6,0,MVP-1DPOY-5ASNBA1,bryanko01
7,Jamal Crawford,27,NYK,SG,80,80,3190,0.41,16.6,0.645,0.138,0.104,0.143,0.26,0.355,0.439,0.448,0.389,0.427,0.461,0.356,0.292,0.688,0.007,6,0.283,0.421,5,0,,crawfja01
8,Jason Richardson,27,CHA,SF,82,82,3149,0.441,15.3,0.592,0.272,0.058,0.063,0.198,0.408,0.466,0.565,0.4,0.323,0.395,0.406,0.484,0.881,0.046,60,0.367,0.382,1,0,,richaja01
9,Dwight Howard,22,ORL,C,82,82,3088,0.599,3.4,0.996,0.584,0.348,0.057,0.006,0.004,0.601,0.756,0.401,0.25,0.5,0,0.678,,0.297,269,0,,3,0,MVP-5DPOY-7ASNBA1,howardw01
10,Rashard Lewis,28,ORL,PF,81,81,3076,0.455,16.3,0.513,0.182,0.121,0.122,0.088,0.487,0.498,0.618,0.438,0.413,0.45,0.409,0.434,0.929,0.026,27,0.266,0.429,5,0,,lewisra02
11,Monta Ellis,22,GSW,SG,81,72,3071,0.531,9.6,0.958,0.426,0.11,0.092,0.329,0.042,0.545,0.675,0.43,0.46,0.438,0.231,0.455,0.917,0.059,69,0.481,0.36,1,0,,ellismo01
12,Antawn Jamison,31,WAS,PF,79,79,3061,0.436,12.9,0.75,0.238,0.222,0.101,0.19,0.25,0.468,0.641,0.452,0.329,0.346,0.339,0.552,0.95,0.007,10,0.178,0.349,1,0,MVP-14AS,jamisan01
13,Deron Williams,23,UTA,PG,82,82,3059,0.507,11.9,0.812,0.38,0.066,0.073,0.293,0.188,0.533,0.616,0.486,0.469,0.45,0.395,0.34,0.639,0.016,15,0.057,0.417,5,0,MVP-12NBA2,willide01
14,LeBron James,23,CLE,SF,75,74,3027,0.484,12.2,0.781,0.373,0.09,0.08,0.238,0.219,0.531,0.706,0.426,0.303,0.372,0.315,0.333,0.398,0.069,109,0.095,0.353,2,0,MVP-4ASNBA1,jamesle01
15,Hedo Türkoğlu,28,ORL,SF,82,82,3026,0.456,13.6,0.66,0.317,0.081,0.126,0.135,0.34,0.485,0.587,0.364,0.392,0.406,0.4,0.246,0.777,0.025,25,0.176,0.479,4,0,MIP-1,turkohe01
16,Andre Miller,31,PHI,PG,82,82,3016,0.492,10.2,0.971,0.312,0.132,0.304,0.221,0.029,0.504,0.62,0.497,0.466,0.398,0.088,0.32,0.667,0.001,1,0.059,0,11,0,,millean02
17,Chris Paul,22,NOH,PG,80,80,3006,0.488,12.7,0.807,0.23,0.192,0.161,0.224,0.193,0.516,0.616,0.524,0.447,0.457,0.369,0.102,0.685,0.006,8,0.048,0.5,2,0,MVP-2DPOY-7ASNBA1,paulch01
18,Rudy Gay,21,MEM,SF,81,81,3000,0.461,13.8,0.714,0.269,0.121,0.123,0.201,0.286,0.507,0.616,0.463,0.398,0.454,0.346,0.297,0.858,0.095,115,0.186,0.472,9,0,,gayru01
19,Raymond Felton,23,CHA,PG,79,79,2972,0.413,13.1,0.799,0.339,0.064,0.063,0.333,0.201,0.447,0.497,0.5,0.429,0.389,0.28,0.185,0.696,0.002,1,0.175,0.286,4,0,,feltora01
20,Ricky Davis,28,MIA,SF,82,47,2963,0.433,16.7,0.657,0.179,0.054,0.107,0.317,0.343,0.447,0.609,0.346,0.452,0.37,0.405,0.516,0.911,0.023,19,0.243,0.457,2,0,,davisri01
21,Vince Carter,31,NJN,SG,76,72,2959,0.456,12.8,0.788,0.316,0.094,0.11,0.267,0.212,0.482,0.558,0.455,0.472,0.407,0.359,0.458,0.786,0.061,71,0.165,0.467,3,0,,cartevi01
22,Mike Dunleavy,27,IND,SG,82,82,2953,0.476,14.7,0.652,0.26,0.106,0.064,0.222,0.348,0.504,0.641,0.449,0.375,0.407,0.424,0.572,0.952,0.011,11,0.249,0.474,1,0,,dunlemi02
23,Lamar Odom,28,LAL,PF,77,77,2921,0.525,8.2,0.858,0.531,0.109,0.058,0.16,0.142,0.566,0.656,0.414,0.435,0.417,0.274,0.606,0.871,0.092,66,0.248,0.214,0,0,,odomla01
24,Al Jefferson,23,MIN,C,82,82,2919,0.5,6.9,0.997,0.35,0.356,0.206,0.084,0.003,0.502,0.669,0.456,0.38,0.298,0,0.51,,0.076,97,0,,3,0,,jeffeal01
25,Shane Battier,29,HOU,SF,80,78,2907,0.428,17.8,0.404,0.158,0.099,0.079,0.068,0.596,0.504,0.582,0.41,0.469,0.5,0.377,0.54,0.957,0.003,0,0.444,0.402,1,0,DPOY-3,battish01
26,Jason Kidd,34,2TM,PG,80,80,2906,0.385,16.1,0.607,0.212,0.045,0.077,0.272,0.393,0.387,0.494,0.139,0.279,0.375,0.381,0.36,0.916,0.001,0,0.17,0.358,3,0,AS,kiddja01
27,Jason Kidd,34,NJN,PG,51,51,1895,0.366,17.8,0.57,0.173,0.031,0.084,0.282,0.43,0.374,0.442,0.118,0.304,0.381,0.356,0.385,0.917,0.002,0,0.178,0.357,2,0,,kiddja01
28,Jason Kidd,34,DAL,PG,29,29,1011,0.426,14.4,0.689,0.299,0.078,0.061,0.25,0.311,0.411,0.562,0.158,0.2,0.361,0.461,0.319,0.914,0,0,0.145,0.364,1,0,,kiddja01
29,Danny Granger,24,IND,SF,80,80,2876,0.446,15.6,0.649,0.221,0.1,0.078,0.25,0.351,0.468,0.56,0.446,0.415,0.412,0.404,0.454,0.982,0.026,28,0.128,0.444,1,0,,grangda01
30,Paul Pierce,30,BOS,SF,80,80,2874,0.464,14.2,0.668,0.287,0.072,0.131,0.178,0.332,0.499,0.61,0.418,0.41,0.421,0.392,0.322,0.881,0.016,16,0.107,0.436,1,0,MVP-14ASNBA3,piercpa01
31,Josh Smith,22,ATL,PF,81,81,2873,0.457,8.6,0.913,0.434,0.196,0.085,0.198,0.087,0.477,0.663,0.329,0.271,0.304,0.253,0.629,0.92,0.099,109,0.283,0.214,1,0,DPOY-6,smithjo03
32,David West,27,NOH,PF,76,76,2870,0.482,9.9,0.981,0.299,0.204,0.187,0.291,0.019,0.487,0.582,0.432,0.422,0.468,0.24,0.567,1,0.045,52,0.12,0.333,1,0,AS,westda01
33,Stephen Jackson,29,GSW,SF,73,73,2855,0.405,16.1,0.584,0.221,0.115,0.062,0.186,0.416,0.435,0.605,0.333,0.253,0.357,0.363,0.304,0.819,0.015,17,0.104,0.538,3,0,,jacksst02
34,Carlos Boozer,26,UTA,PF,81,81,2827,0.547,7.8,0.999,0.405,0.185,0.182,0.227,0.001,0.547,0.684,0.454,0.449,0.458,0,0.709,,0.052,60,0,,1,0,MVP-14ASNBA3,boozeca01
35,Carmelo Anthony,23,DEN,SF,77,77,2806,0.492,10.9,0.889,0.375,0.084,0.146,0.285,0.111,0.509,0.65,0.323,0.366,0.45,0.354,0.554,0.966,0.088,123,0.098,0.375,8,0,MVP-13AS,anthoca01
36,Brandon Roy,23,POR,SG,74,74,2792,0.454,13.1,0.816,0.25,0.139,0.124,0.303,0.184,0.48,0.62,0.38,0.4,0.442,0.34,0.275,0.877,0.017,19,0.274,0.356,2,0,AS,roybr01
37,Tyson Chandler,25,NOH,C,79,79,2783,0.623,2.1,0.998,0.744,0.225,0.026,0.003,0.002,0.624,0.72,0.331,0.5,0,0,0.61,,0.331,193,0,,1,0,DPOY-11,chandty01
38,Steve Nash,33,PHO,PG,81,81,2780,0.504,17.2,0.604,0.14,0.071,0.153,0.24,0.396,0.527,0.607,0.382,0.517,0.528,0.47,0.105,0.425,0,0,0.06,0.478,0,0,MVP-9ASNBA2,nashst01
39,Dirk Nowitzki,29,DAL,PF,77,77,2769,0.479,13.9,0.833,0.17,0.105,0.264,0.294,0.167,0.504,0.592,0.42,0.484,0.5,0.359,0.486,0.962,0.014,19,0.091,0.35,1,0,MVP-11ASNBA2,nowitdi01
40,Kevin Durant,19,SEA,SG,80,80,2768,0.43,12.8,0.85,0.259,0.121,0.152,0.318,0.15,0.455,0.607,0.376,0.341,0.415,0.288,0.555,0.932,0.07,92,0.078,0.375,1,0,ROY-1,duranke01
41,Marvin Williams,21,ATL,SF,80,80,2765,0.462,11.6,0.989,0.284,0.117,0.113,0.475,0.011,0.466,0.586,0.393,0.288,0.454,0.1,0.754,1,0.087,72,0.5,0,1,0,,willima02
42,Marcus Camby,33,DEN,C,79,79,2758,0.45,9.3,0.969,0.425,0.096,0.118,0.329,0.031,0.455,0.559,0.426,0.387,0.354,0.3,0.743,1,0.115,66,0.6,0.333,0,0,DPOY-2,cambyma01
43,Josh Howard,27,DAL,SF,76,76,2757,0.455,13.6,0.832,0.2,0.137,0.192,0.302,0.168,0.482,0.672,0.456,0.421,0.407,0.319,0.436,0.94,0.019,24,0.224,0.34,5,0,,howarjo01
44,Samuel Dalembert,26,PHI,C,82,82,2724,0.513,6,0.998,0.533,0.138,0.203,0.126,0.002,0.514,0.642,0.33,0.425,0.313,0,0.664,,0.23,136,1,0,0,0,DPOY-13,dalemsa01
45,Andrew Bogut,23,MIL,C,78,78,2720,0.511,3.9,0.992,0.557,0.336,0.054,0.045,0.008,0.515,0.598,0.448,0.224,0.341,0,0.602,,0.116,102,0,,0,0,,bogutan01
46,Emeka Okafor,25,CHA,C,82,82,2718,0.535,4.4,1,0.502,0.343,0.141,0.014,0,0.535,0.671,0.427,0.298,0.667,,0.711,,0.162,123,,,0,0,,okafoem01
47,Peja Stojaković,30,NOH,SF,77,77,2711,0.44,18.5,0.489,0.128,0.046,0.083,0.233,0.511,0.438,0.565,0.426,0.353,0.402,0.441,0.645,0.974,0.005,5,0.279,0.479,0,0,,stojape01
48,Cuttino Mobley,32,LAC,SG,77,38,2702,0.433,15,0.779,0.183,0.07,0.207,0.32,0.221,0.457,0.553,0.508,0.472,0.381,0.349,0.513,0.97,0.02,17,0.339,0.385,2,0,,moblecu01
49,Michael Redd,28,MIL,SG,72,71,2702,0.442,13.5,0.711,0.28,0.097,0.147,0.187,0.289,0.475,0.555,0.467,0.432,0.395,0.362,0.39,0.792,0.003,3,0.203,0.493,0,0,,reddmi01
50,Tayshaun Prince,27,DET,SF,82,82,2694,0.448,12.3,0.845,0.289,0.126,0.126,0.304,0.155,0.463,0.629,0.364,0.322,0.406,0.363,0.535,0.962,0.062,55,0.432,0.413,1,0,DPOY-10,princta01
51,Amar'e Stoudemire,25,PHO,C,79,79,2677,0.59,7,0.974,0.453,0.229,0.123,0.169,0.026,0.601,0.734,0.458,0.53,0.488,0.161,0.701,0.4,0.182,211,0.29,0.333,1,0,MVP-6ASNBA2,stoudam01
52,Tim Duncan,31,SAS,C,78,78,2651,0.497,7.2,0.997,0.34,0.365,0.171,0.121,0.003,0.498,0.696,0.412,0.353,0.408,0,0.509,,0.037,43,0.25,0,1,0,MVP-7DPOY-9ASNBA2,duncati01
