Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Mikal Bridges,26,2TM,SG,83,83,2963,0.468,14.6,0.651,0.17,0.176,0.227,0.078,0.349,0.514,0.693,0.466,0.469,0.364,0.382,0.538,0.923,0.028,31,0.434,0.448,2,0,,bridgmi01
2,Mikal Bridges,26,PHO,SF,56,56,2040,0.463,14.1,0.658,0.185,0.177,0.224,0.073,0.342,0.503,0.709,0.422,0.468,0.286,0.387,0.605,0.98,0.035,24,0.46,0.475,1,0,,bridgmi01
3,Mikal Bridges,26,BRK,SG,27,27,923,0.475,15.1,0.64,0.147,0.175,0.233,0.085,0.36,0.531,0.662,0.534,0.47,0.465,0.376,0.439,0.838,0.016,7,0.398,0.403,1,0,,bridgmi01
4,Anthony Edwards,21,MIN,SG,79,79,2842,0.459,13.9,0.625,0.295,0.154,0.075,0.102,0.375,0.513,0.674,0.376,0.383,0.35,0.369,0.348,0.516,0.044,59,0.097,0.446,3,0,AS,edwaran01
5,Zach LaVine,27,CHI,SG,77,77,2768,0.485,14.9,0.608,0.284,0.112,0.067,0.145,0.392,0.556,0.693,0.442,0.441,0.428,0.375,0.335,0.647,0.042,56,0.138,0.467,0,0,,lavinza01
6,Nikola Vučević,32,CHI,C,82,82,2746,0.52,12.8,0.698,0.235,0.258,0.126,0.078,0.302,0.594,0.704,0.601,0.462,0.456,0.349,0.735,1,0.039,37,0.124,0.465,0,0,,vucevni01
7,Julius Randle,28,NYK,PF,77,77,2737,0.459,15.3,0.556,0.22,0.149,0.123,0.064,0.444,0.553,0.679,0.519,0.443,0.407,0.343,0.382,0.752,0.051,62,0.142,0.333,2,0,CPOY-14ASNBA3,randlju01
8,Domantas Sabonis,26,SAC,C,79,79,2736,0.615,6.2,0.912,0.483,0.314,0.044,0.058,0.088,0.639,0.764,0.502,0.512,0.444,0.373,0.57,0.968,0.092,79,0.12,0.2,1,0,MVP-7ASNBA3,sabondo01
9,Jayson Tatum,24,BOS,SF,74,74,2732,0.466,14.8,0.56,0.235,0.208,0.058,0.06,0.44,0.558,0.738,0.457,0.389,0.366,0.35,0.515,0.646,0.065,91,0.08,0.455,0,0,MVP-4CPOY-10ASNBA1,tatumja01
10,Spencer Dinwiddie,29,2TM,SG,79,79,2725,0.438,15.5,0.533,0.186,0.206,0.092,0.05,0.467,0.498,0.646,0.417,0.423,0.423,0.369,0.118,0.602,0.021,17,0.182,0.506,1,0,,dinwisp01
11,Spencer Dinwiddie,29,DAL,SG,53,53,1808,0.455,16,0.509,0.184,0.197,0.079,0.048,0.491,0.504,0.641,0.401,0.473,0.455,0.405,0.135,0.63,0.023,11,0.211,0.556,1,0,,dinwisp01
12,Spencer Dinwiddie,29,BRK,PG,26,26,917,0.404,15,0.581,0.188,0.222,0.118,0.053,0.419,0.488,0.657,0.443,0.357,0.368,0.289,0.089,0.512,0.017,6,0.114,0.294,0,0,,dinwisp01
13,Evan Mobley,21,CLE,PF,79,79,2715,0.554,7.2,0.892,0.404,0.32,0.122,0.035,0.108,0.595,0.817,0.409,0.362,0.455,0.216,0.724,0.955,0.237,214,0.392,0.2,0,0,DPOY-3,mobleev01
14,Dejounte Murray,26,ATL,SG,74,74,2693,0.464,14.3,0.707,0.158,0.155,0.227,0.158,0.293,0.514,0.697,0.431,0.455,0.486,0.344,0.192,0.722,0.016,21,0.222,0.442,0,0,,murrade01
15,DeMar DeRozan,33,CHI,SF,74,74,2682,0.504,13.7,0.891,0.165,0.125,0.263,0.338,0.109,0.526,0.735,0.491,0.499,0.459,0.324,0.244,0.848,0.023,29,0.31,0.318,1,0,CPOY-3AS,derozde01
16,Scottie Barnes,21,TOR,SF,77,76,2678,0.456,10.7,0.78,0.275,0.317,0.096,0.082,0.22,0.505,0.685,0.45,0.296,0.361,0.281,0.485,0.841,0.086,82,0.339,0.316,4,0,,barnesc01
17,Harrison Barnes,30,SAC,PF,82,82,2662,0.473,13.6,0.554,0.255,0.23,0.053,0.008,0.446,0.553,0.713,0.407,0.429,0.333,0.374,0.57,0.924,0.062,46,0.365,0.395,2,0,,barneha02
18,Pascal Siakam,28,TOR,PF,71,71,2652,0.48,12.2,0.781,0.192,0.292,0.159,0.126,0.219,0.523,0.75,0.474,0.469,0.37,0.324,0.311,0.849,0.025,32,0.199,0.351,3,0,AS,siakapa01
19,CJ McCollum,31,NOP,PG,75,75,2649,0.437,16,0.596,0.108,0.208,0.148,0.125,0.404,0.469,0.621,0.443,0.513,0.327,0.389,0.295,0.754,0.004,3,0.107,0.328,0,0,,mccolcj01
20,Franz Wagner,21,ORL,SF,80,80,2609,0.485,12,0.678,0.27,0.311,0.063,0.034,0.322,0.544,0.728,0.42,0.414,0.447,0.361,0.464,0.8,0.03,29,0.172,0.435,4,0,,wagnefr01
21,Jalen Green,20,HOU,SG,76,76,2602,0.416,15.2,0.592,0.202,0.212,0.079,0.1,0.408,0.471,0.591,0.406,0.467,0.368,0.338,0.351,0.572,0.046,53,0.128,0.324,4,0,,greenja05
22,Bam Adebayo,25,MIA,C,75,75,2598,0.54,7.3,0.989,0.295,0.379,0.26,0.047,0.011,0.545,0.714,0.479,0.497,0.288,0.083,0.594,1,0.136,139,0,,1,0,DPOY-5AS,adebaba01
23,Trae Young,24,ATL,PG,73,73,2541,0.429,14.9,0.669,0.155,0.243,0.147,0.114,0.331,0.476,0.546,0.426,0.527,0.409,0.335,0.167,0.318,0,0,0.05,0.304,2,0,,youngtr01
24,Fred VanVleet,28,TOR,PG,69,69,2535,0.393,18.4,0.455,0.12,0.144,0.088,0.101,0.545,0.455,0.586,0.375,0.398,0.455,0.342,0.187,0.585,0,0,0.119,0.431,6,0,,vanvlfr01
25,Buddy Hield,30,IND,SF,80,73,2482,0.458,19.2,0.348,0.151,0.084,0.044,0.066,0.652,0.518,0.688,0.345,0.413,0.42,0.425,0.556,0.878,0.012,12,0.167,0.478,1,0,,hieldbu01
26,RJ Barrett,22,NYK,SG,73,73,2475,0.434,11.5,0.668,0.299,0.287,0.06,0.023,0.332,0.495,0.642,0.401,0.3,0.259,0.31,0.424,0.926,0.029,29,0.29,0.319,0,0,,barrerj01
