Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Michael Finley,26,DAL,SF,82,82,3464,0.457,13.8,0.849,0.16,0.175,0.23,0.284,0.151,0.467,0.698,0.385,0.41,0.434,0.401,0.421,0.939,0.043,68,0.304,0.48,5,1,MVP-13AS,finlemi01
2,Gary Payton,31,SEA,PG,82,82,3425,0.448,13.8,0.688,0.228,0.206,0.102,0.151,0.312,0.497,0.739,0.395,0.347,0.373,0.34,0.314,0.633,0,0,0.181,0.33,1,0,MVP-6DPOY-5ASNBA1,paytoga01
3,Latrell Sprewell,29,NYK,SF,82,82,3276,0.435,13.1,0.903,0.2,0.157,0.269,0.277,0.097,0.445,0.609,0.332,0.376,0.457,0.346,0.349,0.841,0.025,29,0.276,0.4,1,0,,sprewla01
4,Kevin Garnett,23,MIN,PF,81,81,3243,0.497,12,0.947,0.183,0.244,0.223,0.296,0.053,0.504,0.724,0.485,0.39,0.471,0.37,0.69,0.9,0.063,92,0.136,0.182,0,0,MVP-2DPOY-7ASNBA1,garneke01
5,Shareef Abdur-Rahim,23,VAN,SF,82,82,3223,0.465,9.8,0.925,0.306,0.284,0.151,0.183,0.075,0.478,0.652,0.41,0.358,0.393,0.302,0.494,1,0.086,101,0.563,0.37,2,0,,abdursh01
6,Allan Houston,28,NYK,SG,82,82,3169,0.483,15.6,0.809,0.129,0.091,0.257,0.332,0.191,0.494,0.47,0.371,0.489,0.54,0.436,0.451,0.896,0.009,7,0.309,0.453,3,0,AS,houstal01
7,Shaquille O'Neal,27,LAL,C,79,79,3163,0.574,5.8,0.999,0.402,0.499,0.096,0.002,0.001,0.575,0.776,0.448,0.394,0.5,0,0.628,,0.147,236,0,,0,0,MVP-1DPOY-2ASNBA1,onealsh01
8,Mike Bibby,21,VAN,PG,82,82,3155,0.445,15.2,0.794,0.176,0.115,0.104,0.4,0.206,0.466,0.547,0.37,0.477,0.456,0.363,0.288,0.948,0.002,2,0.132,0.5,1,0,,bibbymi01
9,Jerry Stackhouse,25,DET,SG,82,82,3148,0.428,13.5,0.801,0.357,0.082,0.127,0.236,0.199,0.462,0.585,0.297,0.342,0.399,0.288,0.485,0.88,0.097,132,0.33,0.389,2,0,AS,stackje01
10,Anthony Mason,33,CHH,SF,82,81,3133,0.48,8.2,0.998,0.41,0.28,0.268,0.041,0.002,0.48,0.572,0.411,0.429,0.37,0,0.603,,0.02,9,0,,0,0,DPOY-8,masonan01
11,Vince Carter,23,TOR,SF,82,82,3126,0.465,13.7,0.861,0.217,0.143,0.207,0.294,0.139,0.475,0.671,0.397,0.382,0.433,0.403,0.541,0.821,0.082,131,0.131,0.516,5,0,MVP-10ASNBA3,cartevi01
12,Michael Dickerson,24,VAN,SG,82,82,3103,0.436,13.5,0.771,0.227,0.15,0.146,0.249,0.229,0.444,0.667,0.305,0.303,0.408,0.409,0.637,0.924,0.049,56,0.388,0.442,0,0,,dickemi01
13,Ray Allen,24,MIL,SG,82,82,3070,0.455,15.1,0.712,0.195,0.128,0.223,0.166,0.288,0.468,0.596,0.414,0.417,0.427,0.423,0.421,0.855,0.043,54,0.273,0.459,12,0,AS,allenra02
14,Antoine Walker,23,BOS,PF,82,82,3003,0.43,9.6,0.811,0.345,0.344,0.064,0.057,0.189,0.471,0.577,0.423,0.361,0.244,0.256,0.459,0.986,0.024,34,0.2,0.316,0,0,,walkean02
15,Elton Brand,20,CHI,PF,81,80,2999,0.482,8.1,0.998,0.335,0.375,0.227,0.062,0.002,0.483,0.609,0.447,0.375,0.42,0,0.638,,0.042,49,0.5,0,0,0,ROY-1,brandel01
16,Reggie Miller,34,IND,SG,81,81,2987,0.448,17,0.612,0.115,0.101,0.149,0.247,0.388,0.473,0.683,0.4,0.368,0.467,0.408,0.631,0.855,0.004,4,0.354,0.476,0,0,MVP-13AS,millere01
17,Dikembe Mutombo,33,ATL,C,82,82,2984,0.562,6.3,1,0.372,0.489,0.136,0.003,0,0.562,0.728,0.486,0.385,0.5,,0.357,,0.147,78,,,0,0,DPOY-3AS,mutomdi01
18,Jalen Rose,27,IND,SF,80,80,2978,0.471,13.7,0.836,0.127,0.204,0.207,0.298,0.164,0.486,0.625,0.52,0.395,0.466,0.393,0.527,0.948,0.015,16,0.367,0.389,0,0,MVP-13MIP-1,roseja01
19,Nick Van Exel,28,DEN,PG,79,79,2950,0.39,16,0.669,0.143,0.178,0.147,0.202,0.331,0.419,0.543,0.403,0.354,0.392,0.332,0.188,0.474,0.001,1,0.152,0.328,3,0,,vanexni01
20,Karl Malone,36,UTA,PF,82,82,2947,0.509,11.2,0.995,0.307,0.117,0.269,0.302,0.005,0.511,0.684,0.43,0.406,0.46,0.25,0.776,1,0.021,31,0,,0,0,MVP-4ASNBA2,malonka01
21,Dirk Nowitzki,21,DAL,PF,82,81,2938,0.461,15.7,0.726,0.145,0.097,0.201,0.284,0.274,0.491,0.704,0.333,0.404,0.498,0.379,0.667,0.966,0.03,33,0.245,0.453,0,0,,nowitdi01
22,Lindsey Hunter,29,DET,PG,82,82,2919,0.425,17.8,0.564,0.184,0.065,0.121,0.194,0.436,0.419,0.476,0.345,0.361,0.428,0.432,0.313,0.923,0.007,5,0.252,0.48,0,0,,hunteli01
23,Juwan Howard,26,WAS,PF,82,82,2909,0.459,9.5,0.994,0.188,0.31,0.393,0.104,0.006,0.462,0.591,0.446,0.439,0.365,0,0.611,,0.029,29,0,,1,0,,howarju01
24,Glenn Robinson,27,MIL,SF,81,81,2909,0.472,14,0.838,0.113,0.153,0.352,0.22,0.162,0.493,0.594,0.435,0.479,0.506,0.363,0.659,0.953,0.025,32,0.329,0.346,1,0,AS,robingl01
25,Bryon Russell,29,UTA,SF,82,70,2900,0.446,15.3,0.707,0.299,0.083,0.055,0.27,0.293,0.467,0.626,0.289,0.28,0.385,0.396,0.722,0.925,0.071,62,0.299,0.388,3,0,,russebr01
