Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Allen Iverson,27,PHI,SG,82,82,3485,0.414,13,0.844,0.28,0.077,0.151,0.335,0.156,0.44,0.537,0.38,0.341,0.417,0.277,0.385,0.786,0.005,10,0.125,0.237,1,1,MVP-6DPOY-6ASNBA2,iversal01
2,Kobe Bryant,24,LAL,SG,82,82,3401,0.451,13.9,0.832,0.215,0.106,0.189,0.322,0.168,0.465,0.642,0.426,0.361,0.421,0.383,0.364,0.613,0.063,116,0.096,0.355,6,0,MVP-3DPOY-8ASNBA1,bryanko01
3,Shawn Marion,24,PHO,SF,81,81,3373,0.452,13.5,0.752,0.207,0.139,0.205,0.2,0.248,0.473,0.651,0.397,0.405,0.41,0.387,0.589,1,0.07,98,0.47,0.427,2,0,DPOY-13AS,mariosh01
4,Jalen Rose,30,CHI,SF,82,82,3351,0.406,15.3,0.773,0.136,0.111,0.205,0.322,0.227,0.416,0.514,0.4,0.401,0.389,0.37,0.417,0.872,0.004,4,0.304,0.376,2,0,,roseja01
5,Kevin Garnett,26,MIN,PF,82,82,3321,0.502,11.3,0.952,0.217,0.203,0.25,0.282,0.048,0.513,0.707,0.399,0.495,0.462,0.282,0.591,0.7,0.07,101,0.042,0.333,2,0,MVP-2DPOY-3ASNBA1,garneke01
6,Jamal Mashburn,30,NOH,SF,82,81,3321,0.422,14.2,0.807,0.146,0.125,0.281,0.256,0.193,0.43,0.558,0.444,0.438,0.342,0.389,0.374,0.891,0.013,20,0.193,0.407,0,0,MVP-11ASNBA3,mashbja01
7,Steve Francis,25,HOU,PG,81,81,3318,0.435,12.2,0.817,0.372,0.06,0.078,0.307,0.183,0.453,0.574,0.278,0.294,0.382,0.354,0.241,0.588,0.04,49,0.154,0.486,7,0,AS,francst01
8,Stephon Marbury,25,PHO,PG,81,81,3240,0.439,11.6,0.807,0.354,0.124,0.108,0.22,0.193,0.472,0.55,0.447,0.345,0.421,0.301,0.294,0.404,0.002,3,0.078,0.217,4,0,ASNBA3,marbust01
9,Antoine Walker,26,BOS,PF,78,78,3235,0.388,13.1,0.625,0.261,0.235,0.094,0.036,0.375,0.427,0.573,0.329,0.295,0.357,0.323,0.354,0.872,0.005,6,0.119,0.319,0,0,AS,walkean02
10,Antawn Jamison,26,GSW,SF,82,82,3226,0.47,12,0.858,0.173,0.3,0.141,0.243,0.142,0.496,0.732,0.482,0.404,0.399,0.311,0.669,0.985,0.024,36,0.373,0.359,1,0,,jamisan01
11,Gary Payton,34,2TM,PG,80,80,3208,0.454,10.3,0.876,0.328,0.156,0.166,0.226,0.124,0.476,0.644,0.336,0.391,0.39,0.297,0.332,0.852,0,0,0.275,0.28,0,0,DPOY-11AS,paytoga01
12,Gary Payton,34,SEA,PG,52,52,2123,0.448,11.1,0.885,0.296,0.163,0.163,0.262,0.115,0.467,0.67,0.315,0.364,0.396,0.298,0.302,0.853,0,0,0.246,0.286,0,0,,paytoga01
13,Gary Payton,34,MIL,PG,28,28,1085,0.466,9.6,0.857,0.395,0.141,0.171,0.15,0.143,0.495,0.604,0.388,0.444,0.366,0.294,0.393,0.85,0,0,0.324,0.273,0,0,,paytoga01
14,Tim Duncan,26,SAS,PF,81,81,3181,0.513,7.8,0.984,0.295,0.369,0.225,0.096,0.016,0.517,0.678,0.476,0.425,0.396,0.273,0.475,0.667,0.089,111,0.045,1,3,0,MVP-1DPOY-4ASNBA1,duncati01
15,Ricky Davis,23,CLE,SG,79,76,3131,0.41,13.7,0.861,0.218,0.08,0.21,0.353,0.139,0.417,0.642,0.322,0.341,0.345,0.363,0.515,0.689,0.072,93,0.157,0.313,5,0,,davisri01
16,Dirk Nowitzki,24,DAL,PF,80,80,3117,0.463,15.3,0.738,0.163,0.076,0.2,0.299,0.262,0.493,0.7,0.363,0.513,0.4,0.379,0.587,0.905,0.028,41,0.156,0.443,2,0,MVP-7ASNBA2,nowitdi01
17,Allan Houston,31,NYK,SG,82,82,3108,0.445,17.4,0.693,0.066,0.084,0.213,0.33,0.307,0.467,0.381,0.488,0.49,0.464,0.396,0.397,0.848,0.003,3,0.236,0.453,4,0,,houstal01
18,Eric Snow,29,PHI,PG,82,82,3108,0.452,10,0.96,0.344,0.084,0.31,0.222,0.04,0.462,0.556,0.343,0.407,0.435,0.219,0.565,0.857,0,0,0.156,0.2,1,0,DPOY-10,snower01
19,Paul Pierce,25,BOS,SG,79,79,3096,0.416,13.6,0.754,0.287,0.074,0.143,0.251,0.246,0.454,0.637,0.246,0.388,0.343,0.302,0.415,0.703,0.032,46,0.09,0.229,5,0,MVP-11ASNBA3,piercpa01
