Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
26,Kurt Thomas,32,NYK,PF,80,80,2855,0.471,14,0.996,0.11,0.092,0.284,0.509,0.004,0.47,0.606,0.422,0.477,0.447,0.5,0.834,1,0.002,2,0.5,0.5,0,0,,thomaku01
27,Andre Miller,28,DEN,PG,82,82,2852,0.477,10,0.956,0.378,0.106,0.208,0.265,0.044,0.492,0.648,0.379,0.355,0.422,0.154,0.451,0.333,0.003,3,0.051,0,9,0,,millean02
28,Michael Redd,25,MIL,SG,75,75,2848,0.441,13.8,0.793,0.2,0.11,0.238,0.246,0.207,0.463,0.59,0.321,0.427,0.458,0.355,0.516,0.865,0.016,20,0.314,0.37,0,0,,reddmi01
29,Eddie Jones,33,MIA,SF,80,80,2839,0.428,16.3,0.534,0.223,0.063,0.078,0.17,0.466,0.477,0.617,0.481,0.297,0.374,0.372,0.684,0.993,0.021,16,0.319,0.361,1,0,,jonesed02
30,Quentin Richardson,24,PHO,SG,79,78,2839,0.389,18.1,0.396,0.212,0.058,0.034,0.091,0.604,0.437,0.527,0.377,0.139,0.379,0.358,0.486,0.894,0.04,39,0.176,0.378,5,0,,richaqu01
31,Vince Carter,28,2TM,SF,77,76,2828,0.452,13.1,0.797,0.252,0.171,0.13,0.243,0.203,0.463,0.591,0.405,0.353,0.43,0.406,0.508,0.835,0.051,70,0.115,0.361,2,0,MVP-13AS,cartevi01
32,Vince Carter,28,TOR,SG,20,20,608,0.411,13.6,0.805,0.215,0.172,0.116,0.301,0.195,0.432,0.554,0.346,0.314,0.44,0.322,0.495,0.842,0.036,11,0.203,0.25,0,0,,cartevi01
33,Vince Carter,28,NJN,SF,57,56,2220,0.462,12.7,0.795,0.262,0.171,0.134,0.228,0.205,0.471,0.599,0.42,0.361,0.428,0.425,0.511,0.833,0.055,59,0.094,0.417,2,0,,cartevi01
34,P.J. Brown,35,NOH,PF,82,78,2817,0.446,9.9,1,0.323,0.109,0.247,0.321,0,0.446,0.535,0.337,0.39,0.436,,0.713,,0.05,30,,,0,0,MVP-14,brownpj01
35,Kirk Hinrich,24,CHI,PG,77,77,2800,0.397,17,0.636,0.152,0.087,0.102,0.295,0.364,0.42,0.503,0.276,0.368,0.438,0.355,0.423,0.752,0.001,1,0.152,0.387,1,0,DPOY-12,hinriki01
36,Bobby Simmons,24,LAC,SF,75,74,2799,0.466,15.3,0.887,0.182,0.04,0.096,0.568,0.113,0.47,0.622,0.268,0.408,0.446,0.435,0.731,0.96,0.025,24,0.783,0.456,1,0,MIP-1,simmobo01
37,David Wesley,34,2TM,SG,80,79,2774,0.398,18,0.625,0.149,0.018,0.042,0.417,0.375,0.411,0.584,0.2,0.4,0.36,0.375,0.769,0.932,0,0,0.39,0.398,2,0,DPOY-16,wesleda01
