Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Gilbert Arenas,24,WAS,PG,80,80,3384,0.447,15.3,0.676,0.231,0.079,0.1,0.266,0.324,0.485,0.637,0.318,0.407,0.431,0.369,0.282,0.603,0.016,24,0.102,0.345,2,0,ASNBA3,arenagi01
2,LeBron James,21,CLE,SF,79,79,3361,0.48,12.4,0.792,0.353,0.092,0.094,0.253,0.208,0.518,0.689,0.411,0.304,0.398,0.335,0.303,0.417,0.065,114,0.185,0.343,5,0,MVP-2ASNBA1,jamesle01
3,Joe Johnson,24,ATL,SG,82,82,3340,0.453,13.7,0.742,0.186,0.213,0.132,0.211,0.258,0.487,0.618,0.495,0.418,0.407,0.356,0.308,0.844,0.007,10,0.314,0.46,4,0,,johnsjo02
4,Antawn Jamison,29,WAS,SF,82,80,3288,0.442,14,0.75,0.196,0.205,0.088,0.261,0.25,0.458,0.621,0.431,0.409,0.372,0.394,0.641,0.959,0.011,16,0.225,0.405,1,0,,jamisan01
5,Kobe Bryant,27,LAL,SG,80,80,3277,0.45,15.1,0.762,0.2,0.083,0.148,0.331,0.238,0.482,0.598,0.494,0.455,0.421,0.347,0.377,0.706,0.029,59,0.077,0.35,3,0,MVP-4ASNBA1,bryanko01
6,Shawn Marion,27,PHO,PF,81,81,3263,0.525,10.1,0.788,0.384,0.151,0.155,0.097,0.212,0.577,0.752,0.432,0.443,0.323,0.331,0.737,0.938,0.151,190,0.455,0.386,1,0,MVP-10DPOY-7ASNBA3,mariosh01
7,Lamar Odom,26,LAL,PF,80,80,3221,0.481,9.8,0.768,0.454,0.147,0.074,0.093,0.232,0.514,0.621,0.426,0.338,0.267,0.372,0.411,0.875,0.058,53,0.098,0.476,2,0,,odomla01
8,Ricky Davis,26,2TM,SG,78,78,3207,0.448,14.4,0.814,0.245,0.061,0.15,0.36,0.186,0.481,0.605,0.354,0.441,0.435,0.302,0.562,0.849,0.04,52,0.215,0.269,6,0,,davisri01
9,Ricky Davis,26,BOS,SG,42,42,1747,0.464,13.6,0.824,0.272,0.062,0.164,0.326,0.176,0.495,0.617,0.295,0.422,0.468,0.32,0.516,0.875,0.044,31,0.288,0.278,2,0,,davisri01
10,Ricky Davis,26,MIN,SF,36,36,1460,0.429,15.2,0.803,0.212,0.059,0.133,0.4,0.197,0.464,0.587,0.429,0.468,0.403,0.282,0.622,0.818,0.035,21,0.137,0.25,4,0,,davisri01
11,Mike Bibby,27,SAC,PG,82,82,3167,0.432,18.3,0.64,0.13,0.043,0.037,0.431,0.36,0.458,0.615,0.35,0.412,0.425,0.386,0.417,0.906,0,0,0.163,0.432,2,0,,bibbymi01
12,Morris Peterson,28,TOR,SG,82,77,3140,0.436,16.1,0.591,0.22,0.072,0.078,0.222,0.409,0.465,0.564,0.367,0.447,0.403,0.395,0.548,0.881,0.016,14,0.491,0.432,6,1,,petermo01
13,Pau Gasol,25,MEM,PF,80,80,3135,0.503,6.3,0.99,0.411,0.324,0.147,0.108,0.01,0.505,0.654,0.411,0.366,0.411,0.25,0.494,1,0.116,126,0.5,0.167,1,0,AS,gasolpa01
14,Michael Redd,26,MIL,SG,80,80,3130,0.45,13.8,0.728,0.269,0.08,0.15,0.229,0.272,0.471,0.576,0.413,0.399,0.412,0.395,0.503,0.853,0.012,17,0.298,0.447,0,0,,reddmi01
