Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Andre Iguodala,25,PHI,SF,82,82,3269,0.473,13,0.772,0.354,0.053,0.075,0.29,0.228,0.521,0.727,0.279,0.291,0.375,0.307,0.491,0.65,0.137,153,0.172,0.289,5,1,DPOY-13,iguodan01
2,Joe Johnson,27,ATL,SG,79,79,3124,0.437,14.8,0.708,0.171,0.2,0.123,0.215,0.292,0.468,0.572,0.507,0.425,0.374,0.36,0.28,0.752,0.008,8,0.273,0.389,4,0,AS,johnsjo02
3,O.J. Mayo,21,MEM,SG,82,82,3120,0.438,15.4,0.705,0.209,0.096,0.109,0.292,0.295,0.461,0.496,0.447,0.393,0.465,0.384,0.281,0.807,0.029,36,0.161,0.41,3,0,ROY-2,mayooj01
4,Antawn Jamison,32,WAS,PF,81,81,3096,0.468,11.9,0.779,0.288,0.213,0.095,0.183,0.221,0.501,0.631,0.479,0.394,0.376,0.351,0.639,1,0.008,12,0.144,0.37,1,0,,jamisan01
5,Raymond Felton,24,CHA,PG,82,81,3086,0.408,13.3,0.809,0.3,0.104,0.073,0.331,0.191,0.437,0.471,0.425,0.43,0.412,0.285,0.295,0.949,0.003,3,0.217,0.311,9,1,,feltora01
6,Tayshaun Prince,28,DET,SF,82,82,3057,0.45,12.4,0.862,0.228,0.179,0.156,0.298,0.138,0.458,0.618,0.443,0.365,0.395,0.397,0.459,0.964,0.051,47,0.674,0.453,0,0,,princta01
7,LeBron James,24,CLE,SF,81,81,3054,0.489,13.4,0.762,0.333,0.092,0.074,0.263,0.238,0.535,0.728,0.453,0.286,0.388,0.344,0.318,0.424,0.083,128,0.107,0.341,7,0,MVP-1DPOY-2ASNBA1,jamesle01
8,Dirk Nowitzki,30,DAL,PF,81,81,3050,0.479,13.8,0.895,0.144,0.085,0.327,0.339,0.105,0.493,0.601,0.401,0.489,0.474,0.359,0.52,0.967,0.009,14,0.041,0,0,0,MVP-10ASNBA1,nowitdi01
9,Dwyane Wade,27,MIA,SG,79,79,3048,0.491,12.3,0.84,0.334,0.084,0.094,0.328,0.16,0.524,0.664,0.479,0.445,0.416,0.317,0.253,0.295,0.082,128,0.151,0.262,8,0,MVP-3DPOY-3ASNBA1,wadedw01
10,Paul Pierce,31,BOS,SF,81,81,3035,0.457,13.8,0.743,0.266,0.062,0.187,0.228,0.257,0.48,0.551,0.425,0.452,0.435,0.391,0.363,0.924,0.008,10,0.138,0.452,1,0,MVP-7ASNBA2,piercpa01
11,LaMarcus Aldridge,23,POR,PF,81,81,3004,0.484,11,0.977,0.245,0.211,0.179,0.343,0.023,0.489,0.671,0.45,0.422,0.418,0.25,0.567,1,0.098,108,0.643,0.389,3,0,,aldrila01
12,Chris Paul,23,NOH,PG,78,78,3002,0.503,11.8,0.86,0.264,0.186,0.16,0.249,0.14,0.525,0.634,0.526,0.488,0.435,0.364,0.097,0.547,0.003,3,0.051,0.222,0,0,MVP-5DPOY-6ASNBA2,paulch01
13,Derrick Rose,20,CHI,PG,81,80,3000,0.475,10.4,0.94,0.392,0.089,0.127,0.332,0.06,0.491,0.577,0.444,0.403,0.436,0.222,0.342,0.813,0.017,19,0.139,0.3,7,0,ROY-1,rosede01
14,Ben Gordon,25,CHI,SG,82,76,2999,0.455,15.9,0.679,0.202,0.06,0.105,0.313,0.321,0.476,0.528,0.418,0.377,0.487,0.41,0.358,0.671,0.007,9,0.246,0.356,1,0,,gordobe01
15,Pau Gasol,28,LAL,C,81,81,2999,0.567,6.2,0.998,0.426,0.295,0.175,0.102,0.002,0.567,0.667,0.523,0.492,0.402,0.5,0.574,1,0.12,121,0.5,1,0,0,ASNBA3,gasolpa01
16,David West,28,NOH,PF,76,76,2982,0.472,10.3,0.981,0.255,0.202,0.242,0.281,0.019,0.477,0.621,0.456,0.383,0.441,0.24,0.578,1,0.03,35,0.24,0.333,1,0,AS,westda01
17,Andre Miller,32,PHI,PG,82,82,2976,0.473,9.2,0.949,0.416,0.104,0.207,0.223,0.051,0.483,0.584,0.37,0.414,0.409,0.283,0.291,0.6,0,0,0.132,0.286,6,0,,millean02
18,Kobe Bryant,30,LAL,SG,82,82,2960,0.467,14,0.804,0.203,0.12,0.181,0.299,0.196,0.496,0.664,0.461,0.448,0.424,0.351,0.326,0.644,0.036,59,0.086,0.414,1,0,MVP-2DPOY-7ASNBA1,bryanko01
19,John Salmons,29,2TM,SF,79,74,2959,0.472,13.3,0.724,0.298,0.1,0.134,0.192,0.276,0.493,0.641,0.376,0.336,0.433,0.417,0.341,0.683,0.024,25,0.232,0.4,0,0,,salmojo01
20,John Salmons,29,SAC,SF,53,53,1980,0.472,12.2,0.753,0.312,0.116,0.132,0.194,0.247,0.489,0.634,0.372,0.357,0.417,0.418,0.318,0.623,0.026,18,0.245,0.444,0,0,,salmojo01
21,John Salmons,29,CHI,SF,26,21,979,0.473,14.3,0.662,0.269,0.066,0.138,0.189,0.338,0.502,0.66,0.391,0.292,0.47,0.415,0.397,0.776,0.02,7,0.212,0.32,0,0,,salmojo01
22,Vince Carter,32,NJN,SG,80,80,2946,0.437,15,0.709,0.242,0.072,0.113,0.282,0.291,0.459,0.563,0.433,0.408,0.396,0.385,0.284,0.775,0.035,46,0.176,0.478,5,0,,cartevi01
23,Rudy Gay,22,MEM,SF,79,78,2945,0.453,12.4,0.808,0.287,0.142,0.133,0.246,0.192,0.477,0.586,0.425,0.435,0.405,0.351,0.322,0.894,0.104,118,0.211,0.431,1,0,,gayru01
24,Richard Jefferson,28,MIL,SF,82,82,2939,0.439,13.8,0.761,0.261,0.092,0.096,0.312,0.239,0.453,0.571,0.416,0.342,0.399,0.397,0.587,0.931,0.046,51,0.394,0.443,0,0,,jefferi01
25,Chris Bosh,24,TOR,C,77,77,2928,0.487,10.6,0.961,0.314,0.135,0.181,0.331,0.039,0.497,0.594,0.433,0.399,0.483,0.245,0.519,0.833,0.073,81,0.041,0,2,0,AS,boshch01
26,Chris Duhon,26,NYK,PG,79,78,2906,0.421,15,0.523,0.33,0.072,0.029,0.091,0.477,0.449,0.48,0.367,0.25,0.468,0.391,0.113,0.583,0.003,1,0.148,0.438,4,0,,duhonch01
27,Brandon Roy,24,POR,SG,78,78,2903,0.48,11.5,0.833,0.333,0.113,0.14,0.247,0.167,0.501,0.601,0.483,0.424,0.417,0.377,0.256,0.819,0.024,29,0.318,0.429,5,0,MVP-9ASNBA2,roybr01
28,Jason Kidd,35,DAL,PG,81,81,2886,0.416,18.3,0.477,0.165,0.05,0.055,0.207,0.523,0.427,0.48,0.387,0.324,0.422,0.406,0.349,0.901,0,0,0.245,0.329,2,0,,kiddja01
29,Kevin Durant,20,OKC,SF,74,74,2885,0.476,12.9,0.835,0.26,0.098,0.178,0.299,0.165,0.486,0.677,0.397,0.405,0.398,0.422,0.502,0.948,0.086,114,0.083,0.368,0,0,,duranke01
30,Ray Allen,33,BOS,SG,79,79,2876,0.48,17,0.533,0.188,0.058,0.096,0.191,0.467,0.542,0.641,0.517,0.52,0.462,0.409,0.54,0.925,0.003,3,0.379,0.478,0,0,AS,allenra02
31,Jeff Green,22,OKC,PF,78,78,2873,0.446,12.2,0.769,0.32,0.125,0.11,0.213,0.231,0.463,0.614,0.358,0.385,0.338,0.389,0.516,0.917,0.066,61,0.235,0.397,1,0,,greenje02
32,Rashard Lewis,29,ORL,PF,79,79,2859,0.439,16.7,0.491,0.172,0.099,0.126,0.095,0.509,0.482,0.604,0.426,0.482,0.32,0.397,0.391,0.945,0.017,17,0.287,0.384,1,0,AS,lewisra02
33,Mo Williams,26,CLE,PG,81,81,2834,0.467,17.1,0.627,0.12,0.106,0.116,0.285,0.373,0.486,0.57,0.479,0.466,0.461,0.436,0.286,0.803,0,0,0.39,0.451,1,0,AS,willima01
34,David Lee,25,NYK,C,81,74,2824,0.549,4.7,0.997,0.636,0.121,0.123,0.117,0.003,0.551,0.636,0.504,0.316,0.378,0,0.665,,0.114,103,0,,0,0,,leeda02
35,Dwight Howard,23,ORL,C,79,79,2821,0.572,3.4,0.998,0.546,0.398,0.045,0.008,0.002,0.573,0.707,0.433,0.25,0.25,0,0.513,,0.217,202,0,,0,0,MVP-4DPOY-1ASNBA1,howardw01
36,Hedo Türkoğlu,29,ORL,SF,77,77,2815,0.413,15.1,0.633,0.26,0.075,0.129,0.17,0.367,0.445,0.538,0.299,0.47,0.351,0.356,0.218,0.799,0.006,5,0.106,0.325,5,0,DPOY-16,turkohe01
37,Chauncey Billups,32,2TM,PG,79,79,2789,0.418,17.7,0.595,0.18,0.069,0.113,0.233,0.405,0.425,0.517,0.309,0.36,0.421,0.408,0.157,0.537,0.001,1,0.091,0.417,1,0,MVP-6ASNBA3,billuch01
38,Chauncey Billups,32,DET,PG,2,2,70,0.333,18.5,0.667,0.095,0,0.143,0.429,0.333,0.357,0,,0.333,0.444,0.286,0,0,0,0,0.143,0,0,0,,billuch01
39,Chauncey Billups,32,DEN,PG,77,77,2719,0.42,16.8,0.593,0.181,0.071,0.113,0.228,0.407,0.427,0.523,0.309,0.361,0.42,0.41,0.16,0.544,0.001,1,0.09,0.429,1,0,,billuch01
40,Boris Diaw,26,2TM,PF,81,59,2754,0.507,9.8,0.795,0.374,0.208,0.051,0.162,0.205,0.531,0.616,0.484,0.444,0.42,0.414,0.566,0.987,0.017,14,0.105,0.474,1,0,,diawbo01
