Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Mikal Bridges,25,PHO,SF,82,82,2854,0.534,13.3,0.636,0.227,0.205,0.159,0.045,0.364,0.628,0.795,0.619,0.507,0.256,0.369,0.764,0.983,0.066,54,0.561,0.4,0,0,DPOY-2,bridgmi01
2,Miles Bridges,23,CHO,PF,80,80,2837,0.491,12.4,0.617,0.357,0.212,0.02,0.029,0.383,0.59,0.723,0.412,0.458,0.343,0.331,0.597,0.825,0.107,118,0.275,0.344,6,0,,bridgmi02
3,DeMar DeRozan,32,CHI,PF,76,76,2743,0.504,13,0.907,0.164,0.158,0.297,0.288,0.093,0.52,0.671,0.494,0.511,0.457,0.352,0.217,0.9,0.026,33,0.387,0.327,4,0,MVP-10ASNBA2,derozde01
4,Jayson Tatum,23,BOS,SF,76,76,2731,0.453,15.2,0.584,0.22,0.176,0.088,0.1,0.416,0.524,0.741,0.413,0.328,0.41,0.353,0.429,0.565,0.052,76,0.121,0.38,2,0,MVP-6ASNBA1,tatumja01
5,Saddiq Bey,22,DET,SF,82,82,2704,0.396,17.4,0.463,0.166,0.157,0.072,0.068,0.537,0.454,0.619,0.348,0.329,0.429,0.346,0.431,0.891,0.021,23,0.252,0.403,9,0,,beysa01
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,0.473,16.7,0.572,0.13,0.183,0.158,0.101,0.428,0.517,0.712,0.41,0.521,0.457,0.414,0.279,0.584,0.028,25,0.139,0.444,9,0,,halibty01
7,Tyrese Haliburton,21,SAC,SG,51,51,1757,0.457,16.8,0.57,0.118,0.183,0.164,0.106,0.43,0.491,0.739,0.355,0.458,0.5,0.413,0.238,0.587,0.02,12,0.147,0.486,3,0,,halibty01
8,Tyrese Haliburton,21,IND,PG,26,26,938,0.502,16.6,0.576,0.152,0.183,0.149,0.093,0.424,0.565,0.673,0.508,0.646,0.367,0.416,0.343,0.579,0.04,13,0.124,0.353,6,0,,halibty01
9,Russell Westbrook,33,LAL,PG,78,78,2678,0.444,10.8,0.785,0.333,0.232,0.106,0.114,0.215,0.485,0.623,0.388,0.374,0.379,0.298,0.232,0.646,0.021,17,0.181,0.438,0,0,,westbru01
10,Trae Young,23,ATL,PG,76,76,2652,0.46,16.5,0.605,0.159,0.204,0.116,0.126,0.395,0.512,0.62,0.451,0.469,0.513,0.382,0.142,0.223,0,0,0.048,0.552,1,0,ASNBA3,youngtr01
11,Tyrese Maxey,21,PHI,PG,75,74,2650,0.485,12.9,0.689,0.258,0.237,0.121,0.073,0.311,0.512,0.654,0.466,0.317,0.479,0.427,0.45,0.712,0.017,14,0.181,0.589,2,0,,maxeyty01
12,Dorian Finney-Smith,28,DAL,PF,80,80,2644,0.471,17,0.371,0.233,0.098,0.025,0.016,0.629,0.599,0.752,0.324,0.471,0.273,0.395,0.766,0.983,0.082,49,0.414,0.461,2,0,,finnedo01
13,Scottie Barnes,20,TOR,PF,74,74,2617,0.492,10.9,0.793,0.264,0.325,0.116,0.088,0.207,0.543,0.711,0.502,0.398,0.378,0.301,0.429,0.845,0.075,62,0.28,0.37,4,1,ROY-1,barnesc01
14,Harrison Barnes,29,SAC,PF,77,77,2580,0.469,13.5,0.568,0.237,0.283,0.041,0.007,0.432,0.525,0.682,0.403,0.471,0.5,0.394,0.566,0.951,0.034,25,0.308,0.486,0,0,,barneha02
15,Pascal Siakam,27,TOR,PF,68,68,2578,0.494,11.2,0.819,0.216,0.34,0.132,0.132,0.181,0.527,0.716,0.498,0.447,0.371,0.344,0.292,0.947,0.026,31,0.183,0.475,1,0,NBA3,siakapa01
16,Julius Randle,27,NYK,PF,72,72,2544,0.411,13.8,0.687,0.254,0.152,0.137,0.144,0.313,0.458,0.627,0.368,0.374,0.335,0.308,0.362,0.8,0.04,43,0.115,0.289,0,0,,randlju01
17,Tobias Harris,29,PHI,PF,73,73,2543,0.482,11.7,0.731,0.25,0.282,0.156,0.043,0.269,0.525,0.699,0.444,0.428,0.386,0.367,0.444,0.891,0.045,43,0.262,0.361,1,0,,harrito02
18,Jalen Brunson,25,DAL,SG,79,61,2524,0.502,13.1,0.75,0.147,0.288,0.189,0.126,0.25,0.545,0.703,0.524,0.518,0.449,0.373,0.262,0.809,0.005,5,0.298,0.507,0,0,,brunsja01
19,Buddy Hield,29,2TM,SG,81,32,2499,0.406,19.3,0.348,0.132,0.083,0.069,0.064,0.652,0.482,0.593,0.385,0.421,0.443,0.366,0.44,0.847,0.006,7,0.154,0.391,2,1,,hieldbu01
20,Buddy Hield,29,SAC,SG,55,6,1574,0.382,20.8,0.286,0.114,0.063,0.052,0.056,0.714,0.419,0.582,0.205,0.306,0.436,0.368,0.482,0.841,0.006,4,0.131,0.431,2,1,,hieldbu01
21,Buddy Hield,29,IND,SG,26,26,925,0.447,17.7,0.454,0.163,0.116,0.099,0.077,0.546,0.549,0.606,0.553,0.525,0.452,0.362,0.406,0.863,0.007,3,0.204,0.333,0,0,,hieldbu01
22,Nikola Jokić,26,DEN,C,74,74,2476,0.583,10.2,0.78,0.268,0.384,0.082,0.046,0.22,0.652,0.776,0.606,0.565,0.467,0.337,0.58,0.918,0.025,31,0.038,0.273,3,0,MVP-1ASNBA1,jokicni01
23,Karl-Anthony Towns,26,MIN,C,74,74,2476,0.529,11.5,0.699,0.333,0.255,0.049,0.062,0.301,0.58,0.688,0.537,0.35,0.36,0.41,0.537,0.887,0.091,99,0.087,0.344,0,0,ASNBA3,townska01
