Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Antoine Walker,25,BOS,PF,81,81,3406,0.394,13.6,0.618,0.294,0.167,0.076,0.081,0.382,0.425,0.548,0.309,0.333,0.307,0.344,0.345,0.91,0.017,28,0.118,0.276,4,1,AS,walkean02
2,Tim Duncan,25,SAS,PF,82,82,3329,0.508,7.6,0.993,0.311,0.337,0.256,0.089,0.007,0.511,0.714,0.45,0.405,0.336,0.1,0.464,1,0.071,102,0.1,1,0,0,MVP-1ASNBA1,duncati01
3,Latrell Sprewell,31,NYK,SF,81,81,3326,0.404,15.2,0.716,0.156,0.122,0.195,0.244,0.284,0.421,0.584,0.41,0.38,0.355,0.36,0.407,0.8,0.019,25,0.201,0.407,0,0,,sprewla01
4,Baron Davis,22,CHH,PG,82,82,3318,0.417,14.2,0.644,0.326,0.055,0.092,0.171,0.356,0.451,0.554,0.338,0.244,0.402,0.356,0.229,0.671,0.028,30,0.092,0.409,7,0,AS,davisba01
5,Paul Pierce,24,BOS,SG,82,82,3302,0.442,14.9,0.675,0.26,0.071,0.118,0.225,0.325,0.461,0.6,0.289,0.354,0.411,0.404,0.543,0.767,0.033,50,0.11,0.281,6,1,MVP-11ASNBA3,piercpa01
6,Gary Payton,33,SEA,PG,82,82,3301,0.467,11,0.85,0.287,0.21,0.15,0.204,0.15,0.494,0.66,0.399,0.386,0.438,0.314,0.326,0.797,0,0,0.254,0.3,0,0,MVP-6ASNBA2,paytoga01
7,Stephon Marbury,24,PHO,PG,82,80,3187,0.442,11,0.824,0.391,0.11,0.1,0.223,0.176,0.476,0.562,0.372,0.426,0.397,0.286,0.292,0.563,0.004,4,0.052,0.308,3,0,,marbust01
8,Kevin Garnett,25,MIN,PF,81,81,3175,0.47,11.7,0.917,0.209,0.216,0.218,0.275,0.083,0.484,0.669,0.407,0.485,0.403,0.319,0.588,0.838,0.067,87,0.026,0,2,0,MVP-12DPOY-2ASNBA2,garneke01
9,Eddie Jones,30,MIA,SG,81,81,3156,0.432,15.8,0.681,0.184,0.069,0.137,0.29,0.319,0.451,0.661,0.349,0.366,0.382,0.39,0.519,0.899,0.026,29,0.27,0.456,2,0,,jonesed02
10,Jalen Rose,29,2TM,SF,83,83,3153,0.455,14.7,0.831,0.123,0.123,0.247,0.339,0.169,0.474,0.654,0.43,0.45,0.441,0.362,0.585,0.865,0.014,18,0.427,0.371,0,0,,roseja01
11,Jalen Rose,29,IND,SF,53,53,1937,0.444,14.6,0.832,0.11,0.137,0.251,0.334,0.168,0.462,0.698,0.437,0.397,0.443,0.356,0.633,0.827,0.016,13,0.514,0.4,0,0,,roseja01
12,Jalen Rose,29,CHI,SF,30,30,1216,0.47,14.7,0.83,0.141,0.102,0.24,0.346,0.17,0.491,0.602,0.417,0.532,0.438,0.37,0.519,0.919,0.012,5,0.3,0.3,0,0,,roseja01
13,Anthony Mason,35,MIL,PF,82,82,3143,0.505,5.9,0.998,0.383,0.337,0.236,0.042,0.002,0.504,0.529,0.531,0.419,0.538,1,0.53,1,0.005,3,0,,0,0,,masonan01
14,Wally Szczerbiak,24,MIN,SF,82,82,3117,0.508,13,0.841,0.217,0.161,0.161,0.303,0.159,0.517,0.692,0.446,0.508,0.435,0.455,0.657,0.92,0.021,25,0.309,0.542,1,0,AS,szczewa02
15,Cuttino Mobley,26,HOU,SG,74,74,3116,0.438,15.8,0.722,0.18,0.071,0.129,0.342,0.278,0.455,0.624,0.292,0.4,0.419,0.395,0.374,0.799,0.019,22,0.289,0.45,2,0,,moblecu01
16,Shawn Marion,23,PHO,SF,81,81,3109,0.469,11.8,0.913,0.225,0.149,0.282,0.256,0.087,0.476,0.662,0.409,0.409,0.426,0.393,0.7,0.958,0.072,93,0.393,0.417,2,0,,mariosh01
17,Shane Battier,23,MEM,SF,78,78,3097,0.429,13.5,0.713,0.246,0.125,0.16,0.182,0.287,0.451,0.568,0.375,0.403,0.389,0.373,0.618,0.922,0.035,32,0.377,0.394,2,0,,battish01
18,Kobe Bryant,23,LAL,SG,80,80,3063,0.469,12,0.917,0.249,0.142,0.212,0.315,0.083,0.489,0.658,0.46,0.45,0.394,0.25,0.363,0.576,0.061,88,0.061,0.125,3,1,MVP-5DPOY-3ASNBA1,bryanko01
19,Jason Kidd,28,NJN,PG,82,82,3056,0.391,16.4,0.68,0.187,0.059,0.153,0.281,0.32,0.424,0.549,0.254,0.397,0.391,0.321,0.387,0.752,0.002,2,0.165,0.367,11,0,MVP-2ASNBA1,kiddja01
20,Brent Barry,30,SEA,SG,81,81,3040,0.508,16.2,0.51,0.225,0.105,0.049,0.13,0.49,0.588,0.663,0.494,0.538,0.553,0.424,0.565,0.939,0.033,26,0.165,0.516,0,0,,barrybr01
21,Karl Malone,38,UTA,PF,80,80,3040,0.454,11.5,0.982,0.272,0.106,0.214,0.391,0.018,0.456,0.6,0.419,0.385,0.404,0.36,0.792,0.778,0.021,28,0.04,1,0,0,AS,malonka01
22,Antawn Jamison,25,GSW,SF,82,82,3033,0.447,10.5,0.847,0.27,0.298,0.091,0.188,0.153,0.469,0.701,0.385,0.392,0.305,0.324,0.69,0.985,0.022,29,0.205,0.372,3,0,,jamisan01
23,Jeff McInnis,27,LAC,PG,81,80,3030,0.413,14.3,0.791,0.109,0.19,0.302,0.191,0.209,0.437,0.525,0.38,0.482,0.374,0.321,0.405,0.867,0.001,1,0.038,0.444,4,0,,mcinnje01
24,Andre Miller,25,CLE,PG,81,81,3023,0.454,11.3,0.917,0.248,0.198,0.282,0.189,0.083,0.472,0.575,0.415,0.464,0.406,0.253,0.252,0.727,0.001,1,0.092,0.25,10,0,,millean02
25,Elton Brand,22,LAC,PF,80,80,3020,0.527,6.1,1,0.391,0.333,0.231,0.046,0,0.527,0.716,0.417,0.403,0.326,,0.509,,0.07,66,,,0,0,MVP-16AS,brandel01
26,Pau Gasol,21,MEM,PF,82,79,3007,0.518,5.2,0.995,0.465,0.344,0.111,0.075,0.005,0.519,0.707,0.369,0.305,0.363,0.2,0.691,1,0.174,177,0,,0,0,ROY-1,gasolpa01
27,Shareef Abdur-Rahim,25,ATL,PF,77,77,2980,0.461,8.6,0.946,0.347,0.271,0.133,0.196,0.054,0.47,0.578,0.442,0.384,0.378,0.3,0.501,1,0.085,99,0.329,0.304,1,0,AS,abdursh01
28,Antonio Davis,33,TOR,PF,77,77,2978,0.426,8.8,0.999,0.33,0.154,0.353,0.162,0.001,0.426,0.557,0.338,0.403,0.295,0,0.637,,0.087,78,0,,0,0,,davisan01
29,Jason Terry,24,ATL,SG,78,78,2967,0.43,15.6,0.636,0.196,0.081,0.153,0.205,0.364,0.454,0.556,0.323,0.439,0.42,0.387,0.273,0.738,0.015,17,0.185,0.354,0,0,,terryja01
30,Rasheed Wallace,27,POR,PF,79,79,2963,0.469,13.6,0.754,0.196,0.184,0.169,0.204,0.246,0.504,0.698,0.485,0.399,0.422,0.36,0.685,0.965,0.09,104,0.161,0.294,2,0,,wallara01
31,Alvin Williams,27,TOR,PG,82,82,2927,0.415,15.3,0.801,0.189,0.078,0.133,0.401,0.199,0.438,0.516,0.487,0.434,0.393,0.321,0.493,0.742,0,0,0.181,0.457,2,0,,willial02
32,Ben Wallace,27,DET,C,80,80,2921,0.531,3.4,0.994,0.698,0.158,0.079,0.058,0.006,0.535,0.639,0.303,0.263,0.286,0,0.592,,0.267,115,0.333,0,1,0,MVP-10DPOY-1NBA3,wallabe01
33,Allan Houston,30,NYK,SG,77,77,2914,0.437,16.9,0.734,0.094,0.072,0.212,0.356,0.266,0.452,0.41,0.447,0.478,0.449,0.393,0.544,0.765,0.002,2,0.202,0.329,0,0,,houstal01
34,Tracy McGrady,22,ORL,SG,76,76,2912,0.451,12.3,0.822,0.307,0.122,0.114,0.278,0.178,0.47,0.624,0.392,0.409,0.358,0.364,0.391,0.602,0.079,114,0.074,0.381,6,0,MVP-4ASNBA1,mcgratr01
35,Dikembe Mutombo,35,PHI,C,80,80,2907,0.501,5.2,1,0.413,0.39,0.187,0.009,0,0.501,0.634,0.46,0.308,0.167,,0.57,,0.066,40,,,0,0,DPOY-3ASNBA3,mutomdi01
36,Dirk Nowitzki,23,DAL,C,76,76,2891,0.477,14.2,0.722,0.241,0.078,0.154,0.249,0.278,0.508,0.611,0.347,0.438,0.502,0.397,0.61,0.964,0.039,45,0.1,0.343,0,0,MVP-8ASNBA2,nowitdi01
37,Reggie Miller,36,IND,SG,79,79,2889,0.453,19.2,0.515,0.106,0.035,0.094,0.279,0.485,0.498,0.794,0.406,0.442,0.416,0.406,0.791,0.883,0.007,6,0.273,0.479,4,0,,millere01
38,Clifford Robinson,35,DET,PF,80,80,2855,0.425,14.6,0.716,0.146,0.179,0.196,0.196,0.284,0.443,0.577,0.44,0.373,0.416,0.378,0.64,0.974,0.009,9,0.211,0.328,0,0,,robincl02
39,Steve Nash,27,DAL,PG,82,82,2837,0.483,14.8,0.685,0.222,0.097,0.14,0.226,0.315,0.495,0.618,0.368,0.474,0.443,0.455,0.206,0.564,0,0,0.12,0.463,0,0,MVP-14ASNBA3,nashst01
40,Doug Christie,31,SAC,SG,81,81,2798,0.46,13.7,0.652,0.336,0.063,0.045,0.208,0.348,0.518,0.652,0.283,0.242,0.431,0.352,0.589,0.956,0.083,60,0.355,0.341,1,0,,chrisdo01
41,Damon Stoudamire,28,POR,PG,75,71,2796,0.402,16.7,0.679,0.149,0.102,0.107,0.32,0.321,0.425,0.474,0.33,0.429,0.432,0.353,0.426,0.692,0,0,0.125,0.378,3,0,,stoudda01
42,Wesley Person,30,CLE,SG,78,78,2793,0.495,17,0.659,0.121,0.056,0.186,0.296,0.341,0.521,0.728,0.34,0.472,0.502,0.444,0.873,0.979,0.014,13,0.28,0.467,0,0,,persowe01
43,Kurt Thomas,29,NYK,C,82,82,2771,0.494,7.8,0.994,0.336,0.259,0.284,0.115,0.006,0.496,0.641,0.424,0.425,0.407,0.167,0.747,1,0.014,12,0.333,0,0,0,,thomaku01
44,Michael Finley,28,DAL,SF,69,69,2754,0.463,14.1,0.818,0.186,0.115,0.204,0.314,0.182,0.491,0.684,0.482,0.416,0.429,0.339,0.529,0.908,0.047,56,0.254,0.421,4,0,,finlemi01
45,Darrell Armstrong,33,ORL,PG,82,79,2730,0.419,17,0.519,0.184,0.063,0.101,0.17,0.481,0.484,0.638,0.308,0.44,0.411,0.349,0.433,0.82,0.012,10,0.274,0.413,0,0,,armstda01
46,Jermaine O'Neal,23,IND,PF,72,72,2707,0.479,7.7,0.988,0.271,0.407,0.222,0.087,0.012,0.484,0.694,0.434,0.377,0.343,0.071,0.664,1,0.115,121,0.286,0,2,0,MIP-1ASNBA3,onealje01
47,Jerry Stackhouse,27,DET,SF,76,76,2685,0.397,13.9,0.773,0.249,0.05,0.19,0.283,0.227,0.43,0.565,0.333,0.335,0.391,0.287,0.443,0.756,0.055,64,0.363,0.367,1,0,MVP-15,stackje01
48,Mike Bibby,23,SAC,PG,80,80,2659,0.453,14.7,0.86,0.191,0.072,0.125,0.472,0.14,0.466,0.638,0.352,0.455,0.417,0.37,0.557,0.882,0.004,4,0.261,0.333,0,0,MVP-16,bibbymi01
49,Peja Stojaković,24,SAC,SF,71,71,2649,0.484,14.3,0.726,0.237,0.105,0.108,0.275,0.274,0.51,0.679,0.395,0.402,0.45,0.416,0.617,0.853,0.025,28,0.277,0.465,3,0,MVP-16AS,stojape01
50,Juwan Howard,28,2TM,PF,81,72,2635,0.46,7.6,0.998,0.323,0.307,0.268,0.1,0.002,0.461,0.575,0.401,0.398,0.44,0,0.613,,0.063,59,0,,0,0,,howarju01
51,Juwan Howard,28,DAL,PF,53,44,1659,0.462,6.6,0.998,0.381,0.301,0.232,0.084,0.002,0.462,0.583,0.398,0.353,0.449,0,0.581,,0.084,46,0,,0,0,,howarju01
52,Juwan Howard,28,DEN,PF,28,28,976,0.457,8.6,0.998,0.243,0.317,0.317,0.121,0.002,0.458,0.559,0.406,0.444,0.431,0,0.656,,0.033,13,0,,0,0,,howarju01
53,Jason Richardson,21,GSW,SG,80,75,2629,0.426,12.6,0.774,0.261,0.167,0.13,0.216,0.226,0.453,0.667,0.341,0.317,0.362,0.333,0.474,0.927,0.081,81,0.138,0.353,4,1,ROY-3,richaja01
54,Allen Iverson,26,PHI,SG,60,59,2622,0.398,13.2,0.839,0.239,0.107,0.192,0.301,0.161,0.419,0.564,0.38,0.299,0.394,0.291,0.375,0.782,0.005,9,0.086,0.522,0,0,MVP-9ASNBA2,iversal01
55,Sam Cassell,32,MIL,PG,74,73,2605,0.463,15.4,0.83,0.097,0.069,0.363,0.301,0.17,0.486,0.578,0.41,0.495,0.464,0.348,0.377,0.662,0,0,0.216,0.455,3,0,,cassesa01
56,Kerry Kittles,27,NJN,SG,82,82,2601,0.466,13.6,0.743,0.307,0.067,0.095,0.273,0.257,0.487,0.623,0.286,0.348,0.432,0.405,0.75,0.908,0.071,62,0.087,0.333,3,0,,kittlke01
57,Rashard Lewis,22,SEA,SF,71,70,2585,0.468,14,0.675,0.183,0.198,0.14,0.154,0.325,0.506,0.702,0.448,0.419,0.427,0.389,0.623,0.984,0.05,44,0.392,0.371,1,0,,lewisra02
58,Michael Olowokandi,26,LAC,C,80,79,2568,0.433,7.6,1,0.184,0.527,0.254,0.035,0,0.433,0.62,0.456,0.284,0.194,,0.549,,0.058,49,,,0,0,,olowomi01
59,John Stockton,39,UTA,PG,82,82,2566,0.517,11.1,0.899,0.37,0.062,0.155,0.312,0.101,0.539,0.638,0.313,0.475,0.5,0.321,0.404,0.72,0,0,0.103,0.5,1,0,,stockjo01
60,P.J. Brown,32,CHH,C,80,80,2563,0.474,8.1,1,0.421,0.101,0.269,0.209,0,0.474,0.568,0.283,0.472,0.382,,0.736,,0.072,37,,,0,0,,brownpj01
61,Matt Harpring,25,PHI,SF,81,81,2541,0.461,10.1,0.918,0.35,0.117,0.208,0.242,0.082,0.475,0.631,0.398,0.385,0.36,0.304,0.775,0.952,0.011,8,0.594,0.293,0,0,,harprma01
62,Ray Allen,26,MIL,SG,69,67,2525,0.462,16.9,0.54,0.167,0.089,0.176,0.108,0.46,0.485,0.547,0.461,0.455,0.46,0.434,0.449,0.769,0.028,27,0.25,0.447,8,0,AS,allenra02
63,Kenyon Martin,24,NJN,PF,73,73,2504,0.463,9.5,0.93,0.331,0.207,0.179,0.214,0.07,0.48,0.717,0.397,0.36,0.296,0.224,0.616,1,0.179,155,0.164,0.545,1,0,,martike01
64,Nick Van Exel,30,2TM,SG,72,46,2496,0.409,14.2,0.715,0.152,0.222,0.129,0.212,0.285,0.436,0.538,0.43,0.418,0.381,0.34,0.298,0.613,0,0,0.146,0.314,4,0,,vanexni01
65,Nick Van Exel,30,DEN,PG,45,44,1739,0.408,14.9,0.724,0.13,0.218,0.136,0.239,0.276,0.435,0.563,0.422,0.444,0.372,0.337,0.324,0.588,0,0,0.151,0.263,3,0,,vanexni01
66,Nick Van Exel,30,DAL,SG,27,2,757,0.411,13.5,0.688,0.213,0.232,0.108,0.134,0.312,0.44,0.493,0.452,0.324,0.429,0.347,0.221,0.676,0,0,0.133,0.462,1,0,,vanexni01
67,David Wesley,31,CHH,SG,67,63,2487,0.4,17.1,0.719,0.16,0.029,0.058,0.471,0.281,0.427,0.541,0.192,0.321,0.415,0.332,0.717,0.976,0,0,0.254,0.385,0,0,,wesleda01
68,Kenny Thomas,24,HOU,PF,72,71,2484,0.478,8.5,0.981,0.409,0.205,0.077,0.29,0.019,0.487,0.622,0.412,0.328,0.392,0,0.442,,0.053,41,0.25,0,1,0,,thomake01
69,Keith Van Horn,26,NJN,SF,81,81,2465,0.433,13,0.731,0.268,0.137,0.152,0.174,0.269,0.465,0.599,0.436,0.313,0.413,0.345,0.635,0.99,0.059,56,0.246,0.417,0,0,,vanhoke01
70,Anfernee Hardaway,30,PHO,SG,80,55,2462,0.418,10.9,0.911,0.279,0.188,0.187,0.257,0.089,0.432,0.55,0.4,0.391,0.356,0.277,0.451,0.913,0.02,16,0.181,0.067,1,0,,hardaan01
71,Alonzo Mourning,31,MIA,C,75,74,2455,0.516,7.3,0.997,0.371,0.263,0.208,0.155,0.003,0.517,0.71,0.43,0.35,0.425,0.333,0.635,1,0.166,134,0.333,1,0,0,AS,mournal01
72,Raef LaFrentz,25,2TM,C,78,76,2455,0.458,12.3,0.709,0.359,0.104,0.075,0.171,0.291,0.486,0.639,0.323,0.333,0.331,0.388,0.719,0.971,0.049,43,0.246,0.47,0,0,,lafrera01
73,Raef LaFrentz,25,DEN,C,51,51,1668,0.466,12.1,0.737,0.347,0.114,0.085,0.191,0.263,0.477,0.655,0.333,0.321,0.31,0.434,0.733,0.96,0.047,29,0.266,0.478,0,0,,lafrera01
74,Raef LaFrentz,25,DAL,C,27,25,787,0.437,12.5,0.636,0.387,0.08,0.05,0.119,0.364,0.512,0.604,0.286,0.385,0.419,0.305,0.682,1,0.054,14,0.211,0.45,0,0,,lafrera01
75,Dale Davis,32,POR,C,78,77,2447,0.51,5.8,1,0.507,0.166,0.262,0.066,0,0.51,0.629,0.375,0.428,0.263,,0.645,,0.167,96,,,0,0,,davisda01
76,Jamaal Tinsley,23,IND,PG,80,78,2442,0.38,12.9,0.77,0.246,0.205,0.12,0.199,0.23,0.422,0.513,0.34,0.396,0.411,0.24,0.377,0.881,0,0,0.137,0.292,2,0,ROY-3,tinslja01
77,Kenny Anderson,31,BOS,PG,76,76,2430,0.436,11.6,0.954,0.288,0.127,0.155,0.384,0.046,0.444,0.553,0.308,0.351,0.444,0.273,0.406,0.889,0,0,0.121,0.5,1,0,,anderke01
78,Shaquille O'Neal,29,LAL,C,67,66,2422,0.579,3.8,0.999,0.509,0.409,0.078,0.002,0.001,0.58,0.744,0.447,0.219,0,0,0.612,,0.216,252,0,,0,0,MVP-3ASNBA1,onealsh01
79,Vlade Divac,33,SAC,C,80,80,2420,0.472,6.2,0.982,0.455,0.289,0.085,0.152,0.018,0.477,0.571,0.425,0.328,0.376,0.231,0.537,1,0.059,40,0.231,0,0,0,,divacvl01
80,Desmond Mason,24,SEA,SF,75,20,2420,0.464,13.1,0.923,0.221,0.142,0.12,0.441,0.077,0.48,0.653,0.275,0.478,0.46,0.271,0.68,0.875,0.069,45,0.356,0.333,1,0,6MOY-5,masonde01
81,Pat Garrity,25,ORL,PF,80,43,2406,0.426,20.6,0.484,0.048,0.037,0.056,0.343,0.516,0.426,0.514,0.429,0.256,0.441,0.427,0.772,0.982,0.007,4,0.21,0.41,0,0,,garripa01
82,Vince Carter,25,TOR,SG,60,60,2385,0.428,14.1,0.761,0.216,0.132,0.138,0.275,0.239,0.441,0.571,0.436,0.37,0.376,0.387,0.425,0.851,0.051,59,0.176,0.418,1,0,AS,cartevi01
83,Mark Jackson,36,NYK,PG,82,82,2367,0.439,13.2,0.671,0.223,0.228,0.132,0.088,0.329,0.456,0.553,0.363,0.436,0.481,0.405,0.348,0.987,0,0,0.297,0.466,3,1,,jacksma01
84,Chauncey Billups,25,MIN,PG,82,54,2355,0.423,16.6,0.617,0.194,0.062,0.079,0.282,0.383,0.441,0.55,0.353,0.354,0.409,0.394,0.397,0.621,0.004,3,0.152,0.354,3,0,,billuch01
85,Bonzi Wells,25,POR,SG,74,69,2348,0.469,12.3,0.834,0.332,0.085,0.089,0.329,0.166,0.486,0.649,0.261,0.348,0.415,0.384,0.606,0.894,0.064,63,0.349,0.433,2,0,,wellsbo01
86,Glenn Robinson,29,MIL,SF,66,63,2346,0.467,13.3,0.845,0.139,0.151,0.373,0.18,0.155,0.493,0.525,0.491,0.502,0.454,0.326,0.632,0.914,0.017,20,0.124,0.182,3,0,,robingl01
87,Steve Francis,24,HOU,PG,57,56,2343,0.417,12.8,0.791,0.337,0.077,0.072,0.305,0.209,0.442,0.522,0.282,0.425,0.397,0.324,0.159,0.382,0.025,22,0.171,0.25,6,0,AS,francst01
88,Lamond Murray,28,CLE,SF,71,68,2312,0.436,14.5,0.759,0.192,0.118,0.171,0.278,0.241,0.44,0.55,0.431,0.456,0.358,0.424,0.587,0.881,0.044,35,0.34,0.519,2,0,,murrala01
