Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,James Harden,25,HOU,SG,81,81,2981,0.44,13.5,0.622,0.311,0.106,0.074,0.131,0.378,0.48,0.615,0.295,0.431,0.337,0.375,0.166,0.51,0.023,33,0.108,0.467,1,0,MVP-2ASNBA1,hardeja01
2,Andrew Wiggins,19,MIN,SF,82,82,2969,0.437,10.3,0.889,0.312,0.192,0.162,0.225,0.111,0.453,0.662,0.344,0.38,0.305,0.31,0.489,0.872,0.077,79,0.246,0.419,1,0,ROY-1,wiggian01
3,Trevor Ariza,29,HOU,SF,82,82,2930,0.402,17.2,0.39,0.225,0.047,0.035,0.081,0.61,0.485,0.615,0.349,0.188,0.338,0.35,0.581,0.933,0.056,47,0.377,0.421,0,0,DPOY-13,arizatr01
4,Damian Lillard,24,POR,PG,82,82,2925,0.434,14.9,0.579,0.285,0.089,0.058,0.147,0.421,0.5,0.642,0.264,0.443,0.39,0.343,0.241,0.51,0.024,30,0.119,0.353,2,0,AS,lillada01
5,Chris Paul,29,LAC,PG,82,82,2857,0.485,16,0.702,0.096,0.105,0.232,0.269,0.298,0.523,0.634,0.496,0.52,0.495,0.398,0.117,0.424,0.001,1,0.135,0.34,0,0,MVP-6DPOY-15ASNBA2,paulch01
6,John Wall,24,WAS,PG,79,79,2837,0.445,13,0.814,0.288,0.077,0.127,0.322,0.186,0.478,0.616,0.411,0.419,0.395,0.3,0.2,0.646,0.032,37,0.198,0.256,7,0,AS,walljo01
7,DeAndre Jordan,26,LAC,C,82,82,2820,0.71,0.9,0.993,0.919,0.071,0.002,0,0.007,0.713,0.739,0.368,1,,0.25,0.69,0,0.532,252,0,,0,0,DPOY-3NBA3,jordade01
8,Eric Bledsoe,25,PHO,PG,81,81,2800,0.447,12.2,0.74,0.348,0.12,0.071,0.203,0.26,0.491,0.64,0.32,0.351,0.382,0.324,0.211,0.58,0.02,19,0.173,0.34,2,0,,bledser01
9,Joe Johnson,33,BRK,SG,80,80,2791,0.435,14.5,0.671,0.098,0.279,0.136,0.159,0.329,0.472,0.57,0.524,0.41,0.374,0.359,0.231,0.893,0.001,1,0.285,0.333,2,0,,johnsjo02
10,Kyrie Irving,22,CLE,PG,75,75,2730,0.468,12.9,0.694,0.273,0.148,0.137,0.136,0.306,0.491,0.611,0.344,0.42,0.482,0.415,0.219,0.618,0.003,4,0.206,0.474,2,1,ASNBA3,irvinky01
11,Monta Ellis,29,DAL,SG,80,80,2699,0.445,13.1,0.79,0.25,0.144,0.09,0.306,0.21,0.487,0.622,0.395,0.418,0.44,0.285,0.319,0.704,0.01,13,0.204,0.362,1,0,,ellismo01
12,Tyreke Evans,25,NOP,SG,79,76,2690,0.447,8.6,0.805,0.537,0.135,0.023,0.11,0.195,0.482,0.558,0.28,0.333,0.391,0.304,0.252,0.696,0.006,7,0.22,0.34,6,0,,evansty01
13,Marc Gasol,30,MEM,C,81,81,2687,0.494,9.6,0.984,0.241,0.281,0.221,0.242,0.016,0.5,0.698,0.468,0.43,0.402,0.176,0.628,0.667,0.054,56,0,,3,0,MVP-8DPOY-10ASNBA1,gasolma01
14,Pau Gasol,34,CHI,PF,78,78,2681,0.494,8.8,0.977,0.319,0.251,0.167,0.241,0.023,0.495,0.609,0.433,0.401,0.475,0.462,0.609,1,0.049,54,0.808,0.524,1,0,ASNBA2,gasolpa01
15,Ben McLemore,21,SAC,SG,82,82,2670,0.437,15.7,0.529,0.217,0.123,0.048,0.142,0.471,0.507,0.711,0.294,0.425,0.407,0.358,0.628,0.914,0.079,60,0.366,0.413,5,0,,mclembe01
16,Ty Lawson,27,DEN,PG,75,75,2665,0.436,13.3,0.779,0.251,0.12,0.164,0.244,0.221,0.463,0.642,0.351,0.447,0.345,0.341,0.147,0.614,0.001,0,0.093,0.421,6,0,,lawsoty01
17,Goran Dragić,28,2TM,PG,78,78,2640,0.501,10.4,0.742,0.415,0.105,0.126,0.096,0.258,0.555,0.7,0.381,0.373,0.354,0.347,0.383,0.756,0.001,1,0.32,0.349,0,0,,dragigo01
18,Goran Dragić,28,PHO,SG,52,52,1735,0.501,10.8,0.726,0.405,0.108,0.118,0.096,0.274,0.556,0.705,0.356,0.388,0.354,0.355,0.434,0.758,0.001,1,0.366,0.324,0,0,,dragigo01
19,Goran Dragić,28,MIA,PG,26,26,905,0.502,10,0.774,0.437,0.099,0.142,0.096,0.226,0.552,0.688,0.438,0.348,0.355,0.329,0.283,0.75,0,0,0.205,0.467,0,0,,dragigo01
20,Gordon Hayward,24,UTA,SF,76,76,2618,0.445,13.8,0.696,0.209,0.172,0.119,0.197,0.304,0.481,0.634,0.358,0.426,0.458,0.364,0.299,0.858,0.046,50,0.142,0.426,1,0,,haywago01
21,Stephen Curry,26,GSW,PG,80,80,2613,0.487,17.1,0.518,0.186,0.098,0.072,0.163,0.482,0.528,0.687,0.458,0.515,0.394,0.443,0.332,0.584,0.003,4,0.122,0.557,8,0,MVP-1ASNBA1,curryst01
22,Kentavious Caldwell-Pope,21,DET,SG,82,82,2587,0.401,15.8,0.543,0.226,0.099,0.08,0.138,0.457,0.449,0.6,0.26,0.436,0.343,0.345,0.608,0.863,0.036,30,0.241,0.383,4,0,,caldwke01
23,Markieff Morris,25,PHO,PF,82,82,2581,0.465,12,0.837,0.229,0.163,0.246,0.199,0.163,0.494,0.611,0.436,0.502,0.397,0.318,0.523,0.982,0.053,48,0.145,0.269,2,0,,morrima02
