Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Damian Lillard,22,POR,PG,82,82,3167,0.429,16,0.609,0.262,0.064,0.061,0.224,0.391,0.469,0.531,0.378,0.449,0.427,0.368,0.236,0.535,0.023,22,0.046,0.348,3,0,ROY-1,lillada01
2,Kevin Durant,24,OKC,SF,81,81,3119,0.51,13.3,0.767,0.22,0.166,0.195,0.186,0.233,0.539,0.737,0.471,0.475,0.432,0.416,0.449,0.799,0.083,115,0.06,0.4,0,0,MVP-2ASNBA1,duranke01
3,Monta Ellis,27,MIL,SG,82,82,3076,0.416,13,0.772,0.286,0.132,0.119,0.235,0.228,0.454,0.624,0.323,0.386,0.355,0.287,0.372,0.713,0.018,23,0.213,0.343,3,0,,ellismo01
4,DeMar DeRozan,23,TOR,SG,82,82,3013,0.445,13,0.903,0.202,0.149,0.187,0.365,0.097,0.463,0.659,0.404,0.391,0.414,0.283,0.527,0.882,0.045,54,0.292,0.343,0,0,,derozde01
5,Kobe Bryant,34,LAL,SG,78,78,3013,0.463,14.4,0.745,0.211,0.147,0.15,0.237,0.255,0.51,0.693,0.462,0.471,0.402,0.324,0.269,0.621,0.033,51,0.128,0.327,4,0,MVP-5ASNBA1,bryanko01
6,James Harden,23,HOU,SG,78,78,2985,0.438,13.7,0.636,0.308,0.149,0.049,0.13,0.364,0.477,0.65,0.296,0.318,0.333,0.368,0.241,0.475,0.035,46,0.033,0.25,3,1,MVP-8ASNBA3,hardeja01
7,Stephen Curry,24,GSW,PG,78,78,2983,0.451,18.5,0.568,0.1,0.103,0.099,0.265,0.432,0.449,0.583,0.343,0.457,0.438,0.453,0.251,0.614,0.002,3,0.147,0.523,6,0,MVP-11,curryst01
8,Paul George,22,IND,SF,79,79,2972,0.419,15.5,0.601,0.241,0.085,0.116,0.159,0.399,0.457,0.629,0.25,0.372,0.369,0.362,0.44,0.835,0.065,71,0.252,0.415,4,0,DPOY-8MIP-1ASNBA3,georgpa01
9,Klay Thompson,22,GSW,SG,82,82,2936,0.422,17.8,0.563,0.145,0.063,0.107,0.248,0.437,0.437,0.617,0.25,0.349,0.418,0.401,0.751,0.948,0.013,15,0.291,0.458,3,0,,thompkl01
10,Jrue Holiday,22,PHI,PG,78,78,2926,0.431,12.6,0.808,0.261,0.161,0.161,0.224,0.192,0.446,0.592,0.322,0.423,0.381,0.368,0.252,0.473,0.014,16,0.15,0.432,3,0,AS,holidjr01
11,O.J. Mayo,25,DAL,SG,82,82,2913,0.449,15.8,0.66,0.191,0.104,0.119,0.246,0.34,0.471,0.587,0.458,0.418,0.413,0.407,0.364,0.824,0.019,19,0.181,0.413,0,0,,mayooj01
12,David Lee,29,GSW,PF,79,79,2907,0.519,7.8,0.997,0.387,0.291,0.116,0.203,0.003,0.521,0.686,0.412,0.415,0.421,0,0.683,,0.059,65,0,,2,0,MVP-12ASNBA3,leeda02
13,Luol Deng,27,CHI,SF,75,75,2903,0.426,12.7,0.787,0.305,0.142,0.086,0.254,0.213,0.455,0.619,0.342,0.362,0.353,0.322,0.645,0.933,0.014,15,0.24,0.339,2,0,DPOY-15AS,denglu01
14,Brandon Jennings,23,MIL,PG,80,80,2897,0.399,15.1,0.63,0.228,0.121,0.123,0.158,0.37,0.412,0.496,0.285,0.416,0.386,0.375,0.253,0.595,0.005,6,0.158,0.384,3,0,,jennibr01
15,Evan Turner,24,PHI,SF,82,82,2892,0.419,13.1,0.849,0.186,0.145,0.262,0.255,0.151,0.428,0.546,0.346,0.428,0.39,0.365,0.371,0.931,0.013,14,0.509,0.383,1,0,,turneev01
16,LeBron James,28,MIA,PF,76,76,2877,0.565,11.2,0.812,0.373,0.133,0.105,0.202,0.188,0.602,0.776,0.494,0.415,0.447,0.406,0.378,0.553,0.109,144,0.161,0.488,0,0,MVP-1DPOY-2ASNBA1,jamesle01
17,Russell Westbrook,24,OKC,PG,82,82,2861,0.438,11.8,0.805,0.337,0.128,0.141,0.199,0.195,0.466,0.609,0.289,0.398,0.387,0.323,0.191,0.588,0.029,43,0.09,0.333,2,0,MVP-9DPOY-17ASNBA2,westbru01
18,Kemba Walker,22,CHA,PG,82,82,2859,0.423,13.4,0.733,0.302,0.113,0.129,0.189,0.267,0.459,0.548,0.312,0.413,0.438,0.322,0.258,0.738,0.004,5,0.075,0.32,7,0,,walkeke02
19,Deron Williams,28,BRK,PG,78,78,2842,0.44,16.1,0.602,0.17,0.157,0.09,0.186,0.398,0.482,0.665,0.42,0.416,0.397,0.378,0.316,0.734,0.004,2,0.163,0.479,3,0,,willide01
20,Nicolas Batum,24,POR,SF,73,73,2807,0.423,17.8,0.467,0.206,0.031,0.048,0.181,0.533,0.481,0.651,0.308,0.35,0.351,0.372,0.535,0.921,0.058,42,0.261,0.414,1,0,,batumni01
21,Marc Gasol,28,MEM,C,80,80,2796,0.494,10,0.984,0.221,0.311,0.247,0.205,0.016,0.501,0.651,0.437,0.451,0.494,0.071,0.654,1,0.038,33,0,,2,0,MVP-12DPOY-1NBA2,gasolma01
22,LaMarcus Aldridge,27,POR,PF,74,74,2790,0.484,11.7,0.989,0.215,0.192,0.197,0.385,0.011,0.488,0.694,0.447,0.438,0.418,0.143,0.542,0.5,0.047,56,0.286,0.25,1,0,AS,aldrila01
23,Andre Iguodala,29,DEN,SG,80,80,2779,0.451,13.9,0.673,0.307,0.093,0.102,0.171,0.327,0.515,0.752,0.329,0.278,0.333,0.317,0.541,0.802,0.159,134,0.348,0.26,4,0,DPOY-9,iguodan01
24,Chandler Parsons,24,HOU,SF,76,76,2758,0.486,13.7,0.579,0.35,0.112,0.027,0.091,0.421,0.559,0.69,0.352,0.36,0.365,0.385,0.641,0.928,0.054,47,0.311,0.496,0,0,,parsoch01
25,Mike Conley,25,MEM,PG,80,80,2757,0.44,13,0.688,0.323,0.155,0.07,0.139,0.312,0.476,0.563,0.336,0.455,0.443,0.362,0.295,0.802,0.001,1,0.167,0.449,2,0,DPOY-21,conlemi01
26,Al Horford,26,ATL,C,74,74,2756,0.543,9.5,0.994,0.35,0.207,0.114,0.324,0.006,0.544,0.752,0.434,0.446,0.423,0.5,0.771,0.667,0.098,101,0.5,0.667,0,0,,horfoal01
27,Dwight Howard,27,LAL,C,76,76,2722,0.578,3.7,0.993,0.594,0.357,0.025,0.017,0.007,0.581,0.7,0.424,0.25,0.214,0.167,0.697,1,0.244,187,0.333,0.5,1,0,DPOY-14ASNBA3,howardw01
28,Greg Monroe,22,DET,C,81,81,2687,0.486,5.2,0.996,0.56,0.256,0.043,0.137,0.004,0.488,0.614,0.332,0.311,0.317,0,0.521,,0.044,43,0.25,0,1,0,,monrogr01
29,Rudy Gay,26,2TM,SF,75,74,2687,0.416,13,0.792,0.221,0.195,0.195,0.182,0.208,0.44,0.603,0.369,0.43,0.329,0.323,0.362,0.679,0.076,78,0.146,0.263,3,0,,gayru01
30,Rudy Gay,26,MEM,SF,42,42,1541,0.408,12.3,0.813,0.234,0.206,0.203,0.169,0.188,0.431,0.571,0.359,0.414,0.345,0.31,0.382,0.725,0.078,43,0.147,0.158,0,0,,gayru01
31,Rudy Gay,26,TOR,SF,33,32,1146,0.425,13.7,0.768,0.205,0.181,0.184,0.198,0.232,0.452,0.647,0.382,0.452,0.313,0.336,0.337,0.636,0.073,35,0.145,0.368,3,0,,gayru01
32,Greivis Vásquez,26,NOH,PG,78,78,2685,0.433,11.9,0.76,0.208,0.369,0.085,0.098,0.24,0.462,0.569,0.424,0.419,0.414,0.342,0.166,0.747,0,0,0.107,0.615,5,0,,vasqugr01
33,Josh Smith,27,ATL,PF,76,76,2683,0.465,11.3,0.83,0.318,0.224,0.05,0.238,0.17,0.498,0.771,0.366,0.186,0.324,0.303,0.599,0.967,0.107,123,0.169,0.235,2,0,,smithjo03
34,J.R. Smith,27,NYK,SG,80,0,2678,0.422,16.4,0.651,0.169,0.122,0.096,0.264,0.349,0.458,0.64,0.342,0.375,0.424,0.356,0.172,0.813,0.024,26,0.156,0.353,8,0,6MOY-1,smithjr01
35,Joe Johnson,31,BRK,SG,72,72,2642,0.423,16.4,0.625,0.077,0.206,0.144,0.197,0.375,0.452,0.494,0.488,0.421,0.42,0.375,0.273,0.905,0.001,1,0.357,0.418,1,0,,johnsjo02
36,Jeremy Lin,24,HOU,PG,82,82,2640,0.441,12.4,0.713,0.333,0.175,0.049,0.156,0.287,0.483,0.635,0.318,0.227,0.421,0.339,0.272,0.828,0.003,3,0.195,0.34,0,0,,linje01
37,Tayshaun Prince,32,2TM,SF,82,81,2631,0.438,12.5,0.885,0.21,0.213,0.146,0.316,0.115,0.442,0.622,0.417,0.342,0.386,0.404,0.555,1,0.046,33,0.521,0.469,0,0,,princta01
38,Tayshaun Prince,32,DET,SF,45,45,1457,0.444,11.9,0.89,0.236,0.2,0.147,0.308,0.11,0.445,0.561,0.423,0.366,0.409,0.434,0.547,1,0.045,20,0.472,0.52,0,0,,princta01
39,Tayshaun Prince,32,MEM,SF,37,36,1174,0.429,13.2,0.878,0.173,0.232,0.146,0.327,0.122,0.437,0.741,0.41,0.306,0.355,0.366,0.566,1,0.048,13,0.585,0.417,0,0,,princta01
40,Thaddeus Young,24,PHI,PF,76,76,2629,0.531,7,0.992,0.452,0.248,0.102,0.189,0.008,0.535,0.67,0.454,0.357,0.414,0.125,0.72,1,0.093,82,0.75,0.167,0,0,,youngth01
41,Jeff Teague,24,ATL,PG,80,78,2628,0.451,11.4,0.745,0.337,0.213,0.077,0.119,0.255,0.482,0.595,0.386,0.427,0.371,0.359,0.203,0.719,0.022,19,0.097,0.375,0,0,,teaguje01
42,George Hill,26,IND,PG,76,76,2620,0.443,16.2,0.595,0.188,0.126,0.111,0.169,0.405,0.494,0.677,0.455,0.454,0.347,0.368,0.301,0.738,0.009,8,0.218,0.286,4,0,,hillge01
43,Zach Randolph,31,MEM,PF,76,75,2607,0.46,7.6,0.978,0.4,0.292,0.124,0.161,0.022,0.469,0.58,0.425,0.346,0.364,0.087,0.49,1,0.017,15,0.174,0,3,0,AS,randoza01
