Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,DeMar DeRozan,34,CHI,SF,79,79,2989,0.48,13.2,0.834,0.182,0.172,0.25,0.23,0.166,0.509,0.684,0.494,0.49,0.402,0.333,0.282,0.853,0.019,18,0.316,0.394,1,0,CPOY-2,derozde01
2,Domantas Sabonis,27,SAC,C,82,82,2928,0.594,6.2,0.919,0.455,0.361,0.07,0.032,0.081,0.613,0.722,0.516,0.467,0.471,0.379,0.607,0.909,0.113,111,0.057,0.2,0,0,MVP-8DPOY-10NBA3,sabondo01
3,Coby White,23,CHI,PG,79,78,2881,0.447,15.5,0.54,0.25,0.156,0.085,0.05,0.46,0.508,0.656,0.362,0.485,0.267,0.376,0.289,0.833,0.012,14,0.126,0.4,4,0,,whiteco01
4,Mikal Bridges,27,BRK,SF,82,82,2854,0.436,15.9,0.543,0.165,0.163,0.158,0.056,0.457,0.49,0.668,0.398,0.468,0.292,0.372,0.494,0.882,0.016,20,0.338,0.405,5,1,,bridgmi01
5,Paolo Banchero,21,ORL,PF,80,80,2799,0.455,12.6,0.751,0.225,0.235,0.183,0.108,0.249,0.493,0.703,0.403,0.395,0.421,0.339,0.363,0.655,0.063,80,0.068,0.25,2,0,AS,banchpa01
6,Kevin Durant,35,PHO,PF,75,75,2791,0.523,15,0.717,0.125,0.153,0.279,0.16,0.283,0.567,0.827,0.53,0.491,0.53,0.413,0.511,0.815,0.054,75,0.165,0.463,0,0,MVP-9ASNBA2,duranke01
7,Dejounte Murray,27,ATL,SG,78,78,2783,0.459,14.9,0.621,0.17,0.191,0.181,0.079,0.379,0.518,0.581,0.464,0.521,0.509,0.363,0.261,0.706,0.011,14,0.222,0.431,1,0,,murrade01
8,Anthony Edwards,22,MIN,SG,79,78,2770,0.461,14.1,0.659,0.228,0.192,0.125,0.114,0.341,0.515,0.707,0.438,0.446,0.333,0.357,0.331,0.558,0.051,67,0.086,0.348,5,0,MVP-7CPOY-8ASNBA2,edwaran01
9,Nikola Jokić,28,DEN,C,79,79,2737,0.583,9.7,0.836,0.26,0.404,0.115,0.057,0.164,0.626,0.741,0.614,0.537,0.37,0.359,0.572,0.807,0.013,17,0.035,0.25,8,0,MVP-1CPOY-4ASNBA1,jokicni01
10,Jalen Brunson,27,NYK,PG,77,77,2726,0.479,14.3,0.681,0.127,0.275,0.189,0.09,0.319,0.516,0.636,0.519,0.474,0.426,0.401,0.23,0.583,0.002,3,0.131,0.464,1,0,MVP-5CPOY-5ASNBA2,brunsja01
11,Josh Hart,28,NYK,SF,81,42,2707,0.434,12.8,0.62,0.321,0.169,0.1,0.029,0.38,0.511,0.661,0.339,0.382,0.3,0.31,0.633,0.888,0.016,10,0.24,0.339,1,0,,hartjo01
12,Anthony Davis,30,LAL,C,76,76,2700,0.556,8,0.917,0.369,0.309,0.15,0.09,0.083,0.582,0.774,0.487,0.432,0.365,0.271,0.67,0.966,0.162,196,0.15,0.125,0,0,DPOY-4ASNBA2,davisan02
13,Fred VanVleet,29,HOU,PG,73,73,2684,0.416,19.9,0.424,0.093,0.123,0.073,0.136,0.576,0.454,0.505,0.384,0.459,0.478,0.387,0.219,0.568,0,0,0.09,0.491,8,0,,vanvlfr01
14,De'Aaron Fox,26,SAC,PG,74,74,2659,0.465,15,0.626,0.134,0.248,0.172,0.072,0.374,0.522,0.72,0.534,0.423,0.351,0.369,0.198,0.626,0.017,24,0.134,0.436,1,0,CPOY-12,foxde01
15,Pascal Siakam,29,2TM,PF,80,80,2657,0.536,9.9,0.806,0.304,0.312,0.129,0.061,0.194,0.581,0.739,0.515,0.445,0.423,0.346,0.507,0.976,0.033,40,0.297,0.466,0,0,,siakapa01
16,Pascal Siakam,29,TOR,PF,39,39,1354,0.522,10.7,0.767,0.284,0.307,0.125,0.051,0.233,0.584,0.768,0.503,0.474,0.313,0.317,0.53,0.978,0.037,22,0.276,0.475,0,0,,siakapa01
17,Pascal Siakam,29,IND,PF,41,41,1303,0.549,9.1,0.844,0.324,0.316,0.133,0.071,0.156,0.58,0.714,0.527,0.419,0.5,0.386,0.486,0.974,0.029,18,0.327,0.455,0,0,,siakapa01
18,Jayson Tatum,25,BOS,PF,74,74,2645,0.471,15.4,0.573,0.222,0.167,0.092,0.092,0.427,0.542,0.741,0.441,0.389,0.397,0.376,0.357,0.485,0.065,86,0.059,0.361,0,0,MVP-6CPOY-9ASNBA1,tatumja01
19,Austin Reaves,25,LAL,SG,82,57,2629,0.486,16.1,0.553,0.179,0.193,0.118,0.064,0.447,0.583,0.81,0.519,0.45,0.383,0.367,0.409,0.675,0.014,13,0.143,0.317,3,0,,reaveau01
