Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Monta Ellis,25,GSW,SG,80,80,3227,0.451,14.2,0.765,0.24,0.133,0.091,0.3,0.235,0.478,0.703,0.377,0.322,0.39,0.361,0.35,0.657,0.027,41,0.253,0.354,10,1,,ellismo01
2,LaMarcus Aldridge,25,POR,PF,81,81,3211,0.5,9.3,0.984,0.32,0.271,0.155,0.238,0.016,0.505,0.704,0.397,0.402,0.427,0.174,0.546,0.75,0.117,148,0.217,0,4,0,NBA3,aldrila01
3,Luol Deng,25,CHI,SF,82,82,3208,0.46,13.7,0.712,0.268,0.158,0.069,0.217,0.288,0.506,0.667,0.456,0.3,0.41,0.345,0.62,0.974,0.029,33,0.381,0.354,2,0,DPOY-10,denglu01
4,Dorell Wright,25,GSW,SF,82,82,3147,0.423,16.1,0.55,0.216,0.112,0.079,0.142,0.45,0.462,0.665,0.367,0.275,0.331,0.376,0.526,0.974,0.065,71,0.308,0.421,2,0,,wrighdo01
5,Blake Griffin,21,LAC,PF,82,82,3112,0.506,7.2,0.983,0.408,0.318,0.102,0.154,0.017,0.51,0.689,0.432,0.298,0.335,0.292,0.666,1,0.176,214,0.042,0,3,0,MVP-10ROY-1AS,griffbl01
6,LeBron James,26,MIA,SF,79,79,3063,0.51,12.7,0.812,0.284,0.172,0.094,0.262,0.188,0.552,0.744,0.459,0.443,0.445,0.33,0.284,0.609,0.068,98,0.211,0.322,5,1,MVP-3DPOY-9ASNBA1,jamesle01
7,Kevin Durant,22,OKC,SF,78,78,3038,0.462,15.5,0.731,0.162,0.113,0.16,0.296,0.269,0.504,0.795,0.414,0.439,0.413,0.35,0.565,0.855,0.083,125,0.063,0.385,0,0,MVP-5ASNBA1,duranke01
8,Pau Gasol,30,LAL,C,82,82,3037,0.529,7.9,0.997,0.313,0.346,0.195,0.144,0.003,0.53,0.695,0.429,0.45,0.522,0.333,0.574,1,0.066,73,0.667,0.5,0,0,ASNBA2,gasolpa01
9,Derrick Rose,22,CHI,PG,81,81,3026,0.445,13,0.759,0.294,0.164,0.105,0.196,0.241,0.481,0.611,0.374,0.437,0.399,0.332,0.204,0.594,0.02,32,0.052,0.3,9,0,MVP-1ASNBA1,rosede01
10,Al Jefferson,26,UTA,C,82,82,2940,0.496,8.1,1,0.315,0.332,0.19,0.163,0,0.496,0.655,0.441,0.394,0.419,,0.584,,0.058,74,,,0,0,,jeffeal01
11,Dwight Howard,25,ORL,C,78,78,2935,0.593,4.9,0.993,0.495,0.385,0.096,0.017,0.007,0.597,0.752,0.453,0.38,0.556,0,0.532,,0.225,227,0,,4,0,MVP-2DPOY-1ASNBA1,howardw01
12,Jrue Holiday,20,PHI,PG,82,82,2901,0.446,12.6,0.778,0.265,0.182,0.144,0.186,0.222,0.47,0.6,0.346,0.389,0.468,0.365,0.274,0.716,0.017,13,0.261,0.379,2,0,,holidjr01
13,Ray Allen,35,BOS,SG,80,80,2890,0.491,16.3,0.613,0.173,0.085,0.121,0.235,0.387,0.52,0.651,0.482,0.458,0.47,0.444,0.622,0.958,0.015,14,0.392,0.514,0,0,AS,allenra02
14,Brook Lopez,22,NJN,C,82,82,2889,0.492,8.4,0.999,0.242,0.437,0.15,0.17,0.001,0.492,0.625,0.495,0.398,0.381,0,0.637,,0.072,87,0,,0,0,,lopezbr01
15,Chris Paul,25,NOH,PG,80,80,2880,0.463,14.2,0.803,0.145,0.205,0.183,0.269,0.197,0.482,0.615,0.447,0.435,0.468,0.388,0.12,0.479,0,0,0.126,0.435,1,0,MVP-13DPOY-12ASNBA3,paulch01
16,Mike Conley,23,MEM,PG,81,81,2872,0.444,12.2,0.772,0.292,0.197,0.086,0.197,0.228,0.466,0.626,0.346,0.341,0.404,0.369,0.204,0.938,0.003,3,0.217,0.447,1,0,,conlemi01
