Rk,Player,Age,Team,Pos,G,GS,MP,FG%,avgDistance,2P (% of FGA),0-3 (% of FGA),3-10 (% of FGA),10-16 (% of FGA),16-3P (% of FGA),3P (% of FGA),2P%,0-3%,3-10%,10-16%,16-3P%,3P%,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Kevin Durant,23,OKC,SF,66,66,2546,0.496,13.8,0.735,0.213,0.157,0.184,0.182,0.265,0.535,0.739,0.448,0.424,0.483,0.387,0.396,0.805,0.082,102,0.047,0.5,1,0,MVP-2ASNBA1,duranke01
2,Pau Gasol,31,LAL,PF,65,65,2430,0.501,9.7,0.971,0.275,0.281,0.167,0.248,0.029,0.508,0.687,0.442,0.412,0.449,0.259,0.646,0.857,0.087,74,0.667,0.389,0,0,,gasolpa01
3,Rudy Gay,25,MEM,SF,65,65,2422,0.455,12.1,0.838,0.275,0.169,0.178,0.216,0.162,0.482,0.679,0.367,0.437,0.359,0.312,0.397,0.796,0.119,110,0.162,0.286,3,1,,gayru01
4,Blake Griffin,22,LAC,PF,66,66,2392,0.549,7.7,0.984,0.436,0.266,0.059,0.223,0.016,0.556,0.765,0.426,0.25,0.382,0.125,0.626,1,0.209,192,0.188,0,3,0,ASNBA2,griffbl01
5,John Wall,21,WAS,PG,66,66,2386,0.423,9.6,0.953,0.413,0.152,0.106,0.282,0.047,0.44,0.618,0.287,0.337,0.302,0.071,0.213,1,0.055,47,0.357,0.067,2,0,,walljo01
6,Marc Gasol,27,MEM,C,65,65,2370,0.482,9.6,0.984,0.212,0.357,0.266,0.149,0.016,0.489,0.701,0.47,0.406,0.382,0.083,0.683,1,0.039,28,0.083,0,4,0,DPOY-12AS,gasolma01
7,Brandon Jennings,22,MIL,PG,66,66,2331,0.418,14,0.654,0.262,0.167,0.084,0.141,0.346,0.464,0.571,0.396,0.362,0.405,0.332,0.326,0.55,0.008,8,0.152,0.373,4,0,,jennibr01
8,Russell Westbrook,23,OKC,PG,66,66,2331,0.457,11.8,0.845,0.291,0.152,0.19,0.212,0.155,0.482,0.631,0.358,0.404,0.437,0.316,0.182,0.516,0.049,48,0.056,0.364,2,0,MVP-12DPOY-18ASNBA2,westbru01
9,Josh Smith,26,ATL,PF,66,66,2329,0.458,11.7,0.901,0.304,0.184,0.058,0.354,0.099,0.48,0.693,0.394,0.313,0.369,0.257,0.622,0.964,0.078,83,0.367,0.3,1,0,DPOY-10,smithjo03
10,LeBron James,27,MIA,SF,62,62,2326,0.531,11.5,0.873,0.329,0.136,0.135,0.272,0.127,0.556,0.758,0.484,0.481,0.384,0.362,0.36,0.519,0.092,104,0.121,0.333,0,0,MVP-1DPOY-4ASNBA1,jamesle01
11,Kobe Bryant,33,LAL,SG,58,58,2232,0.43,15,0.785,0.132,0.164,0.197,0.293,0.215,0.464,0.688,0.434,0.403,0.422,0.303,0.409,0.644,0.023,28,0.108,0.355,1,0,MVP-4ASNBA1,bryanko01
12,Wesley Matthews,25,POR,SG,66,53,2228,0.412,15.4,0.558,0.233,0.11,0.088,0.127,0.442,0.434,0.506,0.429,0.388,0.34,0.383,0.438,0.922,0.01,7,0.365,0.423,2,0,,matthwe02
13,Andre Iguodala,28,PHI,SF,62,62,2209,0.454,15.5,0.695,0.229,0.074,0.084,0.307,0.305,0.481,0.752,0.362,0.434,0.32,0.394,0.412,0.75,0.111,70,0.187,0.472,2,0,DPOY-7AS,iguodan01
14,DeMar DeRozan,22,TOR,SG,63,63,2206,0.422,12.7,0.898,0.248,0.142,0.179,0.329,0.102,0.44,0.589,0.445,0.407,0.343,0.261,0.63,0.792,0.043,35,0.272,0.4,2,0,,derozde01
15,Jrue Holiday,21,PHI,PG,65,65,2196,0.432,12.7,0.795,0.247,0.171,0.159,0.217,0.205,0.445,0.539,0.343,0.429,0.431,0.38,0.281,0.754,0.028,21,0.246,0.286,0,0,,holidjr01
