Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Dolph Schayes,29,SYR,PF,72,2918,7.2,18,0.398,7.8,8.6,0.904,12.6,2.8,3,22.1,MVP-2ASNBA1,schaydo01
2,George Yardley,29,DET,SF,72,2843,8.5,20.6,0.414,8.3,10.2,0.811,9.7,1.2,2.9,25.3,MVP-3ASNBA1,yardlge01
3,Larry Costello,26,SYR,PG,72,2746,5,11.6,0.426,4.2,5,0.847,5,4.2,3.2,14.1,AS,costela01
4,Kenny Sears,24,NYK,PF,72,2685,6,13.6,0.439,6.1,7.4,0.822,10.5,1.7,3.4,18,MVP-12AS,searske01
5,Bill Russell,23,BOS,C,69,2640,6.2,14.1,0.442,3.1,6,0.519,21.3,2.8,2.5,15.6,MVP-1ASNBA2,russebi01
6,Clyde Lovellette,28,CIN,C,71,2589,9.4,21.4,0.441,4.2,5.6,0.743,12,1.9,3.3,23.1,MVP-12,lovelcl01
7,Bob Pettit,25,STL,PF,70,2528,8.3,20.2,0.41,7.9,10.6,0.749,17.3,2.2,3.2,24.5,MVP-4ASNBA1,pettibo01
8,Carl Braun,30,NYK,PG,71,2475,6.2,14.8,0.418,4.7,5.5,0.849,4.8,5.7,2.7,17.1,,braunca01
9,Maurice Stokes,24,CIN,PF,63,2460,6.1,17.3,0.351,3.5,4.9,0.715,16.7,5.9,3.3,15.6,MVP-5ASNBA2,stokema01
10,Neil Johnston,28,PHW,C,71,2408,7.1,16.5,0.429,6.6,8.1,0.819,11.8,2.5,3.5,20.8,MVP-12AS,johnsne01
11,Vern Mikkelsen,29,MNL,PF,72,2390,6.6,16.1,0.41,5.6,7.1,0.786,12.1,2.5,4.5,18.8,MVP-10,mikkeve01
12,Red Kerr,25,SYR,C,72,2384,6.1,15.4,0.399,4.2,6.4,0.664,14.5,1.3,3,16.5,,kerrre01
13,Woody Sauldsberry,23,PHW,PF,71,2377,5.9,16.4,0.36,2,3.3,0.615,11,0.9,3.7,13.8,ROY-1,sauldwo01
14,Paul Arizin,29,PHW,SF,68,2377,7.3,18.6,0.393,6.7,8.2,0.809,7.6,2,3.6,21.3,MVP-8AS,arizipa01
15,Willie Naulls,23,NYK,SF,68,2369,7.2,18.1,0.397,4.3,5.2,0.826,12.1,1.5,3.3,18.7,AS,naullwi01
16,Richie Guerin,25,NYK,SG,63,2368,5.2,14.8,0.354,5.4,7.8,0.691,7.4,4.8,3.1,15.8,AS,gueriri01
17,Gene Shue,26,DET,SG,63,2333,5.4,14.2,0.384,4.3,5,0.844,5.1,2.7,2.3,15.2,AS,shuege01
18,Dick McGuire,32,DET,PG,69,2311,3.2,8.5,0.373,2.3,3.5,0.667,4.5,7.1,2.8,8.7,AS,mcguidi01
19,George King,29,CIN,PG,63,2272,3.7,10.2,0.364,2.2,3.6,0.617,4.8,5.3,2,9.7,,kingge01
20,Jack McMahon,29,STL,SG,72,2239,3.5,11.6,0.3,2.2,3.6,0.606,3.1,5.4,3,9.1,,mcmahja01
21,Bob Cousy,29,BOS,PG,65,2222,7.2,20.4,0.353,4.5,5.3,0.85,5.2,7.5,2.2,18.9,MVP-6ASNBA1,cousybo01
22,Dick Garmaker,25,MNL,SG,68,2216,6.3,16.1,0.395,5.1,6.7,0.764,5.9,3,3.1,17.8,AS,garmadi01
23,Bill Sharman,31,BOS,SG,63,2214,8.9,21.1,0.424,4.9,5.5,0.893,4.8,2.7,2.5,22.8,MVP-7ASNBA1,sharmbi01
24,Tom Heinsohn,23,BOS,PF,69,2206,7.6,20,0.382,4.8,6.4,0.746,11.5,2,4.5,20.1,,heinsto01
25,Larry Foust,29,MNL,C,72,2200,6.4,16.1,0.398,7,9.3,0.756,14.3,1.8,4.9,19.8,AS,foustla01
26,Cliff Hagan,26,STL,SF,70,2190,8.3,18.7,0.443,6.3,8.2,0.768,11.6,2.9,4.4,22.9,MVP-11ASNBA2,hagancl01
27,Walter Dukes,27,DET,C,72,2184,4.6,13.1,0.349,4.1,6,0.675,15.7,0.9,5.1,13.2,MVP-9,dukeswa01
28,Jack Twyman,23,CIN,SF,72,2178,7.7,17,0.452,5.1,6.5,0.775,7.7,1.8,3.7,20.4,AS,twymaja01
29,Tom Gola,25,PHW,SG,59,2126,5,12,0.415,3.8,5.1,0.746,10.8,5.5,3.8,13.8,NBA2,golato01
30,Slater Martin,32,STL,PG,60,2098,4.4,13.2,0.336,3.5,4.7,0.746,3.9,3.7,3.2,12.4,ASNBA2,martisl01
31,Joe Graboski,28,PHW,PF,72,2077,5.9,17.6,0.335,3.9,5.3,0.749,9.9,2.2,4.3,15.8,,grabojo01
32,Slick Leonard,25,MNL,PG,66,2074,4.6,13.8,0.335,3.6,4.7,0.765,4.1,3.8,2.5,12.8,,leonasl01
33,Frank Ramsey,26,BOS,SG,69,2047,6.6,15.8,0.419,6.7,8.3,0.811,8.9,2.9,4.3,20,,ramsefr01
34,Harry Gallatin,30,DET,PF,72,1990,6.2,16.2,0.379,7.1,9,0.787,13.5,1.6,3.9,19.4,,gallaha01
35,Ernie Beck,26,PHW,SG,71,1974,5,12.5,0.398,3.1,3.7,0.837,5.6,3.5,3.2,13,,becker01
36,Jack George,29,PHW,PG,72,1910,4.4,11.8,0.37,3.4,4.6,0.736,5.4,4.4,2.6,12.1,,georgja01
