Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Bill Russell,30,BOS,C,78,,3466,4.5,10.2,0.438,2.5,4.4,0.573,19.5,4.3,2.1,11.4,MVP-1ASNBA1,russebi01
2,Oscar Robertson,26,CIN,PG,75,,3421,8.5,17.7,0.48,7,8.3,0.839,7.1,9.1,2.2,24,MVP-2ASNBA1,roberos01
3,Walt Bellamy,25,BAL,C,80,,3301,8,15.7,0.509,5.6,8.2,0.685,12.7,2.1,2.8,21.6,AS,bellawa01
4,Wilt Chamberlain,28,2TM,C,73,,3301,11.6,22.7,0.51,4.4,9.6,0.464,18.2,2.7,1.6,27.6,MVP-5ASNBA2,chambwi01
5,Wilt Chamberlain,28,SFW,C,38,,1743,13.1,26.3,0.499,4.3,10.3,0.416,18.4,2.4,1.6,30.6,,chambwi01
6,Wilt Chamberlain,28,PHI,C,35,,1558,9.9,18.7,0.528,4.6,8.8,0.526,18,3.1,1.6,24.4,,chambwi01
7,Nate Thurmond,23,SFW,PF,77,,3173,5.9,14.1,0.419,2.7,4.1,0.658,15.8,1.8,2.6,14.4,AS,thurmna01
8,Jerry West,26,LAL,PG,74,,3066,9.7,19.4,0.497,7.6,9.3,0.821,5.2,4.3,2.6,26.9,MVP-3ASNBA1,westje01
9,Elgin Baylor,30,LAL,SF,74,,3056,9,22.4,0.401,5.7,7.2,0.792,11.2,3.3,2.8,23.7,ASNBA1,bayloel01
10,Willis Reed,22,NYK,C,80,80,3042,7.4,17.2,0.432,3.6,4.8,0.742,13.9,1.6,4,18.5,ROY-1AS,reedwi01
11,Bailey Howell,28,BAL,PF,80,,2975,6.2,12.6,0.495,6.1,7.6,0.801,10.5,2.5,4.2,18.6,,howelba01
12,Zelmo Beaty,25,STL,C,80,,2916,6.2,12.9,0.482,4.2,5.9,0.715,11.9,1.4,4,16.7,,beatyze01
13,Gus Johnson,26,BAL,SF,76,,2899,7.2,17.1,0.418,3.2,4.8,0.676,12.3,3.4,3.2,17.6,ASNBA2,johnsgu01
14,Sam Jones,31,BOS,SG,80,,2885,10.2,22.7,0.452,5.3,6.5,0.82,5.1,2.8,2.2,25.8,MVP-4ASNBA2,jonessa01
15,Jerry Lucas,24,CIN,PF,66,,2864,7,14.1,0.498,3.7,4.6,0.814,16.6,2,2.7,17.8,ASNBA1,lucasje01
16,Lenny Wilkens,27,STL,PG,78,,2854,5.5,13.2,0.414,5.2,7,0.746,4.6,5.4,3.6,16.2,AS,wilkele01
17,Don Ohl,28,BAL,SG,77,,2821,7.2,16.6,0.438,3.6,5,0.732,4.3,3.2,3.5,18.1,AS,ohldo01
18,Dave DeBusschere,24,DET,PF,79,,2769,6.6,15.5,0.425,4,5.7,0.7,11.4,3.3,3.1,17.2,,debusda01
