Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Michael Finley,27,DAL,SF,82,82,3443,7.4,16.2,0.458,1,2.7,0.346,6.5,13.5,0.481,0.487,2.6,3.4,0.775,1.1,3.3,4.4,3.8,1.2,0.3,2,1.8,18.5,MVP-15AS,finlemi01
2,Antoine Walker,24,BOS,PF,81,81,3396,7.5,18.2,0.413,2.3,6.4,0.367,5.2,11.8,0.439,0.478,2.6,3.7,0.716,1.6,6,7.6,4.7,1.5,0.5,3.2,2.7,20.1,,walkean02
3,Antawn Jamison,24,GSW,SF,82,82,3394,8.5,19.2,0.442,0.7,2.2,0.302,7.8,17,0.459,0.459,4.1,5.7,0.715,3,4.6,7.6,1.7,1.2,0.3,2.1,2.4,21.7,,jamisan01
4,Anthony Mason,34,MIA,PF,80,80,3254,5.1,10.6,0.482,0,0,,5.1,10.6,0.482,0.482,4.1,5.2,0.781,1.9,6.6,8.5,2.7,0.9,0.3,2,2.6,14.3,MVP-15DPOY-8AS,masonan01
5,Gary Payton,32,SEA,PG,79,79,3244,8,17.7,0.456,1.1,3,0.375,6.9,14.6,0.472,0.488,3,3.9,0.766,0.8,3.2,4,7.1,1.4,0.3,2.3,2,20.2,ASNBA3,paytoga01
6,Shareef Abdur-Rahim,24,VAN,SF,81,81,3241,6.7,14.2,0.472,0.1,0.7,0.188,6.6,13.5,0.487,0.477,4.9,5.9,0.834,1.9,6.2,8.2,2.8,1,0.9,2.6,2.6,18.5,,abdursh01
7,Jerry Stackhouse,26,DET,SG,80,80,3215,8.7,21.6,0.402,1.9,5.3,0.351,6.8,16.3,0.418,0.445,7.5,9.1,0.822,1.1,2.4,3.5,4.6,1.1,0.6,3.7,1.8,26.7,MVP-14AS,stackje01
8,Kevin Garnett,24,MIN,PF,81,81,3202,7.9,16.6,0.477,0.2,0.7,0.288,7.7,15.8,0.486,0.484,4,5.3,0.764,2.5,7.9,10.4,4.5,1.2,1.6,2.6,2.3,20.1,MVP-5DPOY-2ASNBA2,garneke01
9,Steve Francis,23,HOU,PG,80,79,3194,6.2,13.7,0.451,1.5,3.8,0.396,4.7,10,0.472,0.506,4,4.9,0.817,2.1,4.1,6.2,5.8,1.6,0.3,3,3.1,17.9,,francst01
10,Baron Davis,21,CHH,PG,82,82,3192,4.6,10.8,0.427,1,3.1,0.31,3.7,7.7,0.474,0.472,2.6,3.8,0.677,1.5,3.1,4.6,6.7,1.9,0.4,2.5,3,12.8,,davisba01
11,Mike Bibby,22,VAN,PG,82,82,3190,5.9,13.1,0.454,1.2,3.2,0.379,4.7,9.8,0.478,0.5,1.6,2.1,0.761,0.5,2.9,3.4,7.7,1.2,0.1,2.8,1.7,14.7,,bibbymi01
12,Reggie Miller,35,IND,SG,81,81,3181,5.9,13.3,0.44,1.9,5.3,0.366,3.9,8.1,0.487,0.512,3.7,3.9,0.928,0.4,2.8,3.2,2.9,0.9,0.2,1.5,1.8,17.3,,millere01
13,Tim Duncan,24,SAS,PF,82,82,3174,8,15.9,0.499,0.1,0.3,0.259,7.9,15.6,0.504,0.502,4.6,7.5,0.618,2.9,8.4,11.3,2.8,0.8,2.2,2.7,2.8,20.6,MVP-2DPOY-3ASNBA1,duncati01
14,Ray Allen,25,MIL,SG,82,82,3129,7.2,15.1,0.48,2.3,5.4,0.433,4.9,9.7,0.506,0.557,4,4.5,0.888,1.2,3.8,4.9,4.3,1.4,0.2,2.3,2.2,20.8,MVP-11ASNBA3,allenra02
15,Dirk Nowitzki,22,DAL,PF,82,82,3125,6.8,14.4,0.474,1.7,4.5,0.387,5.1,9.9,0.513,0.534,5.2,6.2,0.838,1.4,7.3,8.7,2,0.9,1.2,1.8,2.8,20.6,NBA3,nowitdi01
16,Paul Pierce,23,BOS,SF,82,82,3120,7.9,17.5,0.454,1.7,4.4,0.383,6.2,13,0.478,0.503,6.3,8.5,0.745,1.1,4.9,6,2.9,1.6,0.8,3,2.9,23.9,MVP-13,piercpa01
17,David Wesley,30,CHH,SG,82,82,3106,6.1,14.4,0.422,1.1,3,0.376,4.9,11.4,0.434,0.461,3.1,3.9,0.799,0.7,1.9,2.6,4.2,1.5,0.2,2,2.5,16.4,,wesleda01
18,Jason Terry,23,ATL,SG,82,77,3089,6.9,15.9,0.436,1.4,3.7,0.395,5.5,12.3,0.448,0.481,3.5,4.2,0.846,0.5,2.6,3.1,4.7,1.2,0.1,2.8,2.4,18.9,,terryja01
19,Tracy McGrady,21,ORL,SG,77,77,3087,9.2,20.1,0.457,0.7,1.9,0.355,8.5,18.2,0.468,0.474,5,6.8,0.733,2.2,4.5,6.8,4.1,1.4,1.4,2.3,1.9,24.1,MVP-6MIP-1ASNBA2,mcgratr01
20,Jason Kidd,27,PHO,PG,77,76,3065,5.3,12.9,0.411,0.8,2.7,0.297,4.5,10.2,0.442,0.443,3.9,4.7,0.814,1.1,4.7,5.8,8.8,1.9,0.3,3.4,2,15.3,MVP-8DPOY-11ASNBA1,kiddja01
21,Latrell Sprewell,30,NYK,SF,77,77,3017,6.3,14.5,0.43,0.5,1.6,0.304,5.8,12.9,0.446,0.447,3.3,4.2,0.783,0.6,3.6,4.1,3.2,1.3,0.3,2.6,1.9,16.3,AS,sprewla01
22,Cuttino Mobley,25,HOU,SG,79,49,3002,6.3,14.6,0.434,1.1,3,0.357,5.2,11.5,0.454,0.471,4.7,5.7,0.831,1,3.8,4.8,2.3,1,0.3,2,2,18.4,,moblecu01
23,Jamal Mashburn,28,CHH,SF,76,76,2989,6.9,16.7,0.413,1.2,3.5,0.356,5.7,13.2,0.428,0.45,3.4,4.4,0.766,1.1,5.8,6.9,5,1,0.2,2.5,2.2,18.4,,mashbja01
24,Vince Carter,24,TOR,SF,75,75,2979,9.2,20,0.46,2,4.8,0.408,7.3,15.2,0.477,0.509,4.6,6.1,0.765,2.1,2.9,5,3.5,1.4,1,2,2.5,25,MVP-11ASNBA2,cartevi01
25,Allen Iverson,25,PHI,SG,71,71,2979,9.2,21.9,0.42,1.2,3.7,0.32,8,18.2,0.441,0.447,7.1,8.7,0.814,0.6,2.7,3.3,3.9,2.2,0.2,2.9,1.8,26.7,MVP-1DPOY-11ASNBA1,iversal01
26,Juwan Howard,27,2TM,PF,81,81,2974,7.1,14.7,0.479,0,0,0,7.1,14.7,0.48,0.479,3.6,4.6,0.773,2.1,4.9,6.9,2.7,0.9,0.4,2.9,3.5,17.7,,howarju01
27,Juwan Howard,27,WAS,PF,54,54,1981,7.1,15,0.474,0,0,,7.1,15,0.474,0.474,3.6,4.7,0.77,2.2,4.7,6.9,2.8,0.8,0.4,3.1,3.4,17.8,,howarju01
28,Juwan Howard,27,DAL,PF,27,27,993,6.9,14.2,0.488,0,0.1,0,6.9,14.1,0.492,0.488,3.6,4.6,0.78,1.8,5.2,7,2.5,1.1,0.6,2.6,3.8,17.4,,howarju01
