Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Michael Finley,26,DAL,SF,82,82,3464,7.8,17,0.457,1,2.6,0.401,6.7,14.4,0.467,0.487,2.7,3.3,0.82,1.3,4.1,5.4,4.6,1.1,0.3,2,1.8,19.3,MVP-13AS,finlemi01
2,Gary Payton,31,SEA,PG,82,82,3425,7.9,17.5,0.448,1.9,5.5,0.34,6,12,0.497,0.502,3.3,4.4,0.735,1.1,4.5,5.6,7.7,1.6,0.2,2.4,1.9,20.8,MVP-6DPOY-5ASNBA1,paytoga01
3,Latrell Sprewell,29,NYK,SF,82,82,3276,6.2,14.3,0.435,0.5,1.4,0.346,5.8,12.9,0.445,0.452,3.8,4.4,0.866,0.5,3.3,3.8,3.6,1.2,0.2,2.5,2,16.7,,sprewla01
4,Kevin Garnett,23,MIN,PF,81,81,3243,8.4,16.9,0.497,0.3,0.9,0.37,8.1,16,0.504,0.507,3.4,4.5,0.765,2.5,8.1,10.6,4.5,1.3,1.4,3,2.3,20.6,MVP-2DPOY-7ASNBA1,garneke01
5,Shareef Abdur-Rahim,23,VAN,SF,82,82,3223,6.6,14.3,0.465,0.3,1.1,0.302,6.3,13.2,0.478,0.477,5,6.2,0.809,2.4,6.8,9.2,3,1,1,2.8,2.7,18.6,,abdursh01
6,Allan Houston,28,NYK,SG,82,82,3169,7,14.4,0.483,1.2,2.8,0.436,5.8,11.7,0.494,0.525,3.2,3.8,0.838,0.4,2.6,3.1,2.5,0.7,0.2,2.1,2.5,18.3,AS,houstal01
7,Shaquille O'Neal,27,LAL,C,79,79,3163,10.9,19,0.574,0,0,0,10.9,18.9,0.575,0.574,4.9,9.4,0.524,3.8,8.4,12.3,3.4,0.4,2.7,2.5,2.9,26.7,MVP-1DPOY-2ASNBA1,onealsh01
8,Mike Bibby,21,VAN,PG,82,82,3155,5.2,11.8,0.445,0.9,2.4,0.363,4.4,9.3,0.466,0.483,2.2,2.9,0.78,0.8,2.7,3.5,7.6,1.5,0.2,2.8,2,13.6,,bibbymi01
9,Jerry Stackhouse,25,DET,SG,82,82,3148,7.1,16.5,0.428,0.9,3.3,0.288,6.1,13.3,0.462,0.456,7.1,8.7,0.815,1.3,2.3,3.6,4.2,1.2,0.4,3.6,2.1,22.2,AS,stackje01
10,Anthony Mason,33,CHH,SF,82,81,3133,3.6,7.6,0.48,0,0,0,3.6,7.6,0.48,0.48,3.6,4.8,0.746,1.7,6.4,8,4.2,0.9,0.3,1.8,2.5,10.9,DPOY-8,masonan01
11,Vince Carter,23,TOR,SF,82,82,3126,9.1,19.5,0.465,1.1,2.7,0.403,8,16.8,0.475,0.493,5,6.3,0.791,1.7,3.8,5.5,3.7,1.3,1.1,2,3,24.3,MVP-10ASNBA3,cartevi01
12,Michael Dickerson,24,VAN,SG,82,82,3103,6.4,14.7,0.436,1.4,3.4,0.409,5,11.4,0.444,0.483,3.1,3.8,0.83,0.9,2.3,3.2,2.4,1.3,0.5,1.9,2.6,17.4,,dickemi01
13,Ray Allen,24,MIL,SG,82,82,3070,7.5,16.5,0.455,2,4.8,0.423,5.5,11.8,0.468,0.516,4.1,4.7,0.887,1,3.2,4.2,3.6,1.3,0.2,2.1,2.2,21.2,AS,allenra02
14,Antoine Walker,23,BOS,PF,82,82,3003,7.8,18.1,0.43,0.9,3.4,0.256,6.9,14.6,0.471,0.455,3.7,5.3,0.699,2.4,5.4,7.8,3.7,1.4,0.4,3.1,3.2,20.1,,walkean02
15,Elton Brand,20,CHI,PF,81,80,2999,7.6,15.7,0.482,0,0,0,7.6,15.7,0.483,0.482,4.4,6.4,0.685,4.2,5.5,9.7,1.9,0.8,1.6,2.7,3.1,19.5,ROY-1,brandel01
16,Reggie Miller,34,IND,SG,81,81,2987,5.6,12.5,0.448,2,4.9,0.408,3.6,7.7,0.473,0.527,4.5,4.9,0.919,0.6,2.3,2.9,2.3,1,0.3,1.6,1.5,17.7,MVP-13AS,millere01
17,Dikembe Mutombo,33,ATL,C,82,82,2984,3.9,6.9,0.562,0,0,,3.9,6.9,0.562,0.562,3.6,5.1,0.708,3.7,10.3,14,1.3,0.3,3.2,2.1,3,11.4,DPOY-3AS,mutomdi01
18,Jalen Rose,27,IND,SF,80,80,2978,6.8,14.5,0.471,0.9,2.4,0.393,5.9,12.1,0.486,0.503,3.1,3.7,0.827,0.5,4.2,4.7,3.9,1,0.6,2.3,2.8,17.6,MVP-13MIP-1,roseja01
19,Nick Van Exel,28,DEN,PG,79,79,2950,5.8,14.8,0.39,1.6,4.9,0.332,4.1,9.9,0.419,0.445,2.4,2.9,0.817,0.4,3.4,3.8,8.7,0.8,0.1,2.7,1.8,15.6,,vanexni01
20,Karl Malone,36,UTA,PF,82,82,2947,9.2,18,0.509,0,0.1,0.25,9.2,17.9,0.511,0.51,7.2,9,0.797,2.1,7.5,9.5,3.7,1,0.9,2.8,2.8,25.6,MVP-4ASNBA2,malonka01
21,Dirk Nowitzki,21,DAL,PF,82,81,2938,6.3,13.7,0.461,1.4,3.7,0.379,4.9,9.9,0.491,0.513,3.5,4.3,0.83,1.2,5.3,6.5,2.5,0.8,0.8,1.7,3.1,17.6,,nowitdi01
22,Lindsey Hunter,29,DET,PG,82,82,2919,4.7,11,0.425,2.1,4.8,0.432,2.6,6.2,0.419,0.519,1.4,1.9,0.76,0.4,2.7,3.1,4,1.6,0.3,1.8,2.7,12.9,,hunteli01
23,Juwan Howard,26,WAS,PF,82,82,2909,6.3,13.7,0.459,0,0.1,0,6.3,13.6,0.462,0.459,2.5,3.4,0.735,1.6,4.2,5.8,3.1,0.8,0.3,2.8,3.7,15.1,,howarju01
24,Glenn Robinson,27,MIL,SF,81,81,2909,8.5,18.1,0.472,1.1,2.9,0.363,7.5,15.1,0.493,0.502,2.8,3.5,0.802,1.3,4.7,6,2.4,1,0.5,2.8,2.6,21,AS,robingl01
