Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Kevin Durant,25,OKC,SF,81,81,3122,9.8,19.5,0.503,2.2,5.7,0.391,7.6,13.8,0.549,0.56,8.1,9.3,0.873,0.7,6.2,6.9,5.1,1.2,0.7,3.3,2,29.9,MVP-1ASNBA1,duranke01
2,Monta Ellis,28,DAL,SG,82,82,3023,6.9,15.2,0.451,0.8,2.5,0.33,6,12.7,0.474,0.478,4,5.1,0.788,0.5,3.1,3.5,5.6,1.7,0.3,3.1,2.3,18.6,,ellismo01
3,DeMar DeRozan,24,TOR,SG,79,79,3017,7.2,16.8,0.429,0.8,2.5,0.305,6.4,14.3,0.451,0.452,6.2,7.5,0.824,0.6,3.5,4.1,3.7,1,0.3,2.1,2.4,21.4,AS,derozde01
4,Carmelo Anthony,29,NYK,PF,77,77,2982,9,19.8,0.452,2,5,0.402,7,14.8,0.469,0.503,5.5,6.5,0.848,1.8,5.8,7.5,2.9,1.1,0.6,2.4,2.7,25.5,MVP-15AS,anthoca01
5,John Wall,23,WAS,PG,82,82,2980,7,16.2,0.433,1.3,3.7,0.351,5.7,12.4,0.458,0.473,3.8,4.8,0.805,0.5,3.6,4,8.7,1.8,0.5,3.6,2.6,19.1,AS,walljo01
6,Nicolas Batum,25,POR,SF,82,82,2956,4.6,10,0.465,1.8,4.9,0.361,2.9,5.1,0.566,0.554,2,2.5,0.803,1.4,6,7.4,5.1,0.9,0.7,2.5,1.9,13,,batumni01
7,Damian Lillard,23,POR,PG,82,82,2937,6.8,16,0.424,2.7,6.8,0.394,4.1,9.2,0.447,0.508,4.5,5.2,0.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.8,ASNBA3,lillada01
8,LeBron James,29,MIA,PF,77,77,2902,9.5,16.8,0.567,1.4,3.8,0.379,8.1,13,0.622,0.61,5.4,7.3,0.75,1,5.6,6.6,6.1,1.5,0.3,3.3,1.6,25.9,MVP-2DPOY-6ASNBA1,jamesle01
9,Paul George,23,IND,SF,80,80,2898,7.2,16.9,0.424,2.3,6.2,0.364,4.9,10.7,0.458,0.49,5,5.8,0.864,0.8,5.9,6.7,3.5,1.9,0.3,2.8,2.5,21.6,MVP-9DPOY-7ASNBA3,georgpa01
10,DeAndre Jordan,25,LAC,C,82,82,2870,4.4,6.5,0.676,0,0,,4.4,6.5,0.676,0.676,2,4.7,0.428,4.2,9.8,14,0.9,1,2.5,1.5,3.3,10.7,DPOY-3,jordade01
11,Klay Thompson,23,GSW,SG,81,81,2868,7,15.8,0.444,2.8,6.7,0.417,4.2,9.1,0.464,0.533,1.8,2.3,0.795,0.5,2.6,3.1,2.3,0.9,0.5,1.7,2.9,18.7,,thompkl01
