Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,James Harden,25,HOU,SG,81,81,2981,7.8,17.8,0.44,2.5,6.7,0.375,5.3,11,0.48,0.511,8.6,10,0.868,0.9,4.6,5.5,6.8,1.9,0.7,3.9,2.5,26.8,MVP-2ASNBA1,hardeja01
2,Andrew Wiggins,19,MIN,SF,82,82,2969,6,13.8,0.437,0.5,1.5,0.31,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.5,2.1,1,0.6,2.1,2.3,16.8,ROY-1,wiggian01
3,Trevor Ariza,29,HOU,SF,82,82,2930,4.5,11.2,0.402,2.4,6.8,0.35,2.1,4.4,0.485,0.509,1.5,1.8,0.853,0.9,4.7,5.6,2.6,1.9,0.2,1.7,2.3,12.9,DPOY-13,arizatr01
4,Damian Lillard,24,POR,PG,82,82,2925,7.3,16.7,0.434,2.4,7,0.343,4.8,9.7,0.5,0.506,4.2,4.9,0.864,0.6,4,4.7,6.2,1.2,0.3,2.7,2,21.2,AS,lillada01
5,Chris Paul,29,LAC,PG,82,82,2857,7.2,14.7,0.485,1.8,4.4,0.398,5.4,10.3,0.523,0.545,3.6,4,0.9,0.7,4.1,4.7,10.6,2,0.2,2.4,2.6,19.7,MVP-6DPOY-15ASNBA2,paulch01
6,John Wall,24,WAS,PG,79,79,2837,6.6,14.8,0.445,0.8,2.8,0.3,5.8,12,0.478,0.473,3.6,4.6,0.785,0.5,4.2,4.6,10.1,1.8,0.6,3.9,2.3,17.6,AS,walljo01
7,DeAndre Jordan,26,LAC,C,82,82,2820,4.8,6.8,0.71,0,0.1,0.25,4.8,6.8,0.713,0.711,2.4,6,0.397,5.1,10.6,15.7,0.8,1,2.3,1.4,3.1,12.1,DPOY-3NBA3,jordade01
8,Eric Bledsoe,25,PHO,PG,81,81,2800,6,13.4,0.447,1.1,3.5,0.324,4.9,10,0.491,0.489,4.5,5.7,0.8,0.9,4.5,5.4,6.3,1.6,0.6,3.5,2.4,17.7,,bledser01
9,Joe Johnson,33,BRK,SG,80,80,2791,5.8,13.2,0.435,1.6,4.3,0.359,4.2,8.9,0.472,0.494,1.8,2.3,0.801,0.7,4.3,5,3.8,0.8,0.2,1.8,1.5,14.9,,johnsjo02
10,Kyrie Irving,22,CLE,PG,75,75,2730,7.6,16.3,0.468,2.1,5,0.415,5.6,11.3,0.491,0.532,4.2,4.8,0.863,0.7,2.4,3.1,5.1,1.5,0.3,2.5,1.9,21.5,ASNBA3,irvinky01
11,Monta Ellis,29,DAL,SG,80,80,2699,8,18.1,0.445,1.1,3.8,0.285,6.9,14.3,0.487,0.475,3,4,0.752,0.5,2.1,2.5,4.4,2,0.3,2.6,2.6,20.2,,ellismo01
12,Tyreke Evans,25,NOP,SG,79,76,2690,7,15.6,0.447,0.9,3,0.304,6,12.6,0.482,0.477,2.7,3.9,0.694,1.1,4.5,5.6,7,1.3,0.5,3.3,2.6,17.6,,evansty01
13,Marc Gasol,30,MEM,C,81,81,2687,7.1,14.4,0.494,0,0.2,0.176,7.1,14.1,0.5,0.496,4.7,5.9,0.795,1.5,6.9,8.4,4.1,0.9,1.8,2.4,2.8,18.9,MVP-8DPOY-10ASNBA1,gasolma01
14,Pau Gasol,34,CHI,PF,78,78,2681,7.7,15.5,0.494,0.2,0.3,0.462,7.5,15.1,0.495,0.5,3.9,4.9,0.803,3,9.4,12.3,2.8,0.3,2,2.1,2,19.4,ASNBA2,gasolpa01
15,Ben McLemore,21,SAC,SG,82,82,2670,4.9,11.2,0.437,1.9,5.3,0.358,3,5.9,0.507,0.521,1.8,2.2,0.813,0.4,2.8,3.2,1.9,1,0.3,1.9,3,13.4,,mclembe01
16,Ty Lawson,27,DEN,PG,75,75,2665,5.5,12.5,0.436,0.9,2.8,0.341,4.5,9.7,0.463,0.474,3.6,4.9,0.73,0.6,2.6,3.2,9.7,1.2,0.1,2.5,1.7,15.4,,lawsoty01
17,Goran Dragić,28,2TM,PG,78,78,2640,6.8,13.7,0.501,1.2,3.5,0.347,5.6,10.1,0.555,0.546,2.5,3.2,0.774,1.1,2.6,3.7,4.8,1.1,0.2,2.4,2.7,17.4,,dragigo01
18,Goran Dragić,28,PHO,SG,52,52,1735,7.1,14.1,0.501,1.4,3.9,0.355,5.7,10.2,0.556,0.549,2,2.7,0.746,1.1,2.8,3.8,4.4,1,0.2,2.4,2.5,17.5,,dragigo01
