Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Monta Ellis,25,GSW,SG,80,80,3227,8.1,18,0.451,1.5,4.2,0.361,6.6,13.7,0.478,0.493,3.8,4.8,0.789,0.5,2.6,3.1,5,1.9,0.3,2.8,2.3,21.5,,ellismo01
2,LaMarcus Aldridge,25,POR,PF,81,81,3211,7.9,15.9,0.5,0,0.3,0.174,7.9,15.6,0.505,0.501,3.9,5,0.791,3.1,4.8,7.9,1.9,0.9,1.1,1.7,2.5,19.8,NBA3,aldrila01
3,Luol Deng,25,CHI,SF,82,82,3208,6,13,0.46,1.3,3.7,0.345,4.7,9.2,0.506,0.51,2.8,3.8,0.753,1.3,4,5.3,2.6,0.9,0.5,1.8,1.8,16,DPOY-10,denglu01
4,Dorell Wright,25,GSW,SF,82,82,3147,5.5,13.1,0.423,2.2,5.9,0.376,3.3,7.2,0.462,0.508,2.1,2.6,0.789,1,3.9,4.9,2.8,1.4,0.7,1.5,2,15.4,,wrighdo01
5,Blake Griffin,21,LAC,PF,82,82,3112,8.1,15.9,0.506,0.1,0.3,0.292,8,15.6,0.51,0.508,5.2,8,0.642,3.1,8.3,11.4,3.6,0.7,0.5,2.6,2.9,21.3,MVP-10ROY-1AS,griffbl01
6,LeBron James,26,MIA,SF,79,79,3063,8.9,17.5,0.51,1.1,3.3,0.33,7.8,14.2,0.552,0.541,5.9,7.8,0.759,0.9,6,6.9,6.5,1.5,0.6,3.3,1.9,24.8,MVP-3DPOY-9ASNBA1,jamesle01
7,Kevin Durant,22,OKC,SF,78,78,3038,8.4,18.2,0.462,1.7,4.9,0.35,6.7,13.3,0.504,0.509,7,8,0.88,0.7,5.6,6.3,2.5,1,0.9,2.6,1.9,25.6,MVP-5ASNBA1,duranke01
8,Pau Gasol,30,LAL,C,82,82,3037,7,13.3,0.529,0,0,0.333,7,13.2,0.53,0.53,4.2,5.1,0.823,3.2,6.7,9.9,3.2,0.6,1.5,1.7,2.4,18.3,ASNBA2,gasolpa01
9,Derrick Rose,22,CHI,PG,81,81,3026,8.5,19,0.445,1.5,4.6,0.332,6.9,14.4,0.481,0.485,5.7,6.6,0.858,1,3,3.9,7.4,1,0.6,3.3,1.6,24.1,MVP-1ASNBA1,rosede01
10,Al Jefferson,26,UTA,C,82,82,2940,8,16.2,0.496,0,0,,8,16.2,0.496,0.496,2.7,3.5,0.761,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.7,,jeffeal01
11,Dwight Howard,25,ORL,C,78,78,2935,7.6,12.8,0.593,0,0.1,0,7.6,12.7,0.597,0.593,6.7,11.2,0.596,3.8,9.7,13.5,1.3,1.3,2.3,3.4,3.2,21.9,MVP-2DPOY-1ASNBA1,howardw01
12,Jrue Holiday,20,PHI,PG,82,82,2901,5.5,12.4,0.446,1,2.8,0.365,4.5,9.6,0.47,0.487,2.1,2.6,0.823,0.8,3.3,4.1,6.6,1.5,0.4,2.7,2.5,14.2,,holidjr01
13,Ray Allen,35,BOS,SG,80,80,2890,6,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,0.577,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1,0.2,1.5,1.8,16.5,AS,allenra02
14,Brook Lopez,22,NJN,C,82,82,2889,8,16.3,0.492,0,0,0,8,16.3,0.492,0.492,4.8,6.1,0.787,2.5,3.6,6.1,1.6,0.6,1.5,2.2,3,20.8,,lopezbr01
15,Chris Paul,25,NOH,PG,80,80,2880,5.4,11.6,0.463,0.9,2.3,0.388,4.5,9.3,0.482,0.502,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.3,0.1,2.2,2.4,15.8,MVP-13DPOY-12ASNBA3,paulch01
16,Mike Conley,23,MEM,PG,81,81,2872,5.3,11.9,0.444,1,2.7,0.369,4.3,9.2,0.466,0.486,2.3,3.1,0.733,0.4,2.7,3.1,6.6,1.8,0.2,2.2,2.3,13.9,,conlemi01
17,Amar'e Stoudemire,28,NYK,C,78,78,2870,9.3,18.6,0.502,0.1,0.3,0.435,9.2,18.3,0.503,0.505,5.9,7.5,0.792,2.5,5.5,8,2.5,0.9,1.9,3.1,3.4,24.7,MVP-9ASNBA2,stoudam01
18,DeMar DeRozan,21,TOR,SG,82,82,2851,6.8,14.6,0.467,0.1,0.7,0.096,6.7,13.9,0.485,0.469,4.1,5.1,0.813,0.9,3,4,1.9,1.1,0.4,1.8,2.7,17.8,,derozde01
19,Russell Westbrook,22,OKC,PG,82,82,2847,7.8,17.6,0.442,0.4,1.3,0.33,7.3,16.3,0.451,0.454,6.7,8,0.842,1.5,3.3,4.8,8.5,2,0.4,4,2.6,22.7,ASNBA2,westbru01
20,Dwyane Wade,29,MIA,SG,76,76,2823,8.8,17.6,0.5,0.8,2.6,0.306,8,15,0.534,0.523,6.3,8.3,0.758,1.6,4.6,6.2,4.4,1.4,1.1,3,2.5,24.8,MVP-7DPOY-16ASNBA2,wadedw01
21,Elton Brand,31,PHI,PF,81,81,2809,6.4,12.6,0.512,0,0,0,6.4,12.6,0.512,0.512,2.7,3.5,0.78,3,5.6,8.7,1.5,1.2,1.4,1.3,3.1,15.6,,brandel01
