Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Antoine Walker,25,BOS,PF,81,81,3406,7,17.9,0.394,2.3,6.8,0.344,4.7,11,0.425,0.46,2.5,3.4,0.741,1.6,6,7.5,4.3,1.3,0.4,2.7,2.5,19,AS,walkean02
2,Tim Duncan,25,SAS,PF,82,82,3329,8.3,16.3,0.508,0,0.1,0.1,8.3,16.2,0.511,0.508,6.1,7.6,0.799,2.9,8.4,11.3,3.3,0.7,2.2,2.8,2.3,22.6,MVP-1ASNBA1,duncati01
3,Latrell Sprewell,31,NYK,SF,81,81,3326,6.2,15.4,0.404,1.6,4.4,0.36,4.6,11,0.421,0.455,3.1,3.7,0.821,0.6,2.6,3.2,3.4,1,0.2,2.4,1.7,17,,sprewla01
4,Baron Davis,22,CHH,PG,82,82,3318,6.1,14.5,0.417,1.8,5.2,0.356,4.2,9.4,0.451,0.48,2.1,3.7,0.58,1,2.8,3.8,7.6,1.9,0.5,2.7,2.6,16.1,AS,davisba01
5,Paul Pierce,24,BOS,SG,82,82,3302,7.7,17.4,0.442,2.3,5.7,0.404,5.4,11.8,0.461,0.508,5.7,7,0.809,0.9,5.3,6.2,2.8,1.7,0.9,2.6,2.6,23.4,MVP-11ASNBA3,piercpa01
6,Gary Payton,33,SEA,PG,82,82,3301,8,17.2,0.467,0.8,2.6,0.314,7.2,14.6,0.494,0.49,2.9,3.7,0.797,0.9,3.4,4.3,8,1.4,0.3,2.3,2,19.8,MVP-6ASNBA2,paytoga01
7,Stephon Marbury,24,PHO,PG,82,80,3187,7.1,16,0.442,0.8,2.8,0.286,6.3,13.2,0.476,0.467,4,5.1,0.781,0.8,2.2,3,7.5,0.9,0.1,3.2,2.1,18.9,,marbust01
8,Kevin Garnett,25,MIN,PF,81,81,3175,7.5,15.9,0.47,0.4,1.3,0.319,7.1,14.6,0.484,0.484,4.1,5.1,0.801,2.8,8.4,11.1,4.8,1.1,1.4,2.6,2.1,19.4,MVP-12DPOY-2ASNBA2,garneke01
9,Eddie Jones,30,MIA,SG,81,81,3156,5.9,13.7,0.432,1.7,4.4,0.39,4.2,9.3,0.451,0.494,3.4,4,0.837,0.7,3.6,4.3,3,1.3,0.9,1.7,2.9,16.9,,jonesed02
10,Jalen Rose,29,2TM,SF,83,83,3153,7.6,16.6,0.455,1,2.8,0.362,6.6,13.8,0.474,0.485,3.2,3.8,0.839,0.5,3.8,4.3,4.1,0.9,0.5,2.3,2.9,19.4,,roseja01
11,Jalen Rose,29,IND,SF,53,53,1937,7.2,16.2,0.444,1,2.7,0.356,6.2,13.5,0.462,0.474,2.9,3.5,0.839,0.5,4.1,4.6,3.7,0.8,0.5,2,2.8,18.3,,roseja01
12,Jalen Rose,29,CHI,SF,30,30,1216,8.2,17.4,0.47,1.1,3,0.37,7.1,14.4,0.491,0.502,3.7,4.4,0.839,0.4,3.3,3.7,4.7,1,0.5,2.8,3,21.1,,roseja01
13,Anthony Mason,35,MIL,PF,82,82,3143,3.6,7.2,0.505,0,0,1,3.6,7.2,0.504,0.506,1.8,2.5,0.697,1.4,6,7.4,4,0.7,0.3,1.5,2.1,9,,masonan01
14,Wally Szczerbiak,24,MIN,SF,82,82,3117,7,13.9,0.508,1,2.2,0.455,6,11.7,0.517,0.544,2.6,3.1,0.831,1.4,3.1,4.5,3,0.8,0.2,2.1,2.2,17.7,AS,szczewa02
15,Cuttino Mobley,26,HOU,SG,74,74,3116,6.9,15.7,0.438,1.7,4.4,0.395,5.2,11.3,0.455,0.493,3.1,3.6,0.85,0.7,2.7,3.5,2.2,1.3,0.4,2.1,2.2,18.6,,moblecu01
16,Shawn Marion,23,PHO,SF,81,81,3109,7.6,16.2,0.469,0.6,1.4,0.393,7,14.7,0.476,0.486,2.2,2.6,0.845,2.4,6.9,9.3,1.9,1.7,1,1.7,2.5,17.9,,mariosh01
17,Shane Battier,23,MEM,SF,78,78,3097,4.8,11.2,0.429,1.2,3.2,0.373,3.6,8,0.451,0.482,2.3,3.3,0.7,2.1,2.8,4.9,2.5,1.4,0.9,1.8,2.5,13.1,,battish01
18,Kobe Bryant,23,LAL,SG,80,80,3063,8.8,18.8,0.469,0.4,1.6,0.25,8.4,17.2,0.489,0.479,5.7,6.9,0.829,1.3,3.9,5.2,5.1,1.4,0.4,2.6,2.7,23.7,MVP-5DPOY-3ASNBA1,bryanko01
19,Jason Kidd,28,NJN,PG,82,82,3056,5.2,13.4,0.391,1.4,4.3,0.321,3.9,9.1,0.424,0.442,2.4,2.9,0.814,1.5,5.5,7,9.5,2.1,0.2,3.4,1.6,14.2,MVP-2ASNBA1,kiddja01
20,Brent Barry,30,SEA,SG,81,81,3040,4.7,9.4,0.508,1.9,4.6,0.424,2.8,4.8,0.588,0.611,2.3,2.8,0.846,0.7,4.5,5.2,5,1.7,0.4,2,2.2,13.8,,barrybr01
21,Karl Malone,38,UTA,PF,80,80,3040,7.5,16.6,0.454,0.1,0.3,0.36,7.4,16.3,0.456,0.457,6,7.6,0.797,1.7,6.4,8.1,4,1.8,0.7,3.1,2.7,21.2,AS,malonka01
