Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
1,Elvin Hayes,28,CAP,PF,81,,3602,6.9,16.3,0.423,3.6,4.9,0.721,3.5,11.1,14.6,1.6,0.9,2.4,2.5,17.3,MVP-5ASNBA2,hayesel01
2,Kareem Abdul-Jabbar,26,MIL,C,81,,3548,9.6,17.8,0.539,3,4.3,0.702,2.9,9,12,3.9,1.1,2.9,2.4,22.2,MVP-1ASNBA1,abdulka01
3,Dave Cowens,25,BOS,C,80,,3352,6.9,15.8,0.437,2.4,2.9,0.832,2.8,10.7,13.5,3.8,1,1.1,3.2,16.3,MVP-4AS,cowenda01
4,Walt Frazier,28,NYK,PG,80,80,3338,7.3,15.4,0.472,3.2,3.8,0.838,1.3,4.5,5.8,5.9,1.7,0.2,2.3,17.7,MVP-6ASNBA1,fraziwa01
5,Jim McMillian,25,BUF,SF,82,,3322,6.5,13.2,0.494,3.5,4.1,0.858,2.3,4.3,6.6,2.8,1.4,0.3,2,16.5,,mcmilji01
6,Bob Love,31,CHI,PF,82,76,3292,8,19.2,0.417,3.5,4.3,0.818,2,3.4,5.4,1.4,0.9,0.3,2.4,19.5,MVP-15,lovebo01
7,Jo Jo White,27,BOS,PG,82,,3238,7.2,16.1,0.449,2.1,2.5,0.837,1.1,2.8,3.9,5,1.2,0.3,2.1,16.5,AS,whitejo01
8,Mike Riordan,28,CAP,SF,81,,3230,6.4,13.6,0.472,1.5,1.9,0.782,1.3,2.9,4.2,2.9,1.1,0.2,2.6,14.4,,riordmi01
9,Rudy Tomjanovich,25,HOU,SF,80,,3227,8.8,16.4,0.536,4.3,5.1,0.848,2.6,5.4,8,2.8,1,0.7,2.6,21.9,MVP-17AS,tomjaru01
10,Bob McAdoo,22,BUF,C,74,,3185,10.2,18.6,0.547,5.2,6.5,0.793,3.2,9.4,12.6,1.9,1,2.8,2.8,25.6,MVP-2ASNBA2,mcadobo01
11,Dave Bing,30,DET,PG,81,,3124,6.7,15.4,0.436,4.1,5,0.813,1.2,2,3.2,6.4,1.3,0.2,2.5,17.5,MVP-11ASNBA2,bingda01
