Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Dolph Schayes,28,SYR,PF,72,2851,6.3,16.5,0.379,7.9,8.7,0.904,12.7,2.9,2.8,20.4,MVP-4ASNBA1,schaydo01
2,Paul Arizin,28,PHW,SF,71,2767,8,18.9,0.422,7.7,9.3,0.829,7.3,2,3.6,23.6,MVP-3ASNBA1,arizipa01
3,Maurice Stokes,23,ROC,PF,72,2761,5.7,16.3,0.347,3.3,5,0.665,16.4,4.3,3.7,14.7,MVP-6ASNBA2,stokema01
4,George Yardley,28,FTW,SF,72,2691,7,17,0.41,6.7,8.5,0.787,10.1,2,3.1,20.7,MVP-5ASNBA2,yardlge01
5,Mel Hutchins,28,FTW,PF,72,2647,5,13,0.387,2.1,2.8,0.738,7.8,2.9,2.5,12.1,MVP-8AS,hutchme01
6,Ed Macauley,28,STL,PF,72,2582,5.8,13.8,0.419,5,6.7,0.749,6.1,2.8,2.9,16.5,AS,macaued01
7,Neil Johnston,27,PHW,C,69,2531,7.4,16.5,0.447,7.6,9.2,0.826,12.2,2.9,3.3,22.4,ASNBA2,johnsne01
8,Kenny Sears,23,NYK,SF,72,2516,4.9,11.7,0.418,5.5,6.9,0.79,8.8,1.4,3.2,15.3,MVP-8,searske01
9,Joe Graboski,27,PHW,PF,72,2501,5.6,16.1,0.349,3.6,4.6,0.783,8.8,2,3.5,14.9,,grabojo01
10,Clyde Lovellette,27,MNL,C,69,2492,8.3,19.5,0.426,4.1,5.8,0.717,13.5,2,3.6,20.7,AS,lovelcl01
11,Bob Pettit,24,STL,C,71,2491,8.9,21.3,0.415,7.6,9.9,0.773,15,1.9,2.6,25.4,MVP-2ASNBA1,pettibo01
12,Gene Shue,25,FTW,PG,72,2470,4,10.3,0.385,3.5,4.6,0.763,6.1,3.5,2,11.5,,shuege01
13,Dick Garmaker,24,MNL,SG,72,2406,6.1,15.2,0.4,5.5,6.5,0.839,5,2.8,3,17.6,ASNBA2,garmadi01
14,Bill Sharman,30,BOS,SG,67,2403,7.7,18.6,0.416,5.7,6.3,0.905,4.3,3.5,2.8,21.2,ASNBA1,sharmbi01
15,Slater Martin,31,2TM,PG,66,2401,3.7,11,0.332,3.4,4.4,0.79,4.3,4,2.9,10.8,ASNBA2,martisl01
16,Slater Martin,31,NYK,PG,13,426,2.8,8.1,0.344,3.7,4.5,0.83,3.5,3.3,2.4,9.3,,martisl01
17,Slater Martin,31,STL,PG,53,1975,3.8,11.7,0.33,3.4,4.3,0.782,4.5,4.2,3,11.1,,martisl01
18,Bob Cousy,28,BOS,PG,64,2364,7.3,19.2,0.378,5.5,6.7,0.821,4.7,7.3,2,20.1,MVP-1ASNBA1,cousybo01
19,Carl Braun,29,NYK,PG,72,2345,5.8,15.2,0.381,3.8,4.7,0.809,4,3.9,3,15.4,AS,braunca01
20,Jack McMahon,28,STL,SG,72,2344,3.7,11.1,0.33,2.2,3.5,0.631,3.4,5.6,3.3,9.5,,mcmahja01
21,Jack Twyman,22,ROC,SG,72,2338,6.9,15.8,0.439,4.2,5.6,0.76,5.5,1.9,3.9,18.1,MVP-8AS,twymaja01
22,Ed Conlin,23,SYR,SG,71,2250,5.4,14.3,0.374,4.5,5.9,0.769,6.9,3.3,2.7,15.2,,conlied01
23,Nat Clifton,34,NYK,PF,71,2231,5,13.2,0.377,2.4,3.5,0.673,9,2.6,3.9,12.3,AS,cliftna01
24,Jack George,28,PHW,SG,67,2229,4.1,12.1,0.337,3.2,4.7,0.683,5.1,5,2.7,11.4,AS,georgja01
25,Jim Loscutoff,26,BOS,SF,70,2220,5,14.4,0.345,2.1,3,0.706,11.8,1.4,4,12.1,,loscuji01
26,Vern Mikkelsen,28,MNL,PF,72,2198,5.3,14,0.377,5.6,6.9,0.807,10.3,2,5.1,16.1,AS,mikkeve01
27,Red Kerr,24,SYR,C,72,2191,5.5,13.6,0.403,3.7,5.1,0.719,13.3,1.5,3.1,14.6,,kerrre01
28,Tom Heinsohn,22,BOS,PF,72,2150,7.5,18.8,0.397,4.5,5.7,0.79,11.8,2,5.1,19.5,ROY-1AS,heinsto01
29,Jack Coleman,32,STL,PF,72,2145,5.3,13,0.408,2.1,2.7,0.764,10.8,2.7,3.9,12.7,,colemja01
30,Dick Ricketts,23,ROC,C,72,2114,5.1,14.8,0.344,3.5,5.1,0.694,7.4,2.2,5.2,13.7,,rickedi01
31,Larry Costello,25,PHW,PG,72,2111,3.2,8.5,0.374,3,3.8,0.788,5.5,4,3.1,9.3,,costela01
32,Richie Regan,26,ROC,PG,71,2100,4.4,13.4,0.329,3.1,4,0.774,3.5,3.8,3.1,11.9,AS,reganri01
