Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Neil Johnston,24,PHW,C,72,3296,6.5,14.4,0.449,6.3,8.4,0.747,8.7,2.2,2.8,19.2,ASNBA1,johnsne01
2,Mel Hutchins,25,FTW,PF,72,2934,3.6,9,0.401,1.9,2.7,0.677,8.5,2.6,2.8,9.1,AS,hutchme01
3,Bob Cousy,25,BOS,PG,72,2857,6.1,15.9,0.385,5.2,6.6,0.787,5,6.5,2.5,17.4,ASNBA1,cousybo01
4,Ed Macauley,25,BOS,C,71,2792,6,12.2,0.486,5.4,7.1,0.758,7.4,3.5,2.2,17.3,ASNBA2,macaued01
5,Joe Graboski,24,PHW,PF,71,2759,4.6,13,0.354,3.1,4.6,0.674,8.7,2.1,2.9,12.3,,grabojo01
6,Paul Seymour,26,SYR,SG,71,2727,4.2,11.1,0.377,3.9,4.9,0.813,3.8,4.8,2.5,12.3,ASNBA2,seymopa01
7,Andy Phillip,31,FTW,PG,71,2705,3.4,9,0.375,3.2,4.4,0.73,3.5,6,2.7,10,AS,phillan01
8,Larry Foust,25,FTW,C,72,2693,5,12.3,0.409,4.5,6.3,0.712,12.9,2.2,3.4,14.6,AS,foustla01
9,Harry Gallatin,26,NYK,PF,72,2690,3.5,8.6,0.404,5.8,7.4,0.784,14.7,2,2.8,12.7,ASNBA1,gallaha01
10,Ray Felix,23,BLB,C,72,2672,5.5,13.2,0.417,6,9.5,0.638,12.9,1.1,3.4,17.1,ROY-1AS,felixra01
11,Dolph Schayes,25,SYR,C,72,2655,5,13.2,0.38,6.6,8,0.827,11.8,2.9,3.1,16.7,ASNBA1,schaydo01
12,Jack George,25,PHW,PG,71,2648,3.5,10,0.352,2.1,3.6,0.59,5.2,4.2,2.9,9.2,,georgja01
13,Bobby Wanzer,32,ROC,SG,72,2538,4.6,11.8,0.386,4.5,6.1,0.734,5.6,3.6,2.4,13.6,ASNBA2,wanzebo01
14,Paul Hoffman,28,BLB,PG,72,2505,3.6,10.9,0.332,3.1,4.4,0.716,7,4.1,3.9,10.4,,hoffmpa01
15,Jim Pollard,31,MNL,SF,71,2483,4.7,12.8,0.37,2.6,3.3,0.778,7.2,3.1,2.3,12,ASNBA2,pollaji01
16,Slater Martin,28,MNL,PG,69,2472,3.7,9.5,0.388,2.6,3.5,0.724,2.4,3.7,2.9,10,AS,martisl01
17,Bill Sharman,27,BOS,SG,72,2467,6,13.4,0.45,4.8,5.7,0.844,3.7,3.3,3.1,16.9,AS,sharmbi01
18,Lew Hitch,24,MLH,PF,72,2452,3.2,8.9,0.367,2,3.1,0.639,10.1,2.1,2.6,8.4,,hitchle01
19,Arnie Risen,29,ROC,C,72,2385,4.8,13.2,0.368,4.6,6.5,0.714,11,1.8,4.3,14.3,AS,risenar01
20,Jack Coleman,29,ROC,PF,71,2377,4.4,10.8,0.405,1.6,2.7,0.597,8.9,2.4,3,10.4,,colemja01
21,Carl Braun,26,NYK,SG,72,2373,5.4,13.4,0.4,5.4,6.5,0.825,3.7,3.2,3.9,16.1,ASNBA2,braunca01
22,Bill Calhoun,26,MLH,SF,72,2370,2.9,8.3,0.349,3.3,4.4,0.733,4.2,2.9,2.3,9,,calhobi01
23,George King,25,SYR,PG,72,2370,4.3,11.3,0.376,3.9,6.2,0.627,4.1,4.1,2.7,12.4,,kingge01
24,George Mikan,29,MNL,C,72,2362,6.7,17.7,0.38,6.5,8.3,0.777,15.7,2.7,4.1,19.9,ASNBA1,mikange01
25,Dick McGuire,28,NYK,PG,68,2343,3.1,7.6,0.408,3.4,5.3,0.638,4.8,5.4,3.1,9.6,AS,mcguidi01
26,Vern Mikkelsen,25,MNL,PF,72,2247,4.6,12.4,0.374,3.5,4.8,0.742,9.9,1.9,4.2,12.8,,mikkeve01
27,Don Sunderlage,24,MLH,SG,68,2232,4.1,12.1,0.34,4.1,5.4,0.748,3.6,3,4.2,12.3,AS,sundedo01
28,Earl Lloyd,25,SYR,SF,72,2206,4.1,10.9,0.374,2.5,3.4,0.746,8.6,1.9,4.9,10.7,,lloydea01
29,Nat Clifton,31,NYK,PF,72,2179,4.2,11.5,0.368,2.9,4.6,0.628,8.7,2.9,3.6,11.4,,cliftna01
30,George Ratkovicz,31,MLH,PF,69,2170,3.3,8.3,0.393,2.9,4.5,0.645,8.7,2.6,4.2,9.5,,ratkoge01
31,Wally Osterkorn,25,SYR,PF,70,2164,3.4,9.7,0.346,3.5,6,0.579,8.1,2.5,3.5,10.2,,osterwa01
32,Bob Davies,34,ROC,PG,72,2137,4.9,13.1,0.371,5.2,7.3,0.718,3.3,5.4,3.8,14.9,AS,daviebo01
33,Paul Walther,26,PHW,SG,64,2067,2.4,6.8,0.352,2.5,3.6,0.704,4.5,3.8,3.5,7.3,,walthpa01
34,Leo Barnhorst,29,2TM,SF,72,2064,3.5,10.3,0.338,1.1,1.5,0.716,5.2,3.9,3.5,8,,barnhle01
35,Leo Barnhorst,29,BLB,SF,55,1879,3.6,10.2,0.352,1.1,1.6,0.707,5,4.1,3.3,8.3,,barnhle01
36,Leo Barnhorst,29,FTW,SF,17,185,2.3,11.1,0.211,1,1.2,0.833,7.2,2.3,5.8,5.6,,barnhle01
37,Connie Simmons,28,NYK,C,72,2006,4.6,12.8,0.358,3.8,5.5,0.689,8.7,2.3,4.2,12.9,,simmoco01
38,Bob Houbregs,21,2TM,PF,70,1970,3.8,10.3,0.372,3.5,4.9,0.714,6.9,2.2,3.8,11.1,,houbrbo01
39,Bob Houbregs,21,MLH,PF,11,166,4.1,13.4,0.306,5.6,7.4,0.765,10,2,4.6,13.9,,houbrbo01
40,Bob Houbregs,21,BLB,PF,59,1804,3.8,10,0.38,3.3,4.6,0.707,6.6,2.3,3.8,10.9,,houbrbo01
41,Al Roges,23,BLB,SF,67,1937,4.1,11.4,0.358,2.4,3.3,0.726,4,3,3.3,10.6,,rogesal01
42,Bob Harris,26,BOS,SF,71,1898,3,7.8,0.381,2,3.3,0.628,9.8,1.8,4.2,8,,harribo01
43,Jack McMahon,25,ROC,PG,71,1891,4.8,13.2,0.362,4,5.8,0.696,4,4.5,4.2,13.5,,mcmahja01
44,Max Zaslofsky,28,3TM,SG,65,1881,5.3,14.5,0.368,4.9,6.8,0.714,3.1,2.9,2.7,15.5,,zasloma01
45,Max Zaslofsky,28,BLB,SG,11,418,4.9,14,0.352,5.7,7.4,0.767,3.7,2.8,2.1,15.5,,zasloma01
46,Max Zaslofsky,28,MLH,SG,9,299,5.7,16.6,0.341,5.1,7.1,0.712,3.4,2.8,2,16.4,,zasloma01
47,Max Zaslofsky,28,FTW,SG,45,1164,5.4,14.1,0.382,4.5,6.6,0.693,2.8,3,3.1,15.3,,zasloma01
48,Whitey Skoog,27,MNL,SG,71,1877,4.1,10.2,0.4,1.4,1.9,0.742,4.3,3.4,4.5,9.5,,skoogwh01
49,Bill Tosheff,27,MLH,PG,71,1825,3.3,11.4,0.291,3.1,4.1,0.743,3.2,3.9,4.1,9.7,,toshebi01
50,Pep Saul,29,MNL,SG,71,1805,3.2,9.3,0.347,2.6,3.4,0.753,3.2,2.8,3,9,,saulpe01
51,Zeke Zawoluk,23,PHW,SF,71,1795,4.1,10.8,0.376,3.7,4.6,0.809,6.6,2,4.4,11.9,,zawolze01
52,Bob Brannum,27,BOS,PF,71,1729,2.9,9.4,0.309,2.7,4.3,0.626,10.6,3,5.8,8.5,,brannbo01
53,Alex Hannum,30,ROC,PF,72,1707,3.7,10.6,0.348,2.2,3.5,0.622,7.4,2.2,5.9,9.5,,hannual01
54,Eddie Miller,22,BLB,C,72,1657,5.3,13,0.407,5,6.9,0.729,11.7,2.1,4.2,15.6,,milleed01
