Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Paul Arizin,23,PHW,SF,66,2939,6.7,15,0.448,7.1,8.7,0.818,9.1,2.1,3.1,20.5,ASNBA1,arizipa01
2,Andy Phillip,29,PHW,SG,66,2933,3.4,9.4,0.366,2.8,3.8,0.753,5.3,6.6,2.7,9.7,ASNBA2,phillan01
3,Bob Cousy,23,BOS,PG,66,2681,6.9,18.6,0.369,5.5,6.8,0.808,5.7,5.9,2.6,19.2,ASNBA1,cousybo01
4,Frankie Brian,28,FTW,SG,66,2672,4.6,13.1,0.352,4.9,5.8,0.848,3.1,3.1,3,14.2,AS,brianfr01
5,Ed Macauley,23,BOS,C,66,2631,5.3,12.2,0.432,6.8,8.5,0.799,7.2,3.2,2.4,17.3,ASNBA1,macaued01
6,Mel Hutchins,23,MLH,C,66,2618,3.2,8.7,0.365,2,3.1,0.644,12.1,2.6,2.6,8.3,ROY-1,hutchme01
7,Larry Foust,23,FTW,C,66,2615,5.4,13.6,0.394,3.7,5.4,0.678,12.1,2.8,3.4,14.4,ASNBA2,foustla01
8,Jack Coleman,27,ROC,PF,66,2606,4.3,10.3,0.415,1.7,2.3,0.71,9.6,2.9,3,10.2,,colemja01
9,Fred Schaus,26,FTW,SF,62,2581,3.9,10.9,0.361,4.3,5.2,0.833,6.1,3.4,3.1,12.2,,schaufr01
10,George Mikan,27,MNL,C,64,2572,7.6,19.8,0.385,6.1,7.8,0.78,12.1,2.7,4,21.3,ASNBA1,mikange01
11,Jim Pollard,29,MNL,SF,65,2545,5.8,16.3,0.356,2.6,3.7,0.704,8.4,3.3,2.8,14.2,ASNBA2,pollaji01
12,Red Rocha,28,SYR,C,66,2543,4.2,10.6,0.401,3.6,4.7,0.77,7.8,1.8,3.5,12.1,AS,rochare01
13,Bobby Wanzer,30,ROC,SG,66,2498,4.7,11.1,0.425,5.4,6,0.904,4.8,3.8,2.9,14.9,ASNBA2,wanzebo01
14,Slater Martin,26,MNL,PG,66,2480,3.4,9.2,0.375,2.1,2.8,0.747,3.3,3.6,3.3,8.9,,martisl01
15,Joe Graboski,22,INO,C,66,2439,4.7,12.2,0.387,3.9,5.8,0.667,9.7,1.9,3.7,13.3,,grabojo01
16,Arnie Risen,27,ROC,C,66,2396,5.5,13.9,0.394,4.5,6.5,0.701,12.6,2.3,3.9,15.5,AS,risenar01
17,Bob Davies,32,ROC,PG,65,2394,5.7,14.9,0.383,4.4,5.7,0.776,2.8,5.9,4,15.8,ASNBA1,daviebo01
18,Vern Mikkelsen,23,MNL,PF,66,2345,5.6,13.3,0.419,4.3,5.7,0.761,10.5,2.8,4.3,15.5,ASNBA2,mikkeve01
19,Leo Barnhorst,27,INO,SF,66,2344,5.4,13.8,0.389,1.9,2.9,0.652,6.6,3.9,3,12.6,AS,barnhle01
20,Dick Mehen,29,MLH,PF,65,2294,4.6,12.9,0.356,1.8,2.6,0.701,4.4,2.7,3.3,11,,mehendi01
21,Ralph Johnson,30,FTW,PG,66,2265,3.4,9.4,0.356,1.6,2.2,0.721,3.5,3.3,3.9,8.3,,johnsra01
22,Fred Scolari,29,BLB,PG,64,2242,4.7,13.9,0.334,5.7,6.8,0.835,3.4,4.9,3.4,15,AS,scolafr01
23,Paul Seymour,24,SYR,SG,66,2209,3.4,10,0.335,3,4,0.759,3.7,3.6,2.7,9.7,,seymopa01
24,Stan Miasek,28,BLB,PF,66,2174,4.3,11.7,0.365,4.4,6.2,0.707,10.6,2.3,4.3,12.9,,miasest01
25,Arnie Johnson,31,ROC,SF,66,2158,3,6.9,0.433,5,6.5,0.778,6.7,3,4.3,11,,johnsar01
26,Jack Kerris,27,FTW,PF,66,2148,3.1,8,0.388,3.6,5.4,0.668,8.6,3.6,4.4,9.9,,kerrija01
27,Max Zaslofsky,26,NYK,SG,66,2113,5.5,16.3,0.336,4.9,6.5,0.755,3.3,2.7,3.1,15.9,AS,zasloma01
28,Nat Clifton,29,NYK,PF,62,2101,4.2,12.5,0.335,2.9,4.4,0.664,12.5,3.6,3.9,11.3,,cliftna01
29,Bill Tosheff,25,INO,PG,65,2055,3.7,11.4,0.327,3.2,3.9,0.824,3.8,3.9,3.6,10.7,ROY-1,toshebi01
