Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,John Havlicek,31,BOS,SF,82,,3698,8.7,19.1,0.458,4.5,5.3,0.834,6.5,6,1.8,21.9,MVP-4ASNBA1,havlijo01
2,Kareem Abdul-Jabbar,24,MIL,C,81,,3583,11.6,20.3,0.574,5.1,7.4,0.689,13.5,3.7,2.4,28.4,MVP-1ASNBA1,abdulka01
3,Wilt Chamberlain,35,LAL,C,82,,3469,5.1,7.9,0.649,2.3,5.4,0.422,16.3,3.4,2,12.6,MVP-3ASNBA2,chambwi01
4,Elvin Hayes,26,HOU,C,82,,3461,8.7,20,0.434,4.2,6.4,0.649,12.5,2.8,2.4,21.5,MVP-17AS,hayesel01
5,Nate Thurmond,30,GSW,C,78,,3362,6.7,15.6,0.432,4.5,6,0.743,13.4,2.5,2.3,17.9,MVP-8,thurmna01
6,Archie Clark,30,2TM,PG,77,1,3285,7.8,16.6,0.47,5.6,7.3,0.771,2.9,6.7,2.1,21.2,MVP-12ASNBA2,clarkar01
7,Archie Clark,30,PHI,PG,1,1,42,9.4,13.7,0.688,6,9.4,0.636,2.6,6,2.6,24.9,,clarkar01
8,Archie Clark,30,BAL,PG,76,,3243,7.8,16.7,0.467,5.6,7.3,0.773,2.9,6.7,2.1,21.2,,clarkar01
9,Tiny Archibald,23,CIN,PG,76,,3272,8.1,16.6,0.486,7.4,9.1,0.822,2.4,7.7,2.2,23.6,MVP-15NBA2,architi01
10,Jo Jo White,25,BOS,PG,79,,3261,8.5,19.7,0.431,3.1,3.8,0.831,4.9,4.6,2.5,20.1,AS,whitejo01
11,Sidney Wicks,22,POR,PF,82,,3245,8.7,20.4,0.427,4.9,6.9,0.71,10.5,3.9,2.1,22.3,MVP-17ROY-1AS,wickssi01
12,Jeff Mullins,29,GSW,SG,80,,3214,7.7,16.4,0.467,3.9,4.9,0.794,5,5.3,2.9,19.3,,mullije01
13,Bob Kauffman,25,BUF,PF,77,,3205,6.3,12.6,0.497,3.8,4.8,0.795,8.8,3.3,3.1,16.4,AS,kauffbo01
14,Walt Bellamy,32,ATL,C,82,,3187,6.7,12.3,0.545,3.8,6.6,0.585,11.8,3,2.9,17.2,MVP-25,bellawa01
15,Dave Cowens,23,BOS,C,79,,3186,7.4,15.3,0.484,2,2.7,0.72,13.6,2.8,3.5,16.8,MVP-7AS,cowenda01
16,Elmore Smith,22,BUF,C,78,,3186,6.5,14.4,0.454,2.2,4.1,0.534,13.4,1.3,3.5,15.3,ROY-2,smithel01
17,Wes Unseld,25,BAL,C,76,,3171,4.6,9.3,0.498,1.9,3.1,0.629,15.2,3.2,2.5,11.2,AS,unselwe01
18,Spencer Haywood,22,SEA,PF,73,,3167,8.2,17.7,0.461,5.5,6.7,0.819,10.5,1.7,2.4,21.8,MVP-5ASNBA1,haywosp01
19,Walt Frazier,26,NYK,PG,77,77,3126,7.7,15.1,0.512,5.2,6.4,0.808,5.9,5.1,2.1,20.6,MVP-11ASNBA1,fraziwa01
20,Bob Love,29,CHI,PF,79,77,3108,9.5,21.5,0.442,4.6,5.9,0.784,6,1.4,2.7,23.6,MVP-6ASNBA2,lovebo01
21,Stu Lantz,25,HOU,SG,81,,3097,6.5,14.9,0.435,4.5,5.4,0.838,4,3.9,2.5,17.4,,lantzst01
22,Dick Van Arsdale,28,PHO,SG,82,,3096,6.3,13.7,0.463,6.2,7.3,0.845,3.9,3.5,2.7,18.8,,vanardi01
23,Bob Lanier,23,DET,C,80,,3092,9.7,19.7,0.493,4.5,5.9,0.768,13.2,2.9,3.5,23.9,MVP-9AS,laniebo01
24,Jimmy Walker,27,DET,SG,78,,3083,7.4,16.2,0.457,4.6,5.6,0.827,2.7,3.7,2.3,19.4,AS,walkeji01
