Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Tiny Archibald,24,KCO,PG,80,,3681,10.1,20.6,0.488,6.5,7.7,0.847,2.2,8.9,2,26.6,MVP-3ASNBA1,architi01
2,Wilt Chamberlain,36,LAL,C,82,,3542,4.3,6,0.727,2.4,4.6,0.51,15.5,3.7,1.9,11,MVP-4AS,chambwi01
3,Mike Riordan,27,BAL,SF,82,,3466,6.8,13.3,0.51,1.9,2.3,0.821,4.2,4.4,2.2,15.4,,riordmi01
4,Dave Cowens,24,BOS,C,82,,3425,7.8,17.2,0.452,2.1,2.8,0.779,14,3.5,3.3,17.7,MVP-1ASNBA2,cowenda01
5,Nate Thurmond,31,GSW,C,79,,3419,5.4,12.2,0.446,3.3,4.6,0.718,14.2,2.9,2.5,14.2,MVP-9AS,thurmna01
6,John Havlicek,32,BOS,SF,80,,3367,8.2,18.2,0.45,4,4.6,0.858,6.1,5.7,2.1,20.3,MVP-5ASNBA1,havlijo01
7,Dave Bing,29,DET,PG,82,,3361,7.4,16.5,0.448,4.9,6,0.814,3.2,6.8,2.5,19.7,MVP-19AS,bingda01
8,Elvin Hayes,27,BAL,PF,81,,3347,7.7,17.3,0.444,3.1,4.7,0.671,12.7,1.4,2.5,18.5,MVP-10ASNBA2,hayesel01
9,Spencer Haywood,23,SEA,PF,77,,3259,9.8,20.6,0.476,5.2,6.2,0.839,11,2.2,2.4,24.9,MVP-7ASNBA1,haywosp01
10,Kareem Abdul-Jabbar,25,MIL,C,76,,3254,10.9,19.6,0.554,3.6,5.1,0.713,13.5,4.2,2.3,25.4,MVP-2ASNBA1,abdulka01
11,Jo Jo White,26,BOS,PG,82,,3250,7.9,18.4,0.431,2,2.5,0.781,4.6,5.5,2,17.9,AS,whitejo01
12,Walt Frazier,27,NYK,PG,78,78,3181,7.7,15.7,0.49,3.2,4,0.817,6.5,5.2,2.1,18.7,MVP-7ASNBA2,fraziwa01
13,Sidney Wicks,23,POR,PF,80,,3152,8.7,19.2,0.452,4.4,6.1,0.723,9.9,5,2.9,21.8,MVP-16AS,wickssi01
14,Bob Lanier,24,DET,C,81,,3150,9.3,18.9,0.49,3.5,4.5,0.773,13.8,3,3.2,22,MVP-14AS,laniebo01
15,Geoff Petrie,24,POR,SG,79,,3134,9.6,20.7,0.464,3.4,4.4,0.778,3.1,4,1.9,22.6,,petrige01
16,Neal Walk,24,PHO,C,81,,3114,7.8,16.8,0.466,3.2,4.1,0.786,11.6,3.3,3.7,18.9,,walkne01
17,Austin Carr,24,CLE,SG,82,,3097,8.2,18.3,0.446,3.3,4,0.822,4.3,3.2,2.2,19.6,,carrau01
18,Pete Maravich,25,ATL,SG,79,,3089,9.2,20.8,0.441,5.7,7.1,0.8,4,6.4,2.9,24,MVP-19ASNBA2,maravpe01
19,Wes Unseld,26,BAL,C,79,,3085,4.9,10,0.493,1.7,2.5,0.703,14.7,4,2,11.6,MVP-14AS,unselwe01
20,Jimmy Walker,28,HOU,PG,81,,3079,7.1,15.2,0.465,2.9,3.2,0.884,3.1,5.2,2.4,17,,walkeji01
21,Rick Barry,28,GSW,SF,82,,3075,8.6,19.1,0.452,4.2,4.6,0.902,8.5,4.7,2.9,21.4,MVP-19ASNBA2,barryri01
22,Charlie Scott,24,PHO,PG,81,,3062,9.5,21.3,0.446,5.1,6.5,0.784,4,5.8,3.6,24.1,AS,scottch01
23,Dick Snyder,28,SEA,SG,82,,3060,5.6,12,0.463,2.2,2.5,0.861,3.8,3.7,2.5,13.3,,snydedi01
24,Bob Kauffman,26,BUF,SF,77,,3049,6.3,12.5,0.505,3.3,4.2,0.78,10.1,4.7,2.5,15.9,AS,kauffbo01
25,Bob Love,30,CHI,PF,82,75,3033,9.2,21.3,0.431,4.1,5,0.824,6.3,1.4,2.8,22.5,MVP-11AS,lovebo01
26,Lou Hudson,28,ATL,SF,75,,3027,9.7,20.3,0.477,4.7,5.7,0.825,5.6,3.1,2.3,24.1,MVP-18AS,hudsolo01
27,Jack Marin,28,HOU,SF,81,,3019,7.4,15.9,0.468,3,3.5,0.849,6,3.5,2.9,17.8,AS,marinja01
28,Curtis Rowe,23,DET,PF,81,,3009,6.5,12.6,0.519,2.5,3.9,0.642,9.1,2.1,2.3,15.6,,rowecu01
29,Jeff Mullins,30,GSW,SG,81,,3005,7.8,15.8,0.493,1.7,2.1,0.831,4.3,4,2.4,17.3,,mullije01
30,Bill Bradley,29,NYK,SF,82,82,2998,6.9,15,0.459,2,2.3,0.871,3.6,4.4,3.3,15.8,AS,bradlbi01
31,Fred Carter,27,PHI,SG,81,74,2993,8.2,19.4,0.421,3.1,4.4,0.704,5.8,4.2,3,19.4,,cartefr01
32,Dick Van Arsdale,29,PHO,SG,81,,2979,6.4,13.5,0.476,5.1,6,0.859,3.9,3.2,2.7,18,,vanardi01
33,Lenny Wilkens,35,CLE,PG,75,,2973,6.9,15.4,0.449,4.8,5.8,0.828,4.2,7.6,2.7,18.6,MVP-16AS,wilkele01
34,Rudy Tomjanovich,24,HOU,PF,81,,2972,7.9,16.6,0.478,3,4.1,0.746,11.4,2.2,2.7,18.9,,tomjaru01
