Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,24,PHW,C,79,3773,11.9,23.4,0.509,5.1,10.1,0.504,20.5,1.4,1.2,28.9,MVP-4ASNBA1,chambwi01
2,Bill Russell,26,BOS,C,78,3458,5.5,13,0.426,2.7,4.9,0.55,19.4,2.8,1.6,13.8,MVP-1ASNBA2,russebi01
3,Gene Shue,29,DET,PG,78,3361,7,16.5,0.421,5,5.8,0.856,3.6,5.7,2.2,18.9,MVP-10ASNBA2,shuege01
4,Elgin Baylor,26,LAL,SF,73,3133,10.7,24.9,0.43,7.8,9.9,0.783,16.6,4.3,3.2,29.2,MVP-3ASNBA1,bayloel01
5,Oscar Robertson,22,CIN,PG,71,3032,9,19,0.473,7.8,9.4,0.822,8.5,8.2,2.6,25.7,MVP-5ROY-1ASNBA1,roberos01
6,Bob Pettit,28,STL,PF,76,3027,9.1,20.5,0.447,6.9,9.6,0.724,18.3,3.1,2.6,25.2,MVP-2ASNBA1,pettibo01
7,Richie Guerin,28,NYK,SG,79,3023,7.3,18.4,0.396,5.9,7.5,0.792,7.5,6,3.7,20.5,MVP-15AS,gueriri01
8,Dolph Schayes,32,SYR,PF,79,3007,7.1,19.1,0.372,8.1,9.4,0.868,11.5,3.5,3.5,22.4,MVP-8ASNBA2,schaydo01
9,Willie Naulls,26,NYK,SF,79,2976,8.9,20.8,0.428,4.5,5.5,0.816,12.8,2.3,3.2,22.3,MVP-16AS,naullwi01
10,Bailey Howell,24,DET,PF,77,2952,7.4,15.8,0.469,7.3,9.7,0.753,13.5,2.4,3.6,22.1,MVP-9AS,howelba01
11,Paul Arizin,32,PHW,SF,79,2935,8,18.8,0.425,6.5,7.8,0.833,8.4,2.3,4.1,22.5,MVP-16AS,arizipa01
12,Jack Twyman,26,CIN,SF,79,2920,9.8,20.1,0.488,5,6.8,0.731,8.3,2.8,3.4,24.6,MVP-11,twymaja01
13,Guy Rodgers,25,PHW,PG,78,2905,4.9,12.8,0.386,2.6,3.7,0.687,6.3,8.4,3.2,12.4,,rodgegu01
14,Jerry West,22,LAL,SG,79,2797,6.8,16.3,0.419,4.3,6.4,0.666,7.9,4.3,2.7,17.9,MVP-12AS,westje01
15,Hal Greer,24,SYR,SG,79,2763,8.1,18,0.451,4,5.1,0.774,5.9,3.9,3.2,20.2,AS,greerha01
16,Tom Gola,28,PHW,SG,74,2712,5.6,12.5,0.447,2.8,3.7,0.747,9.2,3.9,4.3,13.9,AS,golato01
