Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Neil Johnston,23,PHW,C,70,3166,5.7,12.7,0.452,6.3,9,0.7,11.1,2.2,2.8,17.8,ASNBA1,johnsne01
2,Bob Cousy,24,BOS,PG,71,2945,5.7,16.1,0.352,5.9,7.2,0.816,5.5,6.7,2.8,17.2,ASNBA1,cousybo01
3,Ed Macauley,24,BOS,C,69,2902,5.6,12.4,0.452,6.2,8.3,0.75,7.8,3.5,2.3,17.4,ASNBA1,macaued01
4,Mel Hutchins,24,MLH,C,71,2891,4,10.5,0.379,2.4,3.7,0.654,9.9,2.8,2.7,10.3,AS,hutchme01
5,Leo Barnhorst,28,INO,SF,71,2871,5,13,0.389,2,3.2,0.629,6.1,3.5,3.1,12.1,AS,barnhle01
6,Joe Graboski,23,INO,C,69,2769,3.5,10.4,0.34,4.6,6.7,0.682,8.9,2,3.9,11.6,,grabojo01
7,Andy Phillip,30,2TM,SG,70,2690,3.3,8.4,0.397,3,4,0.738,4.9,5.3,3.1,9.7,ASNBA2,phillan01
8,Andy Phillip,30,PHW,PG,13,543,3.2,8.2,0.387,3.8,5,0.763,5.7,7.4,3.2,10.2,,phillan01
9,Andy Phillip,30,FTW,SG,57,2147,3.4,8.5,0.4,2.7,3.8,0.729,4.7,4.8,3,9.5,,phillan01
10,Paul Seymour,25,SYR,SG,67,2684,4.1,10.7,0.383,4.6,5.6,0.817,3.3,3.9,2.8,12.8,AS,seymopa01
11,Dolph Schayes,24,SYR,PF,71,2668,5.1,13.5,0.374,6.9,8.4,0.827,12.4,3.1,3.7,17,ASNBA1,schaydo01
12,George Mikan,28,MNL,C,70,2651,6.8,17,0.399,6,7.7,0.78,13.7,2.7,3.9,19.6,ASNBA1,mikange01
13,Jack Nichols,26,MLH,PF,69,2626,5.8,16,0.363,3.3,4.6,0.708,7.3,2.7,3.2,14.9,,nichoja01
14,Jack Coleman,28,ROC,PF,70,2625,4.3,10.3,0.42,1.9,2.9,0.649,10.6,3.2,3.4,10.5,,colemja01
15,Bobby Wanzer,31,ROC,SG,70,2577,4.4,12.1,0.367,5.4,6.6,0.812,4.9,3.5,2.9,14.2,ASNBA2,wanzebo01
16,Slater Martin,27,MNL,PG,70,2556,3.7,8.9,0.41,3.2,4,0.78,2.6,3.5,3.5,10.5,AS,martisl01
17,Fred Schaus,27,FTW,SF,69,2541,3.4,10.2,0.334,3.4,4.2,0.821,5.9,3.5,3.7,10.2,,schaufr01
18,George King,24,SYR,PG,71,2519,3.6,9.1,0.402,4.1,6.3,0.643,4,5.2,3.5,11.3,,kingge01
19,Nat Clifton,30,NYK,PF,70,2496,3.9,11.5,0.343,2.9,4.9,0.583,11,3.3,4,10.7,,cliftna01
20,Paul Walther,25,INO,SG,67,2468,3.3,9.4,0.352,3.9,5.2,0.746,4.1,3,3.8,10.5,,walthpa01
