Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,John Havlicek,30,BOS,SF,81,,3678,8.7,19.4,0.45,5.4,6.6,0.818,7.1,5.9,2,22.9,MVP-6ASNBA1,havlijo01
2,Elvin Hayes,25,SDR,C,82,,3633,9.4,21.9,0.428,4.5,6.7,0.672,13.5,1.8,2.2,23.3,AS,hayesel01
3,Wilt Chamberlain,34,LAL,C,82,,3630,6.6,12.2,0.545,3.6,6.6,0.538,14.8,3.5,1.7,16.8,AS,chambwi01
4,Bob Love,28,CHI,PF,81,81,3482,7.9,17.7,0.447,5.3,6.4,0.829,7.1,1.9,2.7,21.1,MVP-7ASNBA2,lovebo01
5,Walt Frazier,25,NYK,PG,80,80,3455,6.8,13.7,0.494,4.5,5.8,0.779,5.7,5.6,2.5,18.1,ASNBA2,fraziwa01
6,Nate Thurmond,29,SFW,C,82,,3351,6.7,15.1,0.445,4.2,5.8,0.73,12.1,2.8,2.1,17.6,MVP-8,thurmna01
7,Norm Van Lier,23,CIN,SG,82,,3324,5.2,12.3,0.42,3.9,4.8,0.816,6.3,9,3.7,14.2,,vanlino01
8,Kareem Abdul-Jabbar,23,MIL,C,82,,3288,11.6,20.2,0.577,5.1,7.5,0.69,14.4,3,2.9,28.4,MVP-1ASNBA1,abdulka01
9,Jerry Lucas,30,SFW,PF,80,,3251,6.9,13.8,0.498,3.2,4.1,0.787,14,3.2,2.2,17,AS,lucasje01
10,Archie Clark,29,PHI,PG,82,82,3245,7.3,14.8,0.496,4.7,5.9,0.787,4.3,4.9,2.4,19.4,,clarkar01
11,Oscar Robertson,32,MIL,PG,81,,3194,6.7,13.4,0.496,4.3,5.1,0.85,5.2,7.5,2.3,17.7,MVP-5ASNBA2,roberos01
12,Dick Van Arsdale,27,PHO,SG,81,,3157,6.9,15.3,0.452,6.3,7.8,0.811,3.6,3.8,2.8,20.2,AS,vanardi01
13,Tom Van Arsdale,27,CIN,SF,82,,3146,8.6,18.8,0.456,4.3,6,0.721,5.7,2.1,3.4,21.5,AS,vanarto01
14,Bill Bridges,31,ATL,PF,82,,3140,4.4,9.6,0.458,2.4,3.8,0.639,14.1,2.8,3.6,11.2,,bridgbi01
15,Jerry Sloan,28,CHI,SG,80,80,3140,6.8,15.4,0.441,3.2,4.5,0.715,8,3.2,3.3,16.8,,sloanje01
16,Lou Hudson,26,ATL,SF,76,,3113,9.6,19.8,0.484,4.4,5.8,0.759,4.5,3,2.2,23.6,AS,hudsolo01
17,Stu Lantz,24,SDR,SG,82,,3102,6.8,15.1,0.448,6,7.5,0.806,4.7,4,2.7,19.6,,lantzst01
18,Billy Cunningham,27,PHI,SF,81,80,3090,8.2,17.7,0.462,5.3,7.2,0.734,11,4.6,3.8,21.7,MVP-9ASNBA1,cunnibi01
19,Dave Cowens,22,BOS,C,81,,3076,6.4,15.2,0.422,3.2,4.4,0.732,14.2,2.7,4.1,16.1,ROY-1,cowenda01
20,Dave Bing,27,DET,PG,82,,3065,9.4,20.1,0.467,7.2,9.1,0.797,4.3,4.8,2.7,26,MVP-3ASNBA1,bingda01
21,Hal Greer,34,PHI,SG,81,69,3060,7,16.1,0.431,3.8,4.8,0.805,4.3,4.3,3.4,17.7,,greerha01
22,Geoff Petrie,22,POR,SG,82,,3032,9.3,21,0.443,5.5,7.1,0.772,3.3,4.6,2.3,24.1,ROY-1AS,petrige01
23,Paul Silas,27,PHO,PF,81,,2944,4.1,9.6,0.428,3.5,5.1,0.685,12.4,3,2.8,11.8,,silaspa01
24,Chet Walker,30,CHI,SF,81,81,2927,8,17.2,0.465,5.9,6.9,0.859,7.2,2.2,2.3,21.9,AS,walkech01
25,Pete Maravich,23,ATL,SG,81,,2926,9.1,19.8,0.458,5,6.2,0.8,3.7,4.4,2.9,23.1,ROY-3,maravpe01
26,Happy Hairston,28,LAL,PF,80,,2921,7.1,15.2,0.466,4.2,5.3,0.782,9.8,2.1,3.2,18.3,,hairsha01
27,Jack Marin,26,BAL,SF,82,,2920,7.7,16.8,0.46,3.6,4.2,0.848,6.3,2.7,3.2,19,,marinja01
28,Jeff Mullins,28,SFW,SG,75,,2909,7.8,16.2,0.482,3.7,4.4,0.844,4.2,4.1,3,19.3,AS,mullije01
29,Walt Bellamy,31,ATL,C,82,,2908,5.4,10.9,0.493,4.2,6.9,0.604,13.1,2.8,3.4,14.9,,bellawa01
30,Wes Unseld,24,BAL,C,74,,2904,5.3,10.5,0.501,2.5,3.8,0.657,15.5,3.6,2.9,13,AS,unselwe01
31,Jon McGlocklin,27,MIL,SG,82,,2891,7.1,13.4,0.535,1.8,2.1,0.862,2.8,3.8,2.4,16.1,,mcglojo01
32,Dave DeBusschere,30,NYK,PF,81,81,2891,6.5,15.5,0.421,2.7,3.9,0.696,11.2,2.7,3,15.7,AS,debusda01
33,Walt Hazzard,28,ATL,PG,82,,2877,6.5,14.1,0.459,3.9,5.2,0.759,3.8,6.4,3.5,16.9,,abdulma01
34,Tiny Archibald,22,CIN,PG,82,,2867,6.1,13.7,0.444,4.2,5.6,0.757,3,5.7,2.7,16.4,,architi01
35,Bob Dandridge,23,MIL,SF,79,,2862,7.5,14.7,0.509,3.3,4.7,0.702,7.9,3.5,3.6,18.3,,dandrbo01
36,Willis Reed,28,NYK,C,73,72,2855,7.7,16.8,0.462,3.8,4.8,0.785,12.6,1.9,2.9,19.3,MVP-4ASNBA2,reedwi01
37,Jerry West,32,LAL,PG,69,,2845,8.4,17.1,0.494,6.6,8,0.832,4,8.3,2.3,23.5,MVP-2ASNBA1,westje01
38,Dick Barnett,34,NYK,SG,82,82,2843,6.8,15,0.456,2.4,3.5,0.694,3,2.8,2.9,16.1,,barnedi01
39,Earl Monroe,26,BAL,PG,81,,2843,8.4,19,0.442,5.1,6.4,0.802,2.7,4.5,2.8,21.9,AS,monroea01
40,Dick Snyder,26,SEA,SG,82,,2824,8.2,15.5,0.531,3.8,4.6,0.837,3.3,4.5,3.2,20.3,,snydedi01
41,Ron Williams,26,SFW,PG,82,,2809,5.5,12.5,0.436,4.2,5,0.844,3.1,6.2,3.9,15.2,,williro01
42,Gail Goodrich,27,LAL,SG,79,,2808,7.2,15.1,0.475,3.4,4.4,0.77,3.3,4.9,3.3,17.7,,goodrga01
43,Jo Jo White,24,BOS,PG,75,,2787,9,19.3,0.464,2.8,3.5,0.799,4.9,4.7,3.3,20.7,AS,whitejo01
44,Bob Kauffman,24,BUF,C,78,,2778,8,17,0.471,4.7,6.3,0.74,10.8,4.6,3.4,20.6,AS,kauffbo01
45,Jimmy Walker,26,DET,SG,79,,2765,6.8,15.6,0.436,4.5,5.4,0.831,2.7,3.5,2.3,18.1,,walkeji01
46,Clem Haskins,27,PHO,PG,82,,2764,7.3,16.6,0.44,4.4,5.6,0.784,4.2,5,2.7,19,,haskicl01
47,Don May,25,BUF,SF,76,,2666,8.5,18,0.471,3.7,4.7,0.791,7.7,2,3,20.7,,maydo01
48,Connie Hawkins,28,PHO,SF,71,,2662,6.9,16,0.434,6.2,7.6,0.816,8.7,4.4,2.7,20,AS,hawkico01
49,Sam Lacey,22,CIN,C,81,,2648,6.3,15.2,0.418,2.1,3.1,0.687,12.4,1.6,3.7,14.8,,laceysa01
50,Lenny Wilkens,33,SEA,PG,71,,2641,6.4,15.3,0.419,6.3,7.8,0.803,4.3,8.9,2.7,19.1,AS,wilkele01
51,John Hummer,22,BUF,C,81,,2637,4.6,10.4,0.444,3.2,5.5,0.58,9.8,2.2,3.9,12.5,,hummejo01
52,John Warren,23,CLE,PG,82,,2610,5.2,12.4,0.423,2.5,3,0.829,4.7,4.8,4.1,13,,warrejo01
53,Leroy Ellis,30,POR,C,74,,2581,6.8,15.3,0.443,2.9,3.6,0.801,12.7,3.3,3.6,16.4,,ellisle01
54,Gus Johnson,32,BAL,PF,66,,2538,7,15.5,0.453,3,4.1,0.738,16,2.7,3.2,17,MVP-10ASNBA2,johnsgu01
55,Jim Washington,27,PHI,PF,78,70,2501,5.7,11.9,0.476,3.7,4.9,0.762,10.8,1.4,3.7,15.1,,washiji01
56,Greg Smith,24,MIL,PF,82,,2428,6.1,11.8,0.512,2.1,3.2,0.662,8.7,3.4,4.2,14.2,,smithgr01
57,Walt Wesley,26,CLE,C,82,,2425,8.4,18.4,0.455,4.8,7,0.687,10.6,1.2,4.4,21.6,,weslewa01
58,Dick Garrett,24,BUF,PG,75,,2375,5.7,13.7,0.414,3.3,3.8,0.869,4.5,4,4.4,14.6,,garredi01
59,Don Adams,23,SDR,SF,82,,2374,5.9,14.5,0.409,2.4,3.2,0.731,8.8,2.6,5.2,14.2,,adamsdo01
60,Jim Barnett,26,POR,SG,78,,2371,8.5,19.5,0.436,4.9,6.1,0.811,5.7,4.9,2.9,21.9,,barneji02
61,Tom Boerwinkle,25,CHI,C,82,82,2370,5.4,11.2,0.485,2.6,3.5,0.724,17.2,6,4.2,13.4,,boerwto01
62,Bingo Smith,24,CLE,SG,77,,2332,7.6,17.1,0.448,2.7,3.6,0.761,6.6,4,2.7,18,,smithbi02
63,John Johnson,23,CLE,SF,67,,2310,6.8,16.1,0.422,3.7,4.6,0.805,7.1,5,3.9,17.3,AS,johnsjo01
64,Rick Adelman,24,POR,PG,81,,2303,5.9,14,0.422,4.2,5.8,0.724,4.4,5.9,3.3,16,,adelmri01
65,Bill Bradley,27,NYK,SF,78,66,2300,6.5,14.3,0.453,2.3,2.7,0.823,4.1,4.4,3.8,15.2,,bradlbi01
66,Stan McKenzie,26,POR,SF,82,,2290,6.3,14.2,0.441,5.2,6.2,0.836,4.9,3.7,3.7,17.7,,mckenst01
67,Don Chaney,24,BOS,SG,81,,2289,5.5,12,0.454,3.7,4.9,0.748,7.3,3.7,4.5,14.6,,chanedo01
68,Joe Ellis,26,SFW,SF,80,,2275,5.6,14.2,0.396,2.4,3.2,0.744,8.1,2.5,4.5,13.7,,ellisjo01
69,Keith Erickson,26,LAL,SF,73,,2272,5.8,12.4,0.471,1.3,1.8,0.759,6.4,3.5,3.8,13,,erickke01
70,Kevin Loughery,30,BAL,SG,82,,2260,7.7,19,0.403,4.4,5.3,0.831,3.5,4.8,3.9,19.7,,loughke01
71,Don Nelson,30,BOS,SF,82,,2254,6.6,14.1,0.468,5.1,6.8,0.744,9,2.4,3.7,18.2,,nelsodo01
72,McCoy McLemore,28,2TM,SF,86,,2254,4.8,12.6,0.385,3.3,4.2,0.782,9.1,3.3,3.8,12.9,,mclemmc01
73,McCoy McLemore,28,CLE,SF,58,,1839,5,12.8,0.388,3.3,4.3,0.773,9.1,3.4,3.3,13.3,,mclemmc01
74,McCoy McLemore,28,MIL,SF,28,,415,4.3,11.5,0.368,2.9,3.6,0.829,9.1,2.6,5.7,11.5,,mclemmc01
75,Bob Weiss,28,CHI,PG,82,47,2237,4.5,10.6,0.422,3.6,4.3,0.84,3,6.2,3.5,12.6,,weissbo01
76,Matt Guokas,26,2TM,SG,79,35,2213,3.4,6.8,0.493,1.6,2.2,0.732,2.6,5.6,3.1,8.3,,guokama02
77,Matt Guokas,26,PHI,SG,1,0,5,0,0,,0,0,,7.2,0,0,0,,guokama02
78,Matt Guokas,26,CHI,SG,78,35,2208,3.4,6.8,0.493,1.6,2.3,0.732,2.6,5.6,3.1,8.4,,guokama02
79,Pete Cross,22,SEA,C,79,,2194,4,9.1,0.442,2.3,3.3,0.69,15.6,1.9,3.5,10.3,,crosspe01
80,Johnny Green,37,CIN,PF,75,,2147,8.4,14.3,0.587,4.2,6.7,0.617,11,1.5,3.9,21,AS,greenjo01
81,Don Kojis,32,SEA,SF,79,,2143,7.6,17.1,0.446,4.2,5.4,0.778,7.3,2.2,3.7,19.4,,kojisdo01
82,Em Bryant,32,BUF,PG,73,,2137,4.9,11.5,0.421,2.5,3.4,0.744,4.4,5.9,4.5,12.2,,bryanem01
83,Herm Gilliam,24,BUF,SG,80,,2082,6.5,15.5,0.422,2.5,3.3,0.751,5.8,5,4.3,15.5,,gillihe01
84,John Trapp,25,SDR,SF,82,,2080,5.6,13.3,0.42,2.5,3.3,0.755,8.8,2.4,5.8,13.6,,trappjo01
85,Neal Walk,22,PHO,C,82,,2033,7.5,16.7,0.451,3.6,4.7,0.765,11.9,2.1,5,18.7,,walkne01
86,Calvin Murphy,22,SDR,PG,82,,2020,8.4,18.3,0.458,6.3,7.7,0.82,4.4,5.9,4.7,23.1,ROY-4,murphca01
87,Bob Lanier,22,DET,C,82,,2017,9,19.8,0.455,4.9,6.7,0.726,11.9,2.6,4.9,22.9,ROY-5,laniebo01
88,Dave Sorenson,22,CLE,PF,79,,1940,6.6,14.7,0.445,3.4,4.2,0.803,9,3,3.4,16.5,,sorenda01
89,Howard Komives,29,DET,PG,82,,1932,5.1,13.3,0.385,2.3,2.8,0.801,2.8,4.9,3.4,12.5,,komivho01
90,Otto Moore,24,DET,C,82,,1926,5.8,13,0.445,2.3,4.1,0.553,13.1,1.6,3.4,13.9,,mooreot01
91,Steve Kuberski,23,BOS,PF,82,,1867,6,14.4,0.42,2.6,3.5,0.727,10.4,1.5,3.8,14.6,,kuberst01
92,Jim Davis,29,ATL,C,82,,1864,4.7,9.7,0.479,3.8,5.6,0.677,10.5,2.1,4.9,13.1,,davisji01
93,Terry Dischinger,30,DET,SF,65,,1855,5.9,11,0.535,3.1,4.1,0.763,6.6,2.2,3.7,14.9,,dischte01
