Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
94,Bobby Lewis,25,CLE,SG,79,,1852,3.5,9.4,0.37,2.1,3,0.717,4,4.7,3.4,9.1,,lewisbo01
95,Dale Schlueter,25,POR,C,80,,1823,5.1,10.4,0.488,2.8,4.3,0.656,12.4,3.8,5.2,13,,schluda01
96,Tom Meschery,32,SEA,PF,79,,1822,5.6,12.2,0.463,3.2,4.3,0.75,9.6,2.1,4,14.5,,meschto01
97,Bob Boozer,33,MIL,PF,80,,1775,5.9,13.1,0.45,3,3.7,0.818,8.8,2.6,4.4,14.8,,boozebo01
98,Luke Jackson,29,PHI,C,79,40,1774,4,10.7,0.376,2.7,3.8,0.693,11.5,3,4.3,10.7,,jackslu01
99,Jim McMillian,22,LAL,SF,81,,1747,6,13,0.459,2.1,2.7,0.769,6.8,2.7,2.5,14,,mcmilji01
100,Bill Hewitt,26,DET,PF,62,,1725,4.2,9.1,0.467,1.4,2.5,0.575,9.5,2.6,3.9,9.9,,hewitbi01
101,Fred Carter,25,BAL,SG,77,,1707,7.2,17.2,0.417,2.5,3.9,0.65,5.3,3.5,3.5,16.9,,cartefr01
102,Larry Siegfried,31,SDR,PG,53,,1673,3.1,8.1,0.386,2.8,3.3,0.85,4.5,7.4,3.1,9.1,,siegfla01
103,Mel Counts,29,PHO,C,80,,1669,7.9,17.2,0.457,3.2,4.3,0.753,10.8,2.9,6,19,,countme01
104,Shaler Halimon,25,2TM,SG,81,0,1652,6.6,17.1,0.384,2.3,3.5,0.66,9.1,4.7,4,15.5,,halimsh01
105,Shaler Halimon,25,CHI,SG,2,0,23,1.6,12.5,0.125,0,1.6,0,3.1,6.3,7.8,3.1,,halimsh01
106,Shaler Halimon,25,POR,SF,79,,1629,6.6,17.1,0.387,2.4,3.6,0.665,9.2,4.7,3.9,15.6,,halimsh01
107,Jim Fox,27,CHI,C,82,0,1628,6.2,13.5,0.458,5.3,7.1,0.745,13.2,4.3,4.7,17.7,,foxji01
108,Mike Davis,24,BUF,SG,73,,1617,7.1,17.2,0.41,4.4,5.8,0.76,4.2,3.4,4.9,18.5,,davismi01
109,Lee Winfield,23,SEA,PG,79,,1605,7.5,16.1,0.466,3.6,5.5,0.664,4.3,5,3,18.6,,winfile01
110,Bailey Howell,34,PHI,PF,82,6,1589,7.3,15.5,0.472,5.2,7.1,0.73,10,2.6,5.3,19.9,,howelba01
111,Dave Stallworth,29,NYK,SF,81,2,1565,6.8,15.8,0.431,3.9,5.3,0.735,8.1,2.4,4,17.5,,stallda01
112,Ed Manning,27,POR,PF,79,,1558,5.6,12.9,0.435,1.7,2.1,0.806,9.5,2.6,4.6,13,,mannied01
113,Eddie Miles,30,BAL,SG,63,,1541,5.9,13.8,0.426,2.8,3.4,0.803,3.9,2.6,2.8,14.5,,milesed01
114,John Tresvant,31,2TM,PF,75,,1517,4.8,10.3,0.463,3.5,4.9,0.712,9.1,2,4.7,13.1,,tresvjo01
115,John Tresvant,31,LAL,PF,8,,66,9.8,19.1,0.514,3.8,5.5,0.7,12.5,5.5,6,23.5,,tresvjo01
116,John Tresvant,31,BAL,PF,67,,1451,4.6,9.9,0.459,3.4,4.8,0.713,8.9,1.9,4.6,12.6,,tresvjo01
117,John Block,26,SDR,PF,73,,1464,6,14.4,0.42,5.2,6.6,0.785,10.9,2.4,4.7,17.3,,blockjo01
118,Luther Rackley,24,CLE,C,74,,1434,5.5,11.8,0.466,3,4.8,0.637,9.9,1.7,4.7,14,,rackllu01
119,Bob Portman,23,SFW,SG,68,,1395,5.7,12.5,0.458,2,2.7,0.726,8.3,1.7,3.4,13.4,,portmbo01
120,Clyde Lee,26,SFW,C,82,,1392,5,11.1,0.453,2.9,5.1,0.558,14.7,1.6,3.5,12.9,,leecl01
121,Willie McCarter,24,LAL,SG,76,,1369,6.5,15.6,0.417,1.2,2,0.597,3.2,3.3,4,14.2,,mccarwi01
122,Flynn Robinson,29,CIN,SG,71,,1368,9.8,21.5,0.458,5.1,6,0.855,3.8,3.6,4.2,24.8,,robinfl01
123,Greg Hyder,22,CIN,SF,77,,1359,4.8,10.8,0.447,1.4,1.9,0.718,8.8,1.3,5,11,,hydergr01
124,Lamar Green,23,PHO,PF,68,,1326,4.5,10,0.453,1.7,2.9,0.604,12.7,1.4,5.5,10.8,,greenla01
125,Mike Riordan,25,NYK,SF,82,2,1320,4.4,10.6,0.418,1.8,2.9,0.62,4.6,3.3,4.1,10.7,,riordmi01
126,Cornell Warner,22,BUF,C,65,,1293,4.3,10.5,0.415,2.2,4,0.552,12.6,1.5,3.9,10.9,,warneco01
127,Dennis Awtrey,22,PHI,C,70,38,1292,5.6,11.7,0.475,2.9,4.4,0.662,12,2.5,5.9,14,,awtrede01
128,Barry Clemens,27,SEA,SF,78,,1286,6.9,14.7,0.47,2.3,3.2,0.728,6.8,2.6,4.7,16.2,,clemeba01
129,Zaid Abdul-Aziz,24,SEA,C,61,,1276,7.4,16.8,0.441,3.9,5.3,0.739,13.2,1.2,3.3,18.8,,abdulza01
130,Terry Driscoll,23,DET,PF,69,,1255,3.8,9.1,0.415,3.1,4.4,0.701,11.5,1.5,6.1,10.7,,driscte01
131,Hank Finkel,28,BOS,C,80,,1234,6.2,14.3,0.438,2.7,3.7,0.732,10,2.3,5.7,15.2,,finkeha01
132,Erwin Mueller,26,DET,PF,52,,1224,3.7,9.1,0.408,1.8,3.2,0.556,6.6,3.3,2.9,9.2,,mueller01
133,Charlie Paulk,24,CIN,PF,68,,1213,8.1,18.9,0.43,2.3,3.9,0.603,9.5,0.8,5.5,18.6,,paulkch01
134,Nick Jones,25,SFW,SG,81,,1183,6.8,15.9,0.43,3.4,4.6,0.735,3.3,3.4,5.8,17.1,,jonesni01
135,Jerry Chambers,27,ATL,SF,65,,1168,7.3,16.2,0.451,3.3,4.1,0.791,7.6,1.9,3.7,17.9,,chambje01
136,Lucius Allen,23,MIL,PG,61,,1162,5.5,12.3,0.447,2.4,3.4,0.7,4.7,5,3.3,13.4,,allenlu01
137,Spencer Haywood,21,SEA,PF,33,,1162,8.1,17.9,0.449,5,6.8,0.734,12.3,1.5,2.6,21.1,,haywosp01
138,Gary Gregor,25,POR,PF,44,,1153,5.7,13.1,0.43,1.8,2.8,0.663,10.4,2.5,3.7,13.1,,gregoga01
139,Bob Quick,24,DET,SF,56,,1146,4.9,10.7,0.455,4.3,5.5,0.784,7.2,1.8,4.5,14.1,,quickbo01
140,Art Williams,31,BOS,PG,74,,1141,4.7,10.4,0.455,1.9,2.6,0.723,6.5,7.4,5.7,11.4,,williar01
141,Toby Kimball,28,SDR,PF,80,,1100,3.6,9.4,0.387,1.7,3.5,0.472,13.3,2,4.2,8.9,,kimbato01
142,John Wetzel,26,PHO,SG,70,,1091,4.1,9.5,0.431,2.7,3.3,0.822,5,3.8,5.1,10.9,,wetzejo01
143,Rudy Tomjanovich,22,SDR,PF,77,,1062,5.7,14.9,0.383,2.5,3.8,0.652,12.9,2.5,4.2,13.9,,tomjaru01
144,Cazzie Russell,26,NYK,SF,57,15,1056,7.4,17.2,0.429,3.1,4.1,0.773,6.5,2.6,2.5,17.9,,russeca01
145,Gar Heard,22,SEA,PF,65,,1027,5.3,14,0.381,2.9,4.4,0.656,11.5,1.6,4.4,13.5,,heardga01
146,Wali Jones,28,PHI,SG,41,13,962,6.3,15.6,0.402,3,3.8,0.782,2.4,4.8,4.1,15.5,,joneswa02
147,Art Harris,24,PHO,PG,56,,952,7.5,18.3,0.411,2.6,4.3,0.611,3.8,5,5.2,17.7,,harriar01
148,Rick Roberson,23,LAL,C,65,,909,5,11.9,0.415,3.5,5.7,0.615,12,1.9,5,13.4,,roberri01
149,Fred Foster,24,2TM,SF,67,6,909,5.9,14.6,0.402,2.9,4.2,0.689,6,2.4,4.6,14.6,,fostefr01
150,Fred Foster,24,CIN,SF,1,,21,5.1,13.7,0.375,1.7,5.1,0.333,6.9,0,3.4,12,,fostefr01
151,Fred Foster,24,PHI,SF,66,6,888,5.9,14.6,0.403,2.9,4.2,0.699,6,2.5,4.6,14.7,,fostefr01
152,Tom Black,29,2TM,C,71,,873,5,12.4,0.402,2.4,3.6,0.648,10.7,1.8,5.6,12.3,,blackto01
153,Tom Black,29,SEA,C,55,,773,5.2,12.5,0.414,2.4,3.4,0.699,10.5,2,5.4,12.7,,blackto01
154,Tom Black,29,CIN,C,16,,100,3.6,11.9,0.303,2.2,5.4,0.4,12.2,0.7,7.2,9.4,,blackto01
155,Darrall Imhoff,32,CIN,C,34,,826,5.2,11.2,0.461,1.6,3.2,0.507,10.2,3.4,5.2,12,,imhofda01
156,Johnny Egan,32,2TM,PG,62,,824,2.9,7.8,0.376,1.8,2.2,0.824,2.8,4.9,3.1,7.7,,eganjo01
157,Johnny Egan,32,CLE,PG,26,,410,3.5,8.6,0.408,2.2,2.5,0.893,2.8,5.1,2.7,9.2,,eganjo01
158,Johnny Egan,32,SDR,PG,36,,414,2.3,7,0.338,1.5,2,0.739,2.7,4.7,3.5,6.2,,eganjo01
159,Bobby Washington,23,CLE,PG,47,,823,5.4,13.6,0.397,4.5,6.1,0.743,4.6,8.3,4.6,15.3,,washibo01
160,Phil Jackson,25,NYK,PF,71,7,771,5.5,12.3,0.449,4.4,6.2,0.714,11.1,1.4,7.9,15.5,,jacksph01
161,Rod Thorn,29,SEA,SG,63,,767,6.6,14,0.472,3.2,4.8,0.676,4.8,8.5,2.8,16.5,,thornro01
162,Connie Dierking,34,2TM,C,54,5,737,6.1,15.7,0.388,3,4.3,0.685,11.4,2.9,5.6,15.2,,dierkco01
163,Connie Dierking,34,CIN,C,1,,23,4.7,25,0.188,0,0,,11,1.6,7.8,9.4,,dierkco01
164,Connie Dierking,34,PHI,C,53,5,714,6.2,15.4,0.399,3.1,4.5,0.685,11.4,3,5.5,15.4,,dierkco01
165,Steve Mix,23,DET,SF,35,,731,5.5,12.3,0.446,3.3,4.4,0.764,8.1,1.7,3.5,14.3,,mixst01
166,Joe Cooke,22,CLE,SG,73,,725,6.7,16.9,0.393,2.4,2.9,0.814,5.7,4.6,6.7,15.7,,cookejo01
167,Bill Dinwiddie,27,BOS,PF,61,,717,6.2,16.5,0.375,2.7,3.7,0.73,10.5,1.7,4.5,15.1,,dinwibi01
168,Dorie Murrey,27,2TM,PF,71,,716,3.9,8.9,0.438,3.8,5.6,0.67,11.1,1.6,7.5,11.6,,murredo01
169,Dorie Murrey,27,POR,PF,2,,20,1.8,10.8,0.167,16.2,19.8,0.818,12.6,1.8,5.4,19.8,,murredo01
170,Dorie Murrey,27,BAL,PF,69,,696,4,8.9,0.448,3.4,5.2,0.653,11.1,1.6,7.6,11.4,,murredo01
171,George Wilson,28,BUF,PF,46,,713,4.6,13.6,0.342,2.8,3.5,0.812,11.6,2.4,5,12.1,,wilsoge01
172,Bernie Williams,25,SDR,SG,56,,708,5.7,17.2,0.331,3.5,4.1,0.84,4.3,5.7,3.9,14.8,,willibe01
173,Dick Cunningham,24,MIL,C,76,,675,4.3,10.4,0.415,2.1,3.1,0.661,13.7,2.3,4.8,10.7,,cunnidi01
174,Ron Knight,23,POR,PF,52,,662,5.4,12.5,0.43,1,2.1,0.5,9.1,2.7,5.4,11.8,,knighro01
175,Freddie Crawford,29,2TM,SG,51,1,652,6.1,15.5,0.391,2.7,5.4,0.49,5.7,4.3,4.3,14.8,,crawffr01
176,Freddie Crawford,29,BUF,SG,15,,203,6.4,18.8,0.34,2.8,4.6,0.615,6.2,4.3,3.2,15.6,,crawffr01
177,Freddie Crawford,29,PHI,SG,36,1,449,5.9,14,0.423,2.6,5.8,0.444,5.5,4.3,4.7,14.4,,crawffr01
178,Jim King,29,CHI,PG,55,1,645,5.6,12.7,0.439,3.6,4.4,0.81,3.8,4.4,3.1,14.7,,kingji01
179,Fred Hetzel,28,LAL,SF,59,,613,6.5,15,0.434,3.5,4.5,0.779,8.8,2.2,5.8,16.6,,hetzefr01
180,Bob Arnzen,23,CIN,SF,55,,594,7.8,16.8,0.462,2.7,3.2,0.865,9.2,1.5,3.3,18.2,,arnzebo01
181,Fred Taylor,22,PHO,SG,54,,552,7.2,18.5,0.387,5.1,8.2,0.624,5.6,3.3,7.4,19.4,,taylofr01
182,Johnny Baum,24,CHI,SF,62,0,543,8.2,19.4,0.42,2.7,3.8,0.69,8.3,2.1,3.6,19,,baumjo01
183,Len Chappell,30,2TM,PF,48,,537,5.8,13.3,0.432,4.8,5.9,0.807,10.1,1.1,4.8,16.3,,chapple01
184,Len Chappell,30,CLE,,6,,86,6.3,15.9,0.395,4.6,5.9,0.786,7.5,0.4,3.8,17.2,,chapple01
185,Len Chappell,30,ATL,PF,42,,451,5.7,12.9,0.441,4.8,5.9,0.811,10.6,1.3,5,16.1,,chapple01
186,Larry Mikan,22,CLE,SF,53,,536,4.2,12.5,0.333,2.3,3.7,0.618,9.3,2.8,3.8,10.6,,mikanla01
187,Bob Christian,24,ATL,C,54,,524,3.8,8.7,0.433,2.7,4.4,0.625,12.2,2.1,8.1,10.3,,chrisbo01
188,Pat Riley,25,LAL,SG,54,,506,7.5,18.1,0.413,4,6.2,0.644,3.8,5.1,6,18.9,,rileypa01
189,Nate Bowman,27,BUF,C,44,,483,4.3,11,0.392,1.5,2.8,0.526,12.9,3.1,6.8,10.1,,bowmana01
190,Jimmy Collins,24,CHI,SG,55,3,478,6.9,16.1,0.43,2.6,3.4,0.778,4.1,4.5,3.2,16.5,,colliji01
191,John Vallely,22,ATL,SG,51,,430,6.1,17.1,0.358,3.8,4.9,0.763,2.8,3.9,4.2,16,,vallejo01
192,Greg Howard,23,PHO,PF,44,,426,5.7,14.6,0.393,3.1,4.9,0.638,10.1,2.2,5.7,14.6,,howargr01
193,Bill Zopf,22,MIL,PG,53,,398,4.4,12.2,0.363,1.8,3.3,0.556,4.2,6.6,3.1,10.7,,zopfbi01
194,Gary Freeman,22,2TM,SF,52,,382,6.5,12.6,0.515,2.7,3.8,0.725,10,3.3,6.3,15.7,,freemga01
195,Gary Freeman,22,MIL,SF,41,,335,6.7,13.1,0.508,3,4.1,0.737,10.5,3.3,6.8,16.3,,freemga01
196,Gary Freeman,22,CLE,SF,11,,47,5.4,9.2,0.583,0.8,1.5,0.5,6.1,3.1,3.1,11.5,,freemga01
