Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Elvin Hayes,23,SDR,C,82,,3695,9.1,20.3,0.447,4.5,7.3,0.626,13.7,1.1,2.6,22.7,ROY-2AS,hayesel01
2,Wilt Chamberlain,32,LAL,C,81,,3669,6.3,10.8,0.583,3.7,8.4,0.446,16.8,3.6,1.4,16.3,AS,chambwi01
3,Lenny Wilkens,31,SEA,PG,82,,3463,6.7,15.2,0.44,5.7,7.4,0.77,5.3,7,3.1,19.1,AS,wilkele01
4,Oscar Robertson,30,CIN,PG,79,,3461,6.8,14.1,0.486,6.7,8,0.838,5.2,8,2.4,20.3,ASNBA1,roberos01
5,Dick Van Arsdale,25,PHO,SG,80,,3388,6.5,14.7,0.442,4.8,6.8,0.705,5.8,4.1,2.6,17.8,AS,vanardi01
6,Billy Cunningham,25,PHI,PF,82,,3345,8,18.7,0.426,6,8.1,0.737,11.3,3.1,3.5,21.9,MVP-3ASNBA1,cunnibi01
7,Hal Greer,32,PHI,SG,82,,3311,8,17.3,0.459,4.7,5.9,0.796,4.7,4.5,3.2,20.6,ASNBA2,greerha01
8,Bill Russell,34,BOS,C,77,,3291,3.1,7.1,0.433,2.2,4.2,0.526,16.2,4.1,2.5,8.3,MVP-4AS,russebi01
9,Gail Goodrich,25,PHO,PG,81,,3236,8,19.4,0.411,5.5,7.4,0.747,4.9,5.8,2.8,21.5,AS,goodrga01
10,Nate Thurmond,27,SFW,C,71,,3208,6.4,15.6,0.41,4.3,7,0.615,15.7,2.8,1.9,17.1,,thurmna01
11,John Havlicek,28,BOS,SG,82,,3174,7.8,19.4,0.405,4.4,5.6,0.78,6.5,5,2.8,20.1,ASNBA2,havlijo01
12,Walt Bellamy,29,2TM,C,88,31,3159,6.4,12.6,0.51,4.6,7,0.649,12.5,2,3.6,17.4,,bellawa01
13,Walt Bellamy,29,NYK,C,35,31,1136,6.5,12.7,0.507,4,6.4,0.619,12.2,2.4,3.9,16.9,,bellawa01
14,Walt Bellamy,29,DET,C,53,,2023,6.4,12.5,0.512,4.9,7.4,0.663,12.7,1.8,3.5,17.7,,bellawa01
15,Kevin Loughery,28,BAL,PG,80,,3135,8.2,18.8,0.438,4.3,5.3,0.803,3.1,4.4,3.4,20.7,,loughke01
16,Don Kojis,30,SDR,SF,81,,3130,7.9,18.2,0.434,5.1,6.9,0.748,8.9,2.5,3.5,20.9,AS,kojisdo01
17,Willis Reed,26,NYK,C,82,82,3108,8.2,15.6,0.521,3.8,5,0.747,13.8,2.2,3.6,20.1,MVP-2ASNBA2,reedwi01
18,Bob Rule,24,SEA,C,82,,3104,9,19.2,0.469,4.8,7,0.682,10.9,1.6,3.7,22.8,,rulebo01
19,Earl Monroe,24,BAL,SG,80,,3075,9.5,21.5,0.44,5.2,6.8,0.768,3.3,4.6,3.1,24.2,ASNBA1,monroea01
20,Jerry Lucas,28,CIN,PF,74,,3075,6.5,11.8,0.551,2.9,3.8,0.755,15.9,3.6,2.4,15.9,AS,lucasje01
21,Elgin Baylor,34,LAL,SF,76,,3064,8.6,19.2,0.447,4.9,6.7,0.743,9.5,4.8,2.4,22.1,MVP-5ASNBA1,bayloel01
22,Tom Van Arsdale,25,CIN,SG,77,,3059,6.4,14.5,0.444,4.7,6.3,0.747,4.2,2.4,3.5,17.6,,vanarto01
23,Dave Bing,25,DET,PG,77,,3039,8,18.9,0.425,5.3,7.4,0.713,4.5,6.5,3,21.3,AS,bingda01
