Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Moses Malone,23,HOU,C,82,82,3390,7.6,14.1,0.54,6.4,8.6,0.739,6.2,9.1,15.3,1.6,0.8,1.3,3.5,2.4,21.6,MVP-1ASNBA1,malonmo01
2,Artis Gilmore,29,CHI,C,82,82,3265,8.3,14.4,0.575,4.8,6.5,0.739,3.2,8.3,11.5,3,0.6,1.7,3.4,3.1,21.4,AS,gilmoar01
3,M.L. Carr,28,DET,SF,80,,3207,6.6,12.8,0.514,3.6,4.9,0.743,2.5,4.2,6.6,2.9,2.2,0.5,2.9,3.1,16.8,,carrml01
4,Kareem Abdul-Jabbar,31,LAL,C,80,,3157,8.9,15.4,0.577,4,5.4,0.736,2.4,9.3,11.7,4.9,0.9,3.6,3.2,2.6,21.7,MVP-4ASNBA2,abdulka01
5,Norm Nixon,23,LAL,PG,82,82,3145,7.1,13.2,0.542,1.8,2.3,0.775,0.5,2.1,2.6,8.4,2.3,0.2,2.6,2.9,16.1,,nixonno01
6,Randy Smith,30,SDC,SG,82,82,3111,8,17.6,0.455,3.4,4.2,0.813,1.2,2.2,3.4,4.6,2,0.1,3,2,19.4,,smithra01
7,Elvin Hayes,33,WSB,PF,82,,3105,8.3,17.1,0.487,4,6.2,0.654,3.6,7.9,11.5,1.7,0.9,2.2,2.7,3.6,20.7,MVP-3ASNBA1,hayesel01
8,John Lucas,25,GSW,PG,82,82,3095,6.2,13.3,0.462,3.1,3.7,0.822,0.8,2.1,2.9,8.9,1.8,0.1,3,2.7,15.4,,lucasjo01
9,Kevin Porter,28,DET,PG,82,82,3064,6.3,13,0.481,2.3,3.1,0.722,0.7,1.7,2.5,12.9,1.9,0.1,4,3.5,14.8,,porteke01
10,Johnny Davis,23,IND,PG,79,,2971,6.8,15,0.456,3.8,4.8,0.793,0.8,1.5,2.3,5.5,1.2,0.3,2.6,2.1,17.5,,davisjo01
11,Cedric Maxwell,23,BOS,SF,80,,2969,5.7,9.8,0.584,7,8.7,0.802,3.3,6.3,9.6,2.8,1.2,0.9,3.3,3.2,18.4,,maxwece01
12,Jack Sikma,23,SEA,C,82,82,2958,5.8,12.6,0.46,4,4.9,0.814,2.8,9.5,12.3,3.2,1,0.8,3.1,3.6,15.6,MVP-7AS,sikmaja01
13,World B. Free,25,SDC,PG,78,,2954,9.7,20.1,0.481,8,10.5,0.756,1.5,2.1,3.7,4.1,1.4,0.4,3.6,3.1,27.3,MVP-6NBA2,freewo01
14,Larry Kenon,26,SAS,PF,81,,2947,9.1,18.1,0.504,3.6,4.3,0.845,3.2,6.5,9.7,4.1,1.9,0.2,3.7,2.3,21.9,AS,kenonla01
15,Calvin Murphy,30,HOU,PG,82,,2941,8.7,17.4,0.496,3,3.2,0.928,1,1.2,2.1,4.3,1.4,0.1,2.3,3.5,20.3,AS,murphca01
16,Jamaal Wilkes,25,LAL,SF,82,82,2915,7.7,15.3,0.504,3.4,4.5,0.751,2,5.5,7.5,2.8,1.7,0.3,2.8,3.4,18.8,,wilkeja01
17,Sonny Parker,23,GSW,SF,79,,2893,6.4,12.7,0.502,2.2,2.8,0.788,2,3.5,5.5,3.6,1.8,0.4,2.4,2.3,14.9,,parkeso01
18,George Gervin,26,SAS,SF,80,,2888,11.8,21.8,0.541,5.9,7.1,0.826,1.8,3.2,5,2.7,1.7,1.1,3.6,3.4,29.5,MVP-2ASNBA1,gervige01
19,Bernard King,22,NJN,SF,82,,2859,8.9,17.1,0.522,4.4,7.8,0.564,3.2,5.3,8.4,3.7,1.5,0.5,4.1,4.1,22.3,,kingbe01
20,Campy Russell,27,CLE,SF,74,,2859,7.6,16,0.476,5.3,6.6,0.797,1.9,4.5,6.3,4.4,1.2,0.3,3.3,2.8,20.4,AS,russeca02
21,Jim Chones,29,CLE,C,82,82,2850,6,13.6,0.44,2,2.7,0.735,3.3,7.4,10.6,2.3,0.6,1.3,2.4,3.5,13.9,,choneji01
22,Otis Birdsong,23,KCK,SG,82,82,2839,9.4,18.5,0.509,3.8,5.2,0.725,2.2,2.3,4.5,3.6,1.6,0.2,2.5,3.2,22.5,AS,birdsot01
23,Ricky Sobers,26,IND,SG,81,,2825,7,15.2,0.463,3.8,4.3,0.882,1.5,2.3,3.8,5.7,1.8,0.3,3.9,4,17.9,,soberri01
24,Julius Erving,28,PHI,SF,78,76,2802,9.2,18.7,0.491,4.8,6.4,0.745,2.5,4.7,7.2,4.6,1.7,1.3,4,2.7,23.2,AS,ervinju01
25,Tom Owens,29,POR,C,82,82,2791,7.7,14.1,0.548,4.1,5.2,0.794,3.4,6.2,9.5,3.9,0.8,0.7,3.2,4.2,19.6,,owensto01
26,Marques Johnson,22,MIL,SF,77,,2779,10.6,19.3,0.55,4.3,5.7,0.76,2.7,4.8,7.6,3,1.5,1.2,2.2,2.4,25.5,ASNBA1,johnsma01
27,Kermit Washington,27,SDC,PF,82,,2764,4.6,8.1,0.562,3,4.3,0.688,3.9,6.6,10.4,1.6,1.1,1.6,2.4,4.1,12.1,,washike01
28,Reggie Theus,21,CHI,PG,82,80,2753,7,14.6,0.48,3.5,4.5,0.761,1.2,1.8,3,5.6,1.2,0.2,4,3.5,17.5,ROY-2,theusre01
29,Dan Issel,30,DEN,C,81,,2742,7,13.5,0.517,4.1,5.5,0.754,3.2,6.5,9.7,3.3,0.8,0.6,2.2,3.1,18.1,,isselda01
30,Chris Ford,30,2TM,SG,81,,2737,7.1,15,0.471,2.3,3,0.758,1.6,2,3.6,4.9,1.5,0.3,2.8,2.7,16.4,,fordch01
31,Chris Ford,30,DET,SG,3,,108,4.3,11.7,0.371,2.3,2.7,0.875,3,3,6,1.7,0.3,0.3,3.3,3,11,,fordch01
32,Chris Ford,30,BOS,SG,78,,2629,7.2,15.2,0.474,2.3,3,0.753,1.6,1.9,3.5,5.1,1.6,0.3,2.7,2.7,16.6,,fordch01
33,Phil Ford,22,KCK,PG,79,,2723,6.2,13.3,0.465,4.3,5.3,0.813,0.4,2,2.4,9,2.3,0.1,4.3,3.2,16.7,MVP-8ROY-1NBA2,fordph01
34,Dennis Johnson,24,SEA,SG,80,,2717,6.4,14.7,0.434,4.1,5.2,0.781,1.9,3,5,3.7,1.3,1.3,2.5,2.8,16.8,AS,johnsde01
35,Austin Carr,30,CLE,SG,82,,2714,7.3,15.4,0.475,3.9,4.7,0.816,2.1,1.8,3.8,2.9,1,0.2,2.3,2.8,18.5,,carrau01
36,Rich Kelley,25,NOJ,C,80,,2705,5.9,11.6,0.506,5,6.1,0.814,4,9.6,13.7,3.8,1.7,2.2,3.8,4.1,16.7,,kelleri01
37,Jim McElroy,25,NOJ,PG,79,,2698,7.2,14.6,0.491,3.5,4.5,0.762,0.8,2.1,2.9,6,2,0.7,3.2,2.4,17.8,,mcelrji01
38,Alex English,25,IND,SF,81,,2696,7.5,14.7,0.511,2.3,3.1,0.752,3.4,5.4,8.7,3.6,0.9,1,2.6,2.9,17.3,,englial01
39,David Thompson,24,DEN,SG,76,,2670,9.3,18.2,0.512,5.9,7.9,0.753,1.5,2.2,3.7,3,0.9,1.1,2.5,2.4,24.6,MVP-8AS,thompda01
40,Toby Knight,23,NYK,SF,82,70,2667,8.2,15.8,0.519,2,2.8,0.704,2.7,4.7,7.4,1.7,0.8,0.8,2.2,4.2,18.4,,knighto01
