Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Mikal Bridges,26,2TM,SG,83,83,2963,7.2,15.4,0.468,2.1,5.4,0.382,5.2,10,0.514,0.535,3.8,4.3,0.895,1,3.5,4.4,3.3,1.1,0.7,1.5,1.9,20.3,,bridgmi01
2,Mikal Bridges,26,PHO,SF,56,56,2040,6.2,13.5,0.463,1.8,4.6,0.387,4.5,8.9,0.503,0.529,2.8,3.1,0.897,1,3.3,4.3,3.5,1.1,0.8,1.4,2,17,,bridgmi01
3,Mikal Bridges,26,BRK,SG,27,27,923,9.3,19.6,0.475,2.7,7.1,0.376,6.7,12.6,0.531,0.543,6.2,7,0.894,0.9,3.8,4.7,2.8,1,0.6,1.9,1.7,27.5,,bridgmi01
4,Anthony Edwards,21,MIN,SG,79,79,2842,9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.528,4,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.7,AS,edwaran01
5,Zach LaVine,27,CHI,SG,77,77,2768,8.8,18.1,0.485,2.7,7.1,0.375,6.1,11,0.556,0.558,4.7,5.6,0.848,0.5,3.9,4.5,4.3,0.9,0.2,2.5,2.1,24.9,,lavinza01
6,Nikola Vučević,32,CHI,C,82,82,2746,7.8,15.1,0.52,1.6,4.5,0.349,6.2,10.5,0.594,0.573,1.7,2.1,0.835,2.1,9.8,11.8,3.5,0.8,0.7,1.8,2.3,19,,vucevni01
7,Julius Randle,28,NYK,PF,77,77,2737,8.7,18.8,0.459,2.9,8.4,0.343,5.8,10.5,0.553,0.536,5.3,7,0.757,1.9,8.2,10.1,4.2,0.6,0.3,2.8,3.1,25.5,CPOY-14ASNBA3,randlju01
8,Domantas Sabonis,26,SAC,C,79,79,2736,7.6,12.3,0.615,0.4,1.1,0.373,7.2,11.3,0.639,0.632,4.3,5.8,0.742,3.3,9.5,12.8,7.5,0.9,0.5,3,3.7,19.9,MVP-7ASNBA3,sabondo01
9,Jayson Tatum,24,BOS,SF,74,74,2732,9.6,20.5,0.466,3.2,9,0.35,6.4,11.5,0.558,0.543,7,8.2,0.854,1,7.5,8.6,4.5,1,0.7,2.8,2.1,29.3,MVP-4CPOY-10ASNBA1,tatumja01
10,Spencer Dinwiddie,29,2TM,SG,79,79,2725,6.1,13.9,0.438,2.4,6.5,0.369,3.7,7.4,0.498,0.524,3.5,4.4,0.812,0.4,3.2,3.6,6.8,0.9,0.3,1.9,2.5,18.1,,dinwisp01
11,Spencer Dinwiddie,29,DAL,SG,53,53,1808,6.3,13.8,0.455,2.7,6.8,0.405,3.5,7,0.504,0.555,3.4,4.1,0.821,0.4,2.9,3.2,5.6,0.8,0.3,1.8,2.5,18.7,,dinwisp01
12,Spencer Dinwiddie,29,BRK,PG,26,26,917,5.7,14,0.404,1.7,5.8,0.289,4,8.1,0.488,0.465,3.8,4.8,0.797,0.4,3.8,4.2,9.3,1.1,0.3,2.2,2.5,16.8,,dinwisp01
