Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,27,SFW,C,80,3689,11.7,22.4,0.524,5.3,9.9,0.531,17.4,3.9,1.8,28.8,MVP-2ASNBA1,chambwi01
2,Oscar Robertson,25,CIN,PG,79,3559,8.5,17.6,0.483,8.1,9.5,0.853,7.9,8.8,2.8,25.1,MVP-1ASNBA1,roberos01
3,Bill Russell,29,BOS,C,78,3482,4.8,11.1,0.433,2.4,4.4,0.55,20,3.8,2,12.1,MVP-3ASNBA2,russebi01
4,Walt Bellamy,24,BAL,C,80,3394,8.6,16.8,0.513,5.7,8.8,0.651,14.4,1.3,3.2,22.9,AS,bellawa01
5,Bob Pettit,31,STL,PF,80,3296,8.6,18.7,0.463,6.6,8.4,0.789,13.4,2.8,3.3,23.9,MVP-4ASNBA1,pettibo01
6,Jerry Lucas,23,CIN,PF,79,3273,6,11.4,0.527,3.4,4.4,0.779,15.1,2.2,3.3,15.4,MVP-9ROY-1ASNBA2,lucasje01
7,Elgin Baylor,29,LAL,SF,78,3164,8.6,20.2,0.425,5.4,6.7,0.804,10.6,3.9,2.7,22.6,MVP-6ASNBA1,bayloel01
8,Hal Greer,27,PHI,SG,80,3157,8.2,18.4,0.444,5,6,0.829,5.5,4.3,3.3,21.3,MVP-6ASNBA2,greerha01
9,Ray Scott,25,DET,PF,80,2964,6.5,15.9,0.412,4,5.5,0.719,13.1,3,3.6,17.1,,scottra01
10,Red Kerr,31,PHI,C,80,2938,6.6,15.3,0.429,3.3,4.4,0.751,12.5,3.4,2.3,16.4,,kerrre01
11,Wayne Embry,26,CIN,C,80,2915,6.9,15,0.458,3.3,5.1,0.65,11.4,1.4,4,17.1,MVP-9AS,embrywa01
12,Jerry West,25,LAL,PG,72,2906,9.2,18.9,0.484,7.2,8.7,0.832,5.4,5,2.5,25.6,MVP-5ASNBA1,westje01
13,Gus Johnson,25,BAL,PF,78,2847,7.2,16.8,0.43,2.7,4,0.658,13.5,2.1,4.1,17.1,MVP-6ROY-2,johnsgu01
14,Terry Dischinger,23,BAL,SF,80,2816,7.7,15.6,0.496,5.8,7.5,0.776,8.5,2,4.1,21.2,AS,dischte01
15,Chet Walker,23,PHI,SF,76,2775,6.4,14.5,0.44,4.3,6,0.711,10.2,1.6,3,17,AS,walkech01
16,Rudy LaRusso,26,LAL,PF,79,2746,4.4,10.2,0.434,3.9,5.2,0.751,10.5,2.5,3.5,12.7,,larusru01
17,Bailey Howell,27,DET,SF,77,2700,8,16.9,0.472,6.3,7.7,0.809,10.3,2.7,3.9,22.2,AS,howelba01
18,Guy Rodgers,28,SFW,PG,79,2695,4.5,12.3,0.365,2.6,3.7,0.707,4.4,7.4,3.3,11.6,AS,rodgegu01
19,Dick Barnett,27,LAL,SG,78,2620,7.4,16.4,0.452,4.8,6.2,0.773,3.4,3.3,3.2,19.7,,barnedi01
