Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
521,Marcus Landry,24,NYK,SF,17,0,108,5.3,13.7,0.39,3,8.7,0.346,2.3,5,0.467,0.5,1,1.7,0.6,1.7,4.7,6.3,0,0.3,0.7,2,4.7,14.7,,landrma01
522,Marcus Landry,24,BOS,SF,1,0,3,0,24,0,0,24,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,landrma01
523,Joey Dorsey,26,2TM,PF,15,0,106,3.1,6.8,0.45,0,0,,3.1,6.8,0.45,0.45,1.7,4.1,0.417,5.4,9.2,14.6,0.7,1,0.7,2,7.1,7.8,,dorsejo01
524,Joey Dorsey,26,HOU,PF,7,0,54,3.3,7.3,0.455,0,0,,3.3,7.3,0.455,0.455,0.7,1.3,0.5,7.3,9.3,16.7,1.3,1.3,0.7,2.7,8,7.3,,dorsejo01
525,Joey Dorsey,26,SAC,PF,8,0,52,2.8,6.2,0.444,0,0,,2.8,6.2,0.444,0.444,2.8,6.9,0.4,3.5,9,12.5,0,0.7,0.7,1.4,6.2,8.3,,dorsejo01
526,D.J. White,23,OKC,PF,12,0,102,8.8,14.5,0.61,0,0,,8.8,14.5,0.61,0.61,3.2,3.5,0.9,3.5,4.6,8.1,1.4,1.8,1.1,1.1,4.2,20.8,,whitedj01
527,Roko Ukić,25,MIL,PG,13,0,97,5.2,11.1,0.467,1.1,4.5,0.25,4.1,6.7,0.611,0.517,3.3,4.1,0.818,0,1.1,1.1,4.5,0.4,0,2.2,2.2,14.8,,ukicro01
528,Mike Harris,26,2TM,PF,13,0,96,4.1,11.3,0.367,0,0.4,0,4.1,10.9,0.379,0.367,2.6,4.1,0.636,3.7,5.3,9,1.1,1.9,0.4,3.4,5.2,10.9,,harrimi01
529,Mike Harris,26,HOU,PF,8,0,82,4.4,11.9,0.37,0,0.4,0,4.4,11.4,0.385,0.37,2.2,4,0.556,4,4.8,8.8,1.3,1.8,0.4,4,4.4,11,,harrimi01
530,Mike Harris,26,WAS,PF,5,0,14,2.6,7.7,0.333,0,0,,2.6,7.7,0.333,0.333,5.1,5.1,1,2.6,7.7,10.3,0,2.6,0,0,10.3,10.3,,harrimi01
531,Alando Tucker,25,2TM,SF,15,0,96,6.4,14.6,0.436,0.4,2.6,0.143,6,12,0.5,0.449,6,7.9,0.762,2.3,1.5,3.7,1.5,0,0,1.9,2.3,19.1,,tuckeal02
532,Alando Tucker,25,PHO,SF,11,0,71,6.6,15.2,0.433,0.5,3.5,0.143,6.1,11.7,0.522,0.45,8.1,10.6,0.762,2.5,1,3.5,1.5,0,0,2,2.5,21.8,,tuckeal02
533,Alando Tucker,25,MIN,SF,4,0,25,5.8,13,0.444,0,0,,5.8,13,0.444,0.444,0,0,,1.4,2.9,4.3,1.4,0,0,1.4,1.4,11.5,,tuckeal02
534,Primož Brezec,30,2TM,C,21,0,95,3.4,9.9,0.346,0,0,,3.4,9.9,0.346,0.346,0.4,2.3,0.167,4.5,4.9,9.5,0.4,0.4,1.1,0.8,7.2,7.2,,brezepr01
535,Primož Brezec,30,PHI,C,7,0,36,2,13,0.154,0,0,,2,13,0.154,0.154,1,2,0.5,6,6,12,0,1,1,0,9,5,,brezepr01
536,Primož Brezec,30,MIL,C,14,0,59,4.3,7.9,0.538,0,0,,4.3,7.9,0.538,0.538,0,2.4,0,3.7,4.3,7.9,0.6,0,1.2,1.2,6.1,8.5,,brezepr01
537,Renaldo Balkman,25,DEN,SF,13,1,91,2.4,7.1,0.333,0,2.8,0,2.4,4.4,0.545,0.333,0.8,2.4,0.333,1.6,7.5,9.1,2.8,3.2,0.8,2.4,6.3,5.5,,balkmre01
538,Sean Marks,34,NOH,C,14,0,75,1.9,3.8,0.5,0,0,,1.9,3.8,0.5,0.5,1,2.4,0.4,6.7,4.3,11,1,0,1.4,1,8.2,4.8,,marksse01
539,Cedric Jackson,23,3TM,PG,12,0,74,2.9,9.7,0.3,0.5,2.9,0.167,2.4,6.8,0.357,0.325,3.4,5.8,0.583,1,2.9,3.9,6.8,1.5,1,5.4,3.4,9.7,,jacksce01
540,Cedric Jackson,23,CLE,PG,5,0,10,0,7.2,0,0,3.6,0,0,3.6,0,0,3.6,14.4,0.25,0,3.6,3.6,7.2,0,0,3.6,0,3.6,,jacksce01
