Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
101,Johnny Green,34,2TM,PF,77,,1440,7.7,16.9,0.459,3.5,7.4,0.471,13.6,2,4.1,19,,greenjo01
102,Johnny Green,34,SDR,PF,42,,1073,8.1,17.6,0.458,3.4,7.1,0.472,14.2,2,3.8,19.5,,greenjo01
103,Johnny Green,34,PHI,PF,35,,367,6.8,14.7,0.46,3.8,8.1,0.47,12,2.1,5,17.4,,greenjo01
104,Jim Barnes,26,2TM,PF,79,,1425,5.6,12.6,0.443,3.4,4.8,0.696,10.5,1.4,6.6,14.5,,barneji01
105,Jim Barnes,26,LAL,PF,42,,713,5.1,11.9,0.43,3,4.4,0.67,10.7,1.4,6.8,13.2,,barneji01
106,Jim Barnes,26,CHI,PF,37,,712,6.1,13.3,0.455,3.7,5.2,0.718,10.3,1.4,6.5,15.9,,barneji01
107,Bob Warlick,26,SFW,SG,69,,1320,7,16.6,0.421,2.6,4.7,0.567,7.2,4.3,4.5,16.7,,warlibo01
108,Pat Riley,22,SDR,SG,80,,1263,7.1,18.8,0.379,3.6,5.8,0.634,5,3.9,5.8,17.9,,rileypa01
109,George Wilson,25,SEA,C,77,,1236,5.2,14.5,0.359,3.2,4.5,0.703,13.7,1.6,6.3,13.6,,wilsoge01
110,Freddie Crawford,26,2TM,SG,69,14,1182,6.8,15.4,0.442,3.4,5.5,0.62,5.9,4.3,5.2,17,,crawffr01
111,Freddie Crawford,26,NYK,SG,31,14,426,5.5,15,0.367,3.1,5,0.627,7,3.9,5.7,14.1,,crawffr01
112,Freddie Crawford,26,LAL,SG,38,,756,7.6,15.7,0.482,3.5,5.7,0.617,5.3,4.5,5,18.7,,crawffr01
113,Hank Finkel,25,SDR,C,53,,1116,7.8,15.9,0.492,4.2,6.2,0.686,12.1,2.3,5.6,19.8,,finkeha01
114,Phil Jackson,22,NYK,PF,75,5,1093,6,15,0.4,3.3,5.5,0.589,11.1,1.8,7,15.2,,jacksph01
115,Wayne Embry,30,BOS,C,78,,1088,6.4,16,0.4,3.6,6.1,0.589,10.6,1.7,5.8,16.4,,embrywa01
116,Bob Love,25,CIN,SF,72,,1068,6.5,15.3,0.424,2.6,3.8,0.684,7,1.9,4.8,15.6,,lovebo01
117,Jim Barnett,23,SDR,SG,47,,1068,6,15.4,0.393,2.8,4,0.712,5.2,4.5,3.4,14.9,,barneji02
118,Len Chappell,27,2TM,C,67,,1064,8,15.5,0.513,4.7,6.6,0.711,12.2,1.8,4,20.6,,chapple01
119,Len Chappell,27,CIN,PF,10,,65,8.3,16.6,0.5,4.4,5.5,0.8,8.3,2.8,3.3,21,,chapple01
120,Len Chappell,27,DET,C,57,,999,7.9,15.4,0.514,4.7,6.6,0.707,12.5,1.7,4.1,20.5,,chapple01
121,Em Bryant,29,NYK,PG,77,7,968,4.2,10.8,0.385,2.2,3.2,0.686,4.9,5,6.4,10.5,,bryanem01
122,Lou Hudson,23,STL,SG,46,,966,8.5,18.6,0.454,4.5,6.1,0.732,7.2,2.4,4.2,21.4,,hudsolo01
123,Ed Manning,24,BAL,PF,71,,951,4.2,9.8,0.432,2.3,3.7,0.606,14.2,1.2,5.8,10.8,,mannied01
124,Johnny Egan,29,BAL,PG,67,,930,6.3,16.1,0.393,5.5,7.1,0.776,4.3,5.2,4.9,18.1,,eganjo01
125,Walt Wesley,23,CIN,C,66,,918,7.4,15.8,0.465,3,6,0.5,11,1.3,6.6,17.7,,weslewa01
126,Bud Olsen,27,SEA,PF,73,,897,5.2,11.4,0.456,0.7,2.5,0.274,8.2,3,5.5,11.1,,olsenbu01
127,Bill Bradley,24,NYK,SF,45,11,874,5.8,14,0.416,3.1,4.3,0.731,4.7,5.6,5.7,14.8,ROY-2,bradlbi01
128,Bill Dinwiddie,24,CIN,SF,67,,871,5.8,14.8,0.394,2.6,4.2,0.608,9.8,1.3,5,14.2,,dinwibi01
129,Bob Ferry,30,BAL,C,59,,841,5.5,13.3,0.412,3.1,5,0.624,8,2.6,3.9,14.1,,ferrybo01
130,Mal Graham,22,BOS,PG,48,,786,5.4,12.5,0.43,2.6,4,0.636,4.3,2.8,5.6,13.3,,grahama01
131,Tom Thacker,28,BOS,SG,65,,782,5.2,12.5,0.419,2,3.9,0.512,7.4,3.2,7.6,12.5,,thackto01
132,Bill Melchionni,23,PHI,PG,71,,758,6.9,16,0.435,1.6,2.2,0.702,4.9,5,3.6,15.4,,melchbi01
133,Gene Tormohlen,30,STL,C,77,,714,4.9,13.2,0.374,1.7,2.8,0.589,11.4,3.4,4.7,11.5,,tormobu01
134,Stan McKenzie,23,BAL,SG,50,,653,4,10,0.401,3.2,4.9,0.659,6.7,1.3,5.4,11.2,,mckenst01
135,Joe Ellis,23,SFW,SF,51,,624,6.4,17.4,0.368,1.8,2.9,0.64,11.3,2.1,4.8,14.7,,ellisjo01
136,Jim Fox,24,2TM,C,55,,624,3.8,9.3,0.41,3.8,6.2,0.611,13.3,1.7,4.9,11.4,,foxji01
137,Jim Fox,24,CIN,C,31,,244,4.7,11.7,0.405,5.3,8.3,0.643,14,1.8,5,14.8,,foxji01
138,Jim Fox,24,DET,C,24,,380,3.2,7.8,0.415,2.8,4.9,0.577,12.8,1.6,4.8,9.3,,foxji01
139,Nick Jones,22,SDR,PG,42,,603,5.1,13.9,0.371,3.3,4.1,0.797,4,5.3,5,13.6,,jonesni01
140,George Patterson,28,DET,C,59,,559,2.8,8.6,0.331,2.1,2.4,0.842,10.2,3.3,5.5,7.7,,pattege01
141,George Lehmann,26,STL,PG,55,,497,4.3,12.5,0.343,2.5,3.1,0.814,3.2,6.7,3.9,11.1,,lehmage01
142,Larry Costello,36,PHI,PG,28,,492,4.9,10.8,0.453,4.9,5.9,0.827,3.7,5,4.5,14.7,,costela01
143,Bill Turner,23,SFW,SF,42,,482,5.1,11.7,0.433,2.7,4.5,0.6,11.6,1.2,5.5,12.8,,turnebi01
144,Plummer Lott,22,SEA,SF,44,,478,3.5,11.1,0.311,1.4,2.3,0.613,7,2.7,4.9,8.4,,lottpl01
145,Johnny Jones,24,BOS,SF,51,,475,6.5,19.2,0.34,3.2,5.2,0.618,8.6,2,4.5,16.2,,jonesjo01
146,John Wetzel,23,LAL,SF,38,,434,4.3,9.9,0.437,2.9,3.8,0.761,7,4.2,4.6,11.5,,wetzejo01
