Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Elvin Hayes,24,SDR,C,82,,3665,9,19.8,0.452,4.2,6.1,0.688,13.6,1.6,2.7,22.2,AS,hayesel01
2,Kareem Abdul-Jabbar,22,MIL,C,82,,3534,9.6,18.4,0.518,4.9,7.6,0.653,12.1,3.4,2.9,24.1,MVP-3ROY-1ASNBA2,abdulka01
3,John Havlicek,29,BOS,SG,81,,3369,7.9,16.9,0.464,5.2,6.2,0.844,6.8,5.9,2.3,20.9,MVP-10ASNBA2,havlijo01
4,Connie Hawkins,27,PHO,SF,81,,3312,7.7,15.7,0.49,6.3,8.1,0.779,9.2,4.2,3.1,21.7,MVP-5ASNBA1,hawkico01
5,Bill Bridges,30,ATL,PF,82,,3269,4.9,10.3,0.475,3.6,5,0.734,13,3.8,3.2,13.4,MVP-8AS,bridgbi01
6,Wes Unseld,23,BAL,C,82,,3234,5.9,11.3,0.518,3,4.8,0.638,15.3,3.2,2.8,14.7,MVP-8,unselwe01
7,Gail Goodrich,26,PHO,PG,81,,3234,6.3,13.9,0.454,5.4,6.7,0.808,3.8,6.7,2.8,18.1,,goodrga01
8,Clem Haskins,26,CHI,SG,82,,3214,7.5,16.6,0.45,3.7,4.7,0.783,4.2,7,2.7,18.7,,haskicl01
9,Billy Cunningham,26,PHI,SF,81,,3194,9,19.3,0.469,5.7,7.9,0.729,12.4,4,3.7,23.8,MVP-5ASNBA1,cunnibi01
10,Bob Love,27,CHI,PF,82,,3123,7.4,15.8,0.466,5.1,6.1,0.842,8.2,1.7,3,19.9,MVP-16,lovebo01
11,Jerry West,31,LAL,PG,74,,3106,9.6,19.4,0.497,7.5,9.1,0.824,3.9,6.4,1.9,26.8,MVP-2ASNBA1,westje01
12,Lou Hudson,25,ATL,SF,80,,3091,9.7,18.2,0.531,4.3,5.2,0.824,4.3,3.2,2.6,23.7,MVP-7ASNBA2,hudsolo01
13,Willis Reed,27,NYK,C,81,81,3089,8.2,16.1,0.507,4.1,5.4,0.756,13.1,1.9,3.3,20.5,MVP-1ASNBA1,reedwi01
14,Earl Monroe,25,BAL,PG,82,,3051,8.2,18.4,0.446,6.3,7.6,0.83,3,4.7,3,22.7,MVP-16,monroea01
15,Walt Frazier,24,NYK,PG,77,77,3040,7.1,13.7,0.518,4.8,6.5,0.748,5.5,7.4,2.4,19.1,MVP-4ASNBA1,fraziwa01
16,Hal Greer,33,PHI,SG,80,,3024,8.4,18.5,0.455,4.2,5.1,0.815,4.5,4.8,3.6,21,AS,greerha01
17,Jon McGlocklin,26,MIL,SG,82,,2966,7.8,14.6,0.53,2.1,2.4,0.854,3.1,3.7,2,17.6,,mcglojo01
18,Dick Van Arsdale,26,PHO,SG,77,,2966,7.2,14.2,0.508,5.6,7,0.798,3.2,4.1,3.4,19.9,AS,vanardi01
19,Bob Rule,25,SEA,C,80,,2959,9.6,20.7,0.463,4.7,6.6,0.714,10,1.8,3.4,23.9,AS,rulebo01
20,Jack Marin,25,BAL,SF,82,,2947,8.1,16.7,0.489,3.5,4.1,0.844,6.6,2.7,3,19.8,,marinja01
21,Gus Johnson,31,BAL,PF,78,,2919,7.1,15.8,0.451,2.4,3.4,0.724,13.4,3.3,3.3,16.7,ASNBA2,johnsgu01
22,Norm Van Lier,22,CIN,PG,81,,2895,3.8,9.3,0.403,2.1,2.8,0.741,5.1,6.2,4.1,9.6,,vanlino01
23,Jimmy Walker,25,DET,SG,81,,2869,8.4,17.5,0.478,4.5,5.5,0.807,3,3.1,2.5,21.2,AS,walkeji01
24,Oscar Robertson,31,CIN,PG,69,,2865,8.1,15.9,0.511,5.7,7,0.809,5.3,7,2.2,22,MVP-16ASNBA2,roberos01
25,Jeff Mullins,27,SFW,SG,74,,2861,8.3,17.9,0.46,4,4.8,0.847,4.8,4.5,3,20.5,AS,mullije01
26,Joe Caldwell,28,ATL,SG,82,,2857,8.5,16.7,0.507,4.8,6.9,0.688,5.1,3.6,3.2,21.8,MVP-12AS,caldwjo01
27,Paul Silas,26,PHO,PF,78,,2836,4.7,10.2,0.464,3.2,5.2,0.607,11.6,2.7,3.4,12.6,,silaspa01
28,Lenny Wilkens,32,SEA,PG,75,,2802,5.8,13.7,0.42,5.6,7.1,0.788,4.9,8.8,2.7,17.1,AS,wilkele01
29,Dick Barnett,33,NYK,SG,82,82,2772,6.4,13.5,0.475,3,4.2,0.714,2.9,3.9,2.9,15.8,,barnedi01
30,Archie Clark,28,PHI,PG,76,,2772,7.7,15.6,0.496,4,5.1,0.785,3.9,4.9,2.6,19.5,,clarkar01
31,Flynn Robinson,28,MIL,PG,81,,2762,8.6,18.1,0.477,5.7,6.4,0.898,3.4,5.9,3.3,23,AS,robinfl01
