Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Joe Johnson,22,PHO,SG,82,77,3331,6,14,0.43,0.9,2.9,0.305,5.1,11,0.463,0.462,1.9,2.5,0.75,0.9,3.3,4.2,3.9,1,0.3,2.2,1.9,14.8,,johnsjo02
2,Peja Stojaković,26,SAC,SF,81,81,3264,7.3,15.3,0.48,2.6,6.1,0.433,4.7,9.2,0.511,0.566,4.3,4.7,0.927,1,4.6,5.6,1.9,1.2,0.2,1.7,1.8,21.7,MVP-4ASNBA2,stojape01
3,Stephon Marbury,26,2TM,PG,81,81,3254,6.6,15.3,0.431,1,3,0.318,5.7,12.3,0.46,0.463,3.9,4.8,0.817,0.6,2.3,2.9,8,1.4,0.1,2.8,1.9,18.1,,marbust01
4,Stephon Marbury,26,PHO,PG,34,34,1415,6.7,15.4,0.432,0.9,3,0.314,5.7,12.4,0.461,0.463,3.7,4.7,0.795,0.5,2.5,3,7.1,1.6,0.1,2.5,1.9,18,,marbust01
5,Stephon Marbury,26,NYK,PG,47,47,1839,6.6,15.3,0.431,1,3.1,0.321,5.6,12.2,0.458,0.463,4.1,4.9,0.833,0.8,2.1,2.9,8.6,1.3,0.1,3,1.9,18.2,,marbust01
6,Kevin Garnett,27,MIN,PF,82,82,3231,9,17.9,0.499,0.1,0.5,0.256,8.8,17.5,0.506,0.502,4.1,5.2,0.791,2.7,10,12.7,4.6,1.3,2,2.4,2.3,22.1,MVP-1DPOY-6ASNBA1,garneke01
7,Cuttino Mobley,28,HOU,SG,80,80,3229,5.1,12.1,0.426,1.8,4.7,0.39,3.3,7.4,0.448,0.501,2,2.4,0.811,0.4,3.6,4,2.9,1.2,0.4,2,2,14,,moblecu01
8,Shawn Marion,25,PHO,SF,79,79,3217,6.6,15,0.44,1,3,0.34,5.6,12,0.465,0.474,2.6,3,0.851,2.4,5.9,8.2,2.4,1.9,1.2,1.7,2.3,16.8,,mariosh01
9,Steve Francis,26,HOU,PG,79,79,3194,5.1,12.6,0.403,0.8,2.8,0.292,4.2,9.8,0.435,0.436,3.8,4.9,0.775,1.3,3.6,4.9,5.6,1.6,0.4,3.3,2.9,14.8,AS,francst01
10,Richard Jefferson,23,NJN,SF,82,82,3133,6.4,12.8,0.498,0.6,1.5,0.364,5.8,11.3,0.516,0.519,4.1,5.4,0.763,1.3,4.1,5.3,3.6,1.1,0.3,2.3,2.6,17.4,,jefferi01
11,LeBron James,19,CLE,SG,79,79,3122,7.2,17.2,0.417,0.7,2.5,0.29,6.4,14.7,0.438,0.438,4,5.3,0.754,1.1,3.8,5,5.4,1.5,0.7,3.1,1.7,19.1,MVP-9ROY-1,jamesle01
12,Jim Jackson,33,HOU,SF,80,80,3119,4.4,10.4,0.424,1.9,4.7,0.4,2.5,5.7,0.444,0.514,1.2,1.5,0.843,0.6,5,5.6,2.6,1,0.3,2,2.6,11.9,,jacksji01
13,Damon Stoudamire,30,POR,PG,82,82,3118,4.7,11.8,0.401,1.8,4.9,0.365,2.9,6.8,0.426,0.477,1.5,1.7,0.876,0.6,3,3.6,5.8,1.1,0.1,2.1,2,12.7,,stoudda01
14,Latrell Sprewell,33,MIN,SF,82,82,3100,6,14.7,0.409,1.1,3.5,0.331,4.9,11.2,0.433,0.448,2.8,3.4,0.814,0.7,2.9,3.6,3.3,1,0.2,1.8,1.2,16,,sprewla01
15,Paul Pierce,26,BOS,SG,80,80,3099,7,17.4,0.402,1.3,4.5,0.299,5.7,12.9,0.438,0.441,6,7.3,0.819,0.8,5.3,6.1,4.8,1.5,0.6,3.5,2.7,21.3,AS,piercpa01
16,Zach Randolph,22,POR,PF,81,80,3067,7.8,16.1,0.485,0,0.1,0.2,7.8,16,0.486,0.485,3.5,4.6,0.761,2.8,7.1,10,1.9,0.8,0.5,2.9,2.7,19.1,MIP-1,randoza01
17,Ben Wallace,29,DET,C,81,81,3050,3.7,8.8,0.421,0,0.1,0.125,3.7,8.7,0.424,0.422,1.7,3.4,0.49,3.8,8,11.9,1.6,1.7,2.9,1.5,1.9,9.1,MVP-7DPOY-2ASNBA2,wallabe01
