Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
1,Kareem Abdul-Jabbar,28,LAL,C,82,82,3379,9.7,18.4,0.529,4.8,6.8,0.703,2.9,11.8,14.7,4.4,1.3,3.6,3.1,24.2,MVP-1ASNBA1,abdulka01
2,Bob McAdoo,24,BUF,C,78,,3328,10.1,20.7,0.487,6,7.9,0.762,2.6,7.8,10.4,3.4,1,1.7,3.2,26.3,MVP-2AS,mcadobo01
3,Jo Jo White,29,BOS,PG,82,82,3257,7.4,16.5,0.449,2.3,2.8,0.838,0.7,2.8,3.5,4.9,1.2,0.2,2,17.2,MVP-20AS,whitejo01
4,Tiny Archibald,27,KCK,PG,78,,3184,8.1,17.9,0.453,5.7,7.1,0.802,0.8,1.7,2.4,7,1.4,0.2,1.9,21.9,MVP-9ASNBA1,architi01
5,Randy Smith,27,BUF,SG,82,82,3167,8,16.2,0.494,4.4,5.3,0.817,1.2,3.6,4.7,5.5,1.7,0,3.1,20.3,MVP-24ASNBA2,smithra01
6,Rick Barry,31,GSW,SF,81,,3122,8.2,18.7,0.435,3.3,3.6,0.923,0.9,4.9,5.7,5.7,2.3,0.3,2.5,19.6,MVP-4ASNBA1,barryri01
7,Dave Cowens,27,BOS,C,78,,3101,7.1,15.1,0.468,3,3.9,0.756,3.9,10.6,14.5,3.8,1.1,0.8,3.6,17.2,MVP-3ASNBA2,cowenda01
8,Sam Lacey,27,KCK,C,81,,3083,4.8,11.9,0.401,2.5,3.3,0.759,2.5,9.4,12,4.4,1.5,1.6,3.3,12.1,,laceysa01
9,Mike Newlin,27,HOU,SG,82,82,3065,6.7,13.2,0.507,4.5,5.2,0.865,0.8,3.1,3.9,5.4,1.2,0.1,3.1,17.9,,newlimi01
10,Sidney Wicks,26,POR,PF,79,,3044,6.9,14.2,0.483,4.1,6.1,0.674,2.9,5.5,8.4,2.9,0.9,0.6,3,17.8,,wickssi01
11,Steve Mix,28,PHI,SF,81,63,3039,5,10,0.499,3.4,4.2,0.818,2.5,5.3,7.8,2.6,1.9,0.3,3.4,13.4,MVP-20,mixst01
12,Norm Van Lier,28,CHI,PG,76,72,3026,4.3,11.7,0.366,2.8,3.8,0.737,1.6,3.2,4.9,5.9,1.8,0.3,3.5,11.4,MVP-24AS,vanlino01
13,Curtis Rowe,26,DET,PF,80,,2998,6.2,13.2,0.468,3,4.1,0.737,2.8,5.6,8.4,2.2,0.6,0.5,2.5,15.4,AS,rowecu01
14,Calvin Murphy,27,HOU,PG,82,82,2995,8.1,16.5,0.493,4.5,4.9,0.907,0.6,1.9,2.5,7.2,1.8,0.1,3.5,20.7,,murphca01
15,Doug Collins,24,PHI,SG,77,77,2995,7.4,14.4,0.513,4.5,5.3,0.836,1.5,2.2,3.7,2.3,1.3,0.3,3,19.2,MVP-20AS,collido01
16,Fred Carter,30,PHI,PG,82,81,2992,8,19.2,0.417,2.6,3.8,0.702,1.4,2.2,3.6,4.5,1.6,0.2,3.4,18.6,,cartefr01
17,Elvin Hayes,30,WSB,PF,80,,2975,7.9,16.7,0.47,3.5,5.5,0.628,2.5,8.1,10.6,1.5,1.3,2.4,3.5,19.2,MVP-8ASNBA2,hayesel01
18,Scott Wedman,23,KCK,SF,82,82,2968,6.5,14.3,0.456,2.3,3,0.78,2.4,4.9,7.4,2.4,1.2,0.4,3.4,15.4,AS,wedmasc01
19,Paul Westphal,25,PHO,PG,82,,2960,8,16.2,0.494,4.4,5.4,0.83,0.9,2.3,3.2,5.4,2.6,0.5,2.7,20.4,MVP-24,westppa01
20,Phil Chenier,25,WSB,SG,80,,2952,8,16.5,0.483,3.4,4.2,0.827,1,2.9,3.9,3.1,1.9,0.5,2.3,19.4,MVP-17,cheniph01
21,George McGinnis,25,PHI,PF,77,77,2946,7.9,19,0.417,5.8,7.8,0.74,3.2,8.6,11.8,4.4,2.4,0.5,4.1,21.6,MVP-5ASNBA1,mcginge01
22,Dave Bing,32,WSB,PG,82,,2945,6.1,13.6,0.447,4.1,5.2,0.787,1.1,1.7,2.9,6,1.4,0.3,3.2,16.2,MVP-6AS,bingda01
23,Wes Unseld,29,WSB,C,78,,2922,3.9,7,0.561,1.4,2.4,0.585,3.3,9.4,12.8,5,1,0.7,2.5,9.2,MVP-11,unselwe01
24,Jim Brewer,24,CLE,PF,82,82,2913,4.9,10.8,0.458,1.7,2.6,0.654,3.7,7.3,11,2.6,1.2,1.1,2.6,11.6,,breweji01
25,Charlie Scott,27,BOS,SG,82,82,2913,7.3,16.2,0.449,3.3,4.1,0.797,1.3,3.1,4.4,4.2,1.3,0.3,4.4,17.8,,scottch01
26,Rudy Tomjanovich,27,HOU,PF,79,,2912,7.7,14.9,0.517,2.7,3.6,0.767,2.1,6.2,8.2,2.3,0.5,0.2,2.5,18.1,AS,tomjaru01
27,Tom Henderson,24,ATL,PG,81,,2900,5.8,14.1,0.413,2.7,3.8,0.708,0.7,2.6,3.3,4.6,1.7,0.1,2.4,14.3,,hendeto01
28,Spencer Haywood,26,NYK,PF,78,78,2892,7.5,16.9,0.445,4.2,5.6,0.757,2.9,8,10.9,1.1,0.7,1,3.2,19.3,,haywosp01
29,Earl Monroe,31,NYK,SG,76,76,2889,8.1,16.9,0.478,3.5,4.4,0.787,0.6,2.8,3.4,3.8,1.4,0.3,2.6,19.6,MVP-12,monroea01
30,Jim Cleamons,26,CLE,PG,82,82,2835,5.2,11.3,0.466,2.2,2.8,0.798,1.6,2.9,4.5,5.4,1.6,0.3,2.7,12.7,,cleamji01
