Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,30,PHI,C,81,,3682,7.7,11.2,0.683,3.8,8.6,0.441,19.1,6.2,1.4,19.1,MVP-1ASNBA1,chambwi01
2,Jerry Lucas,26,CIN,PF,81,,3558,5.8,12.7,0.459,2.9,3.6,0.791,15.7,2.7,2.8,14.5,ASNBA2,lucasje01
3,Oscar Robertson,28,CIN,PG,79,,3468,8.7,17.6,0.493,7.6,8.8,0.873,5,8.8,2.3,25,MVP-4ASNBA1,roberos01
4,Bill Russell,32,BOS,C,81,,3297,4.3,9.5,0.454,3.1,5.1,0.61,18.6,5.2,2.8,11.7,MVP-3ASNBA2,russebi01
5,Rick Barry,22,SFW,SF,78,,3175,11.5,25.4,0.451,8.5,9.7,0.884,8.1,3.2,2.9,31.5,MVP-5ASNBA1,barryri01
6,Bill Bridges,27,STL,PF,79,,3130,5.8,12.7,0.455,4.2,6,0.702,13.7,2.6,3.7,15.8,AS,bridgbi01
7,Hal Greer,30,PHI,SG,80,,3086,8.2,17.8,0.459,4.3,5.4,0.788,4.9,3.5,3.5,20.6,ASNBA2,greerha01
8,Guy Rodgers,31,CHI,PG,81,,3063,6.3,16.2,0.391,4.5,5.6,0.806,4.1,10.7,2.9,17.1,AS,rodgegu01
9,Walt Bellamy,27,NYK,C,79,78,3010,6.8,13,0.521,4.4,6.9,0.636,12.7,2.5,3.3,17.9,,bellawa01
10,Lenny Wilkens,29,STL,PG,78,,2974,5.4,12.5,0.432,5.6,7.1,0.787,5,5.4,3.4,16.4,AS,wilkele01
11,Jerry Sloan,24,CHI,SG,80,,2942,6.4,14.9,0.432,4.2,5.2,0.796,8.9,2.1,3.6,17,AS,sloanje01
12,Leroy Ellis,26,BAL,C,81,,2938,6.1,14.3,0.425,2.6,3.5,0.738,11.9,2.1,3.2,14.7,,ellisle01
13,Dave DeBusschere,26,DET,SF,78,,2897,6.6,15.9,0.415,4.5,6.4,0.705,11.5,2.7,3.7,17.7,AS,debusda01
14,Dick Van Arsdale,23,NYK,SG,79,79,2892,5.1,11.4,0.449,4.6,6.3,0.729,6.9,3.1,3.3,14.8,,vanardi01
15,Willis Reed,24,NYK,PF,78,76,2824,8.1,16.5,0.489,4.6,6.2,0.735,14.5,1.6,3.7,20.8,ASNBA2,reedwi01
16,Dave Bing,23,DET,PG,80,,2762,8.7,19.8,0.436,3.6,4.8,0.738,4.7,4.3,2.8,20.9,ROY-1,bingda01
17,Nate Thurmond,25,SFW,C,65,,2761,6.1,13.9,0.437,3.7,5.8,0.629,18,2.2,2.4,15.8,MVP-2AS,thurmna01
18,Darrall Imhoff,28,LAL,C,81,,2725,4.9,10.3,0.474,1.7,2.7,0.614,14.3,2.9,3.7,11.5,AS,imhofda01
19,Elgin Baylor,32,LAL,SF,70,,2706,9.5,22.1,0.429,5.9,7.2,0.813,11.9,2.9,2.8,24.8,ASNBA1,bayloel01
20,Chet Walker,26,PHI,SF,81,,2691,7.5,15.4,0.488,6,7.8,0.766,8.8,2.5,3.1,21,AS,walkech01
21,Jerry West,28,LAL,PG,66,,2670,8.7,18.7,0.464,8.1,9.2,0.878,5.3,6,2.2,25.5,ASNBA1,westje01
22,Adrian Smith,30,CIN,SG,81,,2636,6.9,15.7,0.438,4.7,5.2,0.903,2.8,2.6,3.7,18.4,,smithad01
23,Gus Johnson,28,BAL,SF,73,,2626,8.5,18.9,0.45,3.7,5.3,0.708,11.7,2.7,3.9,20.7,,johnsgu01
24,John Havlicek,26,BOS,SF,81,,2602,9.5,21.3,0.444,5,6.1,0.828,7.4,3.8,2.9,24,AS,havlijo01
25,Kevin Loughery,26,BAL,SG,76,,2577,7.3,18.2,0.398,4.7,5.8,0.825,4.9,4,4.1,19.3,,loughke01
26,Bailey Howell,30,BOS,PF,81,,2503,9.1,17.9,0.512,5,6.8,0.741,9.7,1.5,4.3,23.3,AS,howelba01
27,Bob Boozer,29,CHI,PF,80,,2451,7.9,16.2,0.487,5.3,6.8,0.781,10,1.3,3.1,21.1,,boozebo01
28,Lou Hudson,22,STL,SF,80,,2446,9.1,19.5,0.467,3.4,4.8,0.706,6.4,1.4,4.1,21.7,ROY-2,hudsolo01
29,K.C. Jones,34,BOS,PG,78,,2446,2.7,6.8,0.397,1.8,2.8,0.63,3.5,5.7,4,7.1,,joneskc01
30,Ray Scott,28,2TM,C,72,,2446,6.7,16.8,0.4,3.8,5.4,0.699,11.2,2.4,3.2,17.2,,scottra01
31,Ray Scott,28,DET,C,45,,1477,6.1,16.6,0.37,3.8,5,0.757,9.8,2,3.2,16.1,,scottra01
32,Ray Scott,28,BAL,PF,27,,969,7.7,17.2,0.445,3.7,5.9,0.625,13.2,2.8,3.1,19,,scottra01
33,Happy Hairston,24,CIN,SF,79,,2442,6.8,14.2,0.479,3.7,5.6,0.66,9.3,0.9,4,17.3,,hairsha01
34,Paul Neumann,29,SFW,PG,78,,2421,5.7,13.5,0.424,4.6,5.8,0.8,4,5.1,4,16.1,,neumapa01
35,Eddie Miles,26,DET,SG,81,,2419,8.7,20.3,0.427,3.9,5,0.772,4.4,2.7,3.2,21.2,,milesed01
36,Luke Jackson,25,PHI,PF,81,,2377,5.8,13.4,0.438,3,4,0.759,11,1.7,4.2,14.7,,jackslu01
37,Sam Jones,33,BOS,SG,72,,2325,9.9,21.8,0.454,4.9,5.7,0.857,5.2,3.4,3,24.7,NBA2,jonessa01
38,Howard Komives,25,NYK,PG,65,63,2282,6.3,15.7,0.404,3.4,4,0.858,2.9,6.3,3.4,16.1,,komivho01
39,Richie Guerin,34,STL,SG,80,,2275,6.2,14.3,0.436,4.8,6.6,0.731,3,5.5,3.9,17.3,,gueriri01
40,Joe Caldwell,25,STL,SF,81,,2256,7.3,17.2,0.426,3.2,4.9,0.649,7.1,2.6,3.7,17.8,,caldwjo01
41,Wali Jones,24,PHI,PG,81,,2249,6.8,15.7,0.431,3.6,4.3,0.838,4.2,4.9,3.9,17.1,,joneswa02
42,Billy Cunningham,23,PHI,SF,81,,2168,9.2,20.1,0.459,6.4,9.3,0.686,9.8,3.4,4.3,24.8,,cunnibi01
43,Joe Strawder,26,DET,C,79,,2156,4.7,11,0.426,3.1,4.4,0.718,13.2,1.4,5.7,12.5,,strawjo01
44,Erwin Mueller,22,CHI,C,80,,2136,7.1,16.1,0.441,2.9,4.4,0.658,8.4,2.2,3.8,17.1,,mueller01
45,Tom Van Arsdale,23,DET,SG,79,,2134,5.9,15,0.391,4.6,5.9,0.784,5.8,3.3,4.1,16.3,,vanarto01
