Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Jack George,27,PHW,PG,72,2840,4.5,11.9,0.374,3.8,5,0.757,4,5.8,2.6,12.7,ASNBA2,georgja01
2,Slater Martin,30,MNL,PG,72,2838,3.9,10.9,0.358,4.2,5,0.833,3.3,5.6,2.6,12,ASNBA2,martisl01
3,Bob Pettit,23,STL,C,72,2794,8.3,19.4,0.429,7.2,9.8,0.736,15,2.4,2.6,23.8,MVP-1ASNBA1,pettibo01
4,Bob Cousy,27,BOS,PG,72,2767,5.7,15.9,0.36,6.2,7.3,0.844,6.4,8.4,2.7,17.6,MVP-3ASNBA1,cousybo01
5,Jack Coleman,31,2TM,PF,75,2738,5.1,12.4,0.412,2.3,3.3,0.711,9,3.9,3.2,12.6,,colemja01
6,Jack Coleman,31,ROC,PF,34,1369,5.1,12.4,0.412,2.3,3.3,0.712,9,3.9,3.2,12.6,,colemja01
7,Jack Coleman,31,STL,PF,41,1369,5.1,12.4,0.412,2.3,3.3,0.71,9,3.9,3.2,12.6,,colemja01
8,Paul Arizin,27,PHW,SF,72,2724,8.2,18.2,0.448,6.7,8.3,0.81,7.1,2.5,3.7,23,MVP-2ASNBA1,arizipa01
9,Bill Sharman,29,BOS,SG,72,2698,7.2,16.4,0.438,4.8,5.5,0.867,3.5,4.5,2.6,19.1,MVP-5ASNBA1,sharmbi01
10,Neil Johnston,26,PHW,C,70,2594,6.9,15.2,0.457,7.6,9.5,0.801,12.1,3.1,3.5,21.5,ASNBA1,johnsne01
11,Clyde Lovellette,26,MNL,C,71,2518,8.5,19.6,0.434,4.8,6.7,0.721,14.2,2.3,3.5,21.8,ASNBA2,lovelcl01
12,Dolph Schayes,27,SYR,PF,72,2517,6.7,17.2,0.387,7.8,9,0.858,12.7,2.9,3.6,21.1,MVP-5ASNBA2,schaydo01
13,Harry Gallatin,28,NYK,SF,72,2378,4.9,12.6,0.386,5.4,6.9,0.787,11.2,2.5,3.3,15.2,AS,gallaha01
14,Joe Graboski,26,PHW,PF,72,2375,6,16.3,0.369,3.6,5.2,0.706,9.7,2.9,4.1,15.7,,grabojo01
15,Ed Macauley,27,BOS,C,71,2354,6.4,15.2,0.422,6.1,7.7,0.794,6.5,3.2,2.4,19,AS,macaued01
16,George Yardley,27,FTW,SF,71,2353,6.6,16.3,0.407,5.6,7.5,0.742,10.5,2.4,3.2,18.9,AS,yardlge01
17,Tom Gola,23,PHW,SG,68,2346,3.7,9.1,0.412,3.7,5.1,0.733,9.5,6.2,4.2,11.2,MVP-7,golato01
18,George King,27,SYR,PG,72,2343,4.4,11.7,0.372,2.7,4.2,0.64,3.8,6.3,2.3,11.4,,kingge01
19,Maurice Stokes,22,ROC,C,67,2323,6.2,17.6,0.354,4.9,6.9,0.714,17,5.1,4.3,17.4,MVP-7ROY-1ASNBA2,stokema01
20,Carl Braun,28,NYK,SG,72,2316,6.2,16.5,0.372,5,5.9,0.838,4,4.6,3.3,17.3,AS,braunca01
21,Whitey Skoog,29,MNL,SG,72,2311,5.3,13.3,0.398,2.4,3,0.803,4.5,4,3.6,13,,skoogwh01
22,Mel Hutchins,27,FTW,PF,66,2240,5.2,12.3,0.425,2.3,3.6,0.643,8,2.9,2.7,12.7,MVP-4AS,hutchme01
23,Bob Harrison,28,STL,PG,72,2219,4.2,11.8,0.359,1.6,2.4,0.664,3.2,4.5,4,10,AS,harribo02
24,Jack Stephens,22,STL,SG,72,2219,4,10.4,0.386,4,5.8,0.692,6.1,3.4,2.3,12.1,,stephja01
25,Jack Twyman,21,ROC,SF,72,2186,6.9,16.3,0.422,3.4,4.9,0.685,7.7,2.8,3.9,17.1,,twymaja01
