Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Gene Shue,28,DET,PG,75,3338,6.7,16.2,0.413,5.1,5.8,0.872,4.4,3.2,1.6,18.5,MVP-7ASNBA1,shuege01
2,Wilt Chamberlain,23,PHW,C,72,3338,11.5,24.9,0.461,6.2,10.7,0.582,20.9,1.8,1.6,29.2,MVP-1ROY-1ASNBA1,chambwi01
3,Bill Russell,25,BOS,C,74,3146,6.4,13.6,0.467,2.7,4.5,0.612,20.3,3.2,2.4,15.4,MVP-2ASNBA2,russebi01
4,Jack Twyman,25,CIN,SF,75,3023,10.4,24.6,0.422,7.1,9.1,0.785,7.9,3.1,3.3,27.8,MVP-6ASNBA2,twymaja01
5,Bob Pettit,27,STL,PF,72,2896,8.3,19,0.438,6.8,9,0.753,15.2,3.2,2.5,23.4,MVP-3ASNBA1,pettibo01
6,Elgin Baylor,25,MNL,SF,70,2873,9.5,22.3,0.424,7.1,9.6,0.732,14.4,3,2.9,26,MVP-5ASNBA1,bayloel01
7,Tom Gola,27,PHW,SG,75,2870,5.3,12.3,0.433,3.4,4.3,0.794,9.8,5.1,3.9,14.1,MVP-8AS,golato01
8,Cliff Hagan,28,STL,SF,75,2798,9.3,19.9,0.464,5.4,6.7,0.803,10.3,3.8,3.5,23.9,MVP-14AS,hagancl01
9,Dolph Schayes,31,SYR,PF,75,2741,7.6,18.9,0.401,7,7.8,0.893,12.6,3.4,3.5,22.2,MVP-8ASNBA2,schaydo01
10,Paul Arizin,31,PHW,SF,72,2618,8.2,19.3,0.424,5.8,7.2,0.798,8.5,2.3,3.6,22.1,AS,arizipa01
11,Bob Cousy,31,BOS,PG,75,2588,7.9,20.6,0.384,4.4,5.6,0.792,4.9,9.9,2,20.2,MVP-4ASNBA1,cousybo01
12,Guy Rodgers,24,PHW,PG,68,2483,4.9,12.6,0.389,1.6,2.6,0.613,5.7,7,2.8,11.4,,rodgegu01
13,Larry Costello,28,SYR,PG,71,2469,5.4,12,0.453,3.6,4.2,0.862,5.7,6.5,3.4,14.5,AS,costela01
14,Richie Guerin,27,NYK,SG,74,2429,8.6,20.4,0.42,6.8,8.8,0.773,7.5,6.9,3.6,23.9,MVP-12ASNBA2,gueriri01
