Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,25,PHW,C,80,3882,14.8,29.3,0.506,7.7,12.6,0.613,19,1.8,1.1,37.4,MVP-2ASNBA1,chambwi01
2,Oscar Robertson,23,CIN,PG,79,3503,8.9,18.6,0.478,7.2,9,0.803,10.1,9.2,2.7,25,MVP-3ASNBA1,roberos01
3,Bill Russell,27,BOS,C,76,3433,6,13.2,0.457,3,5,0.595,18.8,3.6,2.2,15.1,MVP-1ASNBA2,russebi01
4,Richie Guerin,29,NYK,SG,78,3348,9,20.4,0.442,6.7,8.2,0.82,5.4,5.8,3.2,24.8,MVP-7ASNBA2,gueriri01
5,Walt Bellamy,22,CHP,C,79,3344,10.5,20.2,0.519,5.9,9.2,0.644,16.1,2.3,3,26.9,ROY-1AS,bellawa01
6,Bob Pettit,29,STL,PF,78,3282,9.5,21.1,0.45,7.6,9.9,0.771,16,3.2,3.2,26.6,MVP-6ASNBA1,pettibo01
7,Gene Shue,30,DET,PG,80,3143,6.6,16.3,0.408,4.1,5.1,0.81,4.3,5.3,2.2,17.4,AS,shuege01
8,Jerry West,23,LAL,PG,75,3087,9.3,20.9,0.445,8.3,10.8,0.769,6.9,4.7,2,26.9,MVP-5ASNBA1,westje01
9,Bucky Bockhorn,28,CIN,SG,80,3062,6.2,14.5,0.43,2.3,3,0.789,4.4,4.3,3.3,14.8,,bockhbu01
10,Jack Twyman,27,CIN,SF,80,2991,8.9,18.6,0.479,4.2,5.2,0.811,7.7,2.6,3.9,22,ASNBA2,twymaja01
11,Willie Naulls,27,NYK,SF,75,2978,9,21.7,0.415,4.6,5.5,0.842,10.5,2.3,3.1,22.7,AS,naullwi01
12,Bailey Howell,25,DET,SF,79,2857,7,15,0.464,5.9,7.7,0.768,12.6,2.3,4,19.9,AS,howelba01
13,Frank Selvy,29,LAL,SG,79,2806,5.6,13.2,0.42,3.8,5.2,0.738,5.3,4.9,3,14.9,AS,selvyfr01
14,Johnny Green,28,NYK,PF,80,2789,6.5,15,0.436,3.4,5.6,0.601,13.8,2.5,3.4,16.5,AS,greenjo01
15,Paul Arizin,33,PHW,SF,78,2785,7.9,19.3,0.41,6.3,7.8,0.805,6.8,2.6,4,22.1,AS,arizipa01
16,Cliff Hagan,30,STL,SF,77,2784,9.1,19.3,0.47,4.7,5.7,0.825,8.2,4.8,3.6,22.8,AS,hagancl01
