Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,29,PHI,C,79,,3737,10.3,19.2,0.54,4.8,9.4,0.513,18.7,4,1.6,25.5,MVP-1ASNBA1,chambwi01
2,Jerry Lucas,25,CIN,PF,79,,3517,7.1,15.6,0.453,3.2,4.1,0.787,17.1,2.2,2.8,17.4,MVP-5ASNBA1,lucasje01
3,Oscar Robertson,27,CIN,PG,76,,3493,8.4,17.8,0.475,7.6,9.1,0.842,6,8.7,2.3,24.5,MVP-3ASNBA1,roberos01
4,Bill Russell,31,BOS,C,78,,3386,4.2,10,0.415,2.4,4.3,0.551,18.9,3.9,2.3,10.7,MVP-4ASNBA2,russebi01
5,Walt Bellamy,26,2TM,C,80,72,3352,7.5,14.7,0.506,4.6,7.4,0.624,13.5,2.5,3.2,19.5,,bellawa01
6,Walt Bellamy,26,BAL,C,8,,268,7.5,16.7,0.452,5.4,9,0.597,13.7,2.4,4.3,20.4,,bellawa01
7,Walt Bellamy,26,NYK,C,72,72,3084,7.5,14.6,0.512,4.6,7.3,0.627,13.4,2.5,3.1,19.5,,bellawa01
8,Hal Greer,29,PHI,SG,80,,3326,7.6,17.1,0.445,4.5,5.6,0.804,5.1,4.2,3.4,19.7,ASNBA2,greerha01
9,Jerry West,27,LAL,SG,79,,3218,9.2,19.4,0.473,9.4,10.9,0.86,6.3,5.4,2.7,27.7,MVP-2ASNBA1,westje01
10,Zelmo Beaty,26,STL,C,80,,3072,7.2,15.2,0.473,5,6.6,0.758,12.7,1.5,4,19.4,AS,beatyze01
11,Rick Barry,21,SFW,SF,80,,2990,9,20.4,0.439,6.9,7.9,0.862,10.2,2.1,3.6,24.8,ROY-1ASNBA1,barryri01
12,Adrian Smith,29,CIN,SG,80,,2982,6.4,15.8,0.405,4.9,5.8,0.85,3.5,3.1,3.3,17.7,AS,smithad01
13,Guy Rodgers,30,SFW,SG,79,,2902,7.3,19.5,0.373,3.7,5,0.727,5.2,10.5,3,18.2,AS,rodgegu01
14,Nate Thurmond,24,SFW,C,73,,2891,5.7,13.9,0.406,3.5,5.3,0.654,16.3,1.4,2.8,14.8,AS,thurmna01
15,Eddie Miles,25,DET,PG,80,,2788,8.2,18.3,0.447,3.8,5.2,0.741,3.9,2.9,2.6,20.2,AS,milesed01
16,K.C. Jones,33,BOS,PG,80,,2710,3.2,8.2,0.388,2.8,4,0.69,4,6.7,3.2,9.2,,joneskc01
17,Dave DeBusschere,25,DET,SF,79,,2696,7,17.1,0.408,3.3,5,0.659,12.2,2.8,3.4,17.3,AS,debusda01
18,Lenny Wilkens,28,STL,PG,69,,2692,5.5,12.8,0.431,5.6,7.1,0.793,4.3,5.7,3.3,16.6,,wilkele01
