Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Paul Arizin,26,PHW,SF,72,,2953,6.4,16.2,0.399,5.5,7.1,0.776,8.2,2.6,3.3,18.4,AS,arizipa01
2,Paul Seymour,27,SYR,SG,72,,2950,4.6,12.6,0.362,3.7,4.5,0.811,3.8,5.9,1.7,12.8,ASNBA2,seymopa01
3,Neil Johnston,25,PHW,C,72,,2917,6.4,14.6,0.44,7.3,9.5,0.766,13.4,2.7,3.1,20.1,ASNBA1,johnsne01
4,Mel Hutchins,26,FTW,PF,72,,2860,4.3,11.4,0.378,2.3,3.2,0.708,8.4,3.1,2.9,10.9,,hutchme01
5,Slater Martin,29,MNL,PG,72,,2784,4.5,11.9,0.381,3.6,4.6,0.769,3.4,5.5,2.9,12.6,ASNBA2,martisl01
6,Bob Cousy,26,BOS,PG,71,,2747,6.8,17.2,0.397,6,7.5,0.807,5.6,7.3,2.2,19.7,ASNBA1,cousybo01
7,Ed Macauley,26,BOS,C,71,,2706,5.4,12.7,0.424,5.9,7.4,0.792,8,3.7,2.3,16.6,AS,macaued01
8,Frank Selvy,22,2TM,SF,71,,2668,6.1,16.1,0.378,6,8.2,0.728,5.3,3.3,3.1,18.2,AS,selvyfr01
9,Frank Selvy,22,BLB,SF,11,,432,7.1,18.7,0.378,6.1,8.3,0.73,6.4,2.5,2.9,20.3,,selvyfr01
10,Frank Selvy,22,MLH,SF,60,,2236,5.9,15.6,0.378,6,8.2,0.727,5.1,3.5,3.1,17.8,,selvyfr01
11,Bob Pettit,22,MLH,PF,72,,2659,7,17.3,0.407,5.8,7.7,0.751,13.5,3.1,3.5,19.8,ROY-1ASNBA1,pettibo01
12,Vern Mikkelsen,26,MNL,PF,71,,2559,6.2,14.7,0.422,6.3,8.4,0.747,10.2,2,4.5,18.7,ASNBA2,mikkeve01
