Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
1,Wilt Chamberlain,26,SFW,C,80,3806,13.8,26.2,0.528,6.2,10.5,0.593,18.4,2.6,1.3,33.9,MVP-7ASNBA2,chambwi01
2,Oscar Robertson,24,CIN,PG,80,3521,8.4,16.3,0.518,6.3,7.8,0.81,8.5,7.8,3,23.1,MVP-3ASNBA1,roberos01
3,Bill Russell,28,BOS,C,78,3500,5.3,12.2,0.432,3,5.3,0.555,19,3.6,1.9,13.5,MVP-1ASNBA1,russebi01
4,Elgin Baylor,28,LAL,SF,80,3370,11,24.3,0.453,7.1,8.4,0.837,12.2,4.1,2.4,29,MVP-2ASNBA1,bayloel01
5,Walt Bellamy,23,CHZ,C,80,3306,9.1,17.4,0.527,6,8.9,0.674,14.3,2.5,3.1,24.3,MVP-11AS,bellawa01
6,Guy Rodgers,27,SFW,PG,79,3249,4.9,12.7,0.387,2.3,3.2,0.727,4.4,9.1,3.3,12.2,AS,rodgegu01
7,Bob Pettit,30,STL,PF,79,3090,9.1,20.3,0.446,8,10.3,0.774,13.9,2.9,3.3,26.1,MVP-4ASNBA1,pettibo01
8,Bailey Howell,26,DET,SF,79,2971,7.7,15,0.516,6.3,7.9,0.798,11,2.8,3.6,21.7,ASNBA2,howelba01
9,Don Ohl,26,DET,SG,80,2961,7.7,17.6,0.439,3.3,4.6,0.724,2.9,4,2.8,18.8,AS,ohldo01
10,Richie Guerin,30,NYK,SG,79,2712,7.9,18.3,0.432,6.8,8,0.848,4.4,4.6,3,22.6,AS,gueriri01
11,John Barnhill,24,STL,SG,77,2692,4.8,11.2,0.43,2.4,3.4,0.71,4.8,4.3,2.2,12,MVP-11,barnhjo01
12,Tom Gola,30,2TM,SG,73,2670,4.9,10.7,0.459,2.3,3,0.776,7,4,4,12.1,AS,golato01
13,Tom Gola,30,SFW,SG,21,822,4.9,10.6,0.457,2.2,2.9,0.758,6.5,3.2,4.1,11.9,,golato01
14,Tom Gola,30,NYK,SF,52,1848,4.9,10.7,0.46,2.3,3,0.784,7.2,4.4,3.9,12.2,,golato01
15,Si Green,29,CHZ,PG,73,2648,4.4,10.6,0.411,2.8,4.2,0.683,4.6,5.7,3.7,11.6,,greensi01
16,Hal Greer,26,SYR,SG,80,2631,8.2,17.7,0.464,5,5.9,0.834,6.3,3.8,3.9,21.4,ASNBA2,greerha01
17,Jack Twyman,28,CIN,SF,80,2623,8.8,18.3,0.48,4.2,5.1,0.811,8.2,2.9,3.9,21.8,AS,twymaja01
18,Bucky Bockhorn,29,CIN,SG,80,2612,5.2,13.1,0.393,2.5,3.3,0.756,4.4,3.6,3.6,12.9,,bockhbu01
19,Lenny Wilkens,25,STL,PG,75,2569,4.7,11.7,0.399,3.1,4.5,0.696,5.6,5.3,3.6,12.4,AS,wilkele01
20,Red Kerr,30,SYR,C,80,2561,7.1,15,0.474,3.4,4.5,0.753,14.6,3,2.9,17.6,MVP-6AS,kerrre01
21,Johnny Green,29,NYK,PF,80,2553,8.2,17.8,0.462,3.9,6.2,0.638,13.6,2.1,3.4,20.4,AS,greenjo01
22,Dick Barnett,26,LAL,SG,80,2544,7.7,16.4,0.471,4.9,6,0.815,3.4,3.2,2.7,20.3,,barnedi01
23,Ray Scott,24,DET,PF,76,2538,6.5,15.7,0.414,4.4,6.5,0.674,11,2.7,3.7,17.4,,scottra01
24,Wayne Embry,25,CIN,C,76,2511,7.7,16.7,0.458,4.9,7.4,0.667,13.4,2.5,4.1,20.2,AS,embrywa01
25,Rudy LaRusso,25,LAL,PF,75,2505,4.6,10.9,0.422,4.1,5.6,0.718,10.7,2.7,3.7,13.3,AS,larusru01
26,Bob Boozer,25,CIN,PF,79,2488,6.4,14.4,0.444,3.6,5.1,0.714,12.7,1.5,4.3,16.4,,boozebo01
27,Bob Ferry,25,DET,C,79,2479,6.2,14.3,0.433,3.2,4.9,0.649,7.8,2.5,3.6,15.6,,ferrybo01
28,Lee Shaffer,23,SYR,SF,80,2392,9,21,0.429,4.4,5.6,0.784,7.9,1.5,3.7,22.4,AS,shaffle01
29,Frank Selvy,30,LAL,SG,80,2369,4.8,11.4,0.424,2.9,4.1,0.714,4.4,4.3,2.3,12.6,,selvyfr01
30,Dave DeBusschere,22,DET,SF,80,2352,6.2,14.4,0.43,3.2,4.4,0.718,10.6,3.2,3.8,15.6,,debusda01
31,Sam Jones,29,BOS,SG,76,2323,9.6,20.2,0.476,4,5,0.793,6.1,3.7,2.5,23.2,,jonessa01
32,Terry Dischinger,22,CHZ,SF,57,2294,8.2,16.1,0.512,6.3,8.2,0.77,7.2,2.7,3,22.8,MVP-8ROY-1AS,dischte01
33,Gene Shue,31,NYK,PG,78,2288,5.6,14.1,0.396,3.3,4.8,0.689,3,4.1,2.7,14.4,,shuege01
34,Tom Meschery,24,SFW,PF,64,2245,6.4,15,0.425,3.7,5,0.728,10,1.7,4,16.4,AS,meschto01
35,John Havlicek,22,BOS,SF,80,2200,7.9,17.8,0.445,2.8,3.9,0.728,8.7,2.9,3.1,18.7,MVP-10,havlijo01
36,Jerry West,24,LAL,PG,55,2163,9.3,20.2,0.461,6.2,7.9,0.778,6.4,5.1,2.5,24.8,MVP-5ASNBA1,westje01
