Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards,Player-additional
37,Tom Sanders,24,BOS,SF,80,2148,5.7,12.5,0.456,3.1,4.2,0.738,9.7,1.6,4.4,14.5,,sandeto01
38,Larry Costello,31,SYR,PG,78,2066,5,11.5,0.432,5,5.7,0.881,4.1,5.8,4.6,15,,costela01
39,Woody Sauldsberry,28,2TM,PF,77,2034,6.5,17.1,0.379,1.9,2.9,0.656,7.9,1.4,4.1,14.8,,sauldwo01
40,Woody Sauldsberry,28,CHZ,PF,54,1664,6.6,17.1,0.384,1.9,2.8,0.685,7.9,1.4,3.7,15.1,,sauldwo01
41,Woody Sauldsberry,28,STL,PF,23,370,6,16.9,0.356,1.8,3.2,0.545,7.8,1.2,5.7,13.8,,sauldwo01
42,Tom Heinsohn,28,BOS,PF,76,2004,9.9,23.4,0.423,6.1,7.3,0.835,10.2,1.7,4.9,25.9,ASNBA2,heinsto01
43,Chet Walker,22,SYR,SF,78,1992,6.4,13.6,0.469,4.6,6.5,0.699,10.1,1.5,4,17.3,,walkech01
44,Bob Cousy,34,BOS,PG,76,1975,7.1,18,0.397,4,5.4,0.735,3.5,9.4,3.2,18.3,MVP-8ASNBA2,cousybo01
45,K.C. Jones,30,BOS,PG,79,1945,4.3,10.9,0.389,2.1,3.3,0.633,4.9,5.9,4.1,10.6,,joneskc01
46,Zelmo Beaty,23,STL,C,80,1918,5.6,12.7,0.439,4.1,5.8,0.717,12.5,1.6,5.9,15.3,,beatyze01
47,Jim Krebs,27,LAL,C,79,1913,5.1,11.8,0.434,2.2,2.9,0.747,9.4,1.6,4.8,12.4,,krebsji01
48,Willie Naulls,28,2TM,SF,70,1901,7,16.8,0.417,3.1,3.9,0.802,9.8,1.9,3.9,17.2,,naullwi01
49,Willie Naulls,28,NYK,SF,23,676,8.3,20,0.413,4.2,5.1,0.813,10.7,2.3,2.2,20.7,,naullwi01
50,Willie Naulls,28,SFW,SF,47,1225,6.3,15,0.42,2.6,3.3,0.793,9.3,1.7,4.8,15.2,,naullwi01
51,Al Attles,26,SFW,PG,71,1876,5.8,12.1,0.478,2.6,4,0.646,3.9,3.5,4.9,14.1,,attleal01
52,Chico Vaughn,22,STL,SG,77,1845,5.8,13.8,0.417,3.7,5.1,0.72,5,4.9,3.9,15.2,,vaughch01
53,Gary Phillips,23,SFW,SG,75,1801,5.1,12.9,0.398,1.9,3,0.638,4.5,2.7,3.7,12.2,,phillga01
54,Dave Budd,24,NYK,SF,78,1725,6.1,12.4,0.493,3.2,4.2,0.748,8.2,1.8,4.3,15.4,,buddda01
55,Mike Farmer,26,STL,SF,80,1724,5,11.7,0.425,2.4,2.9,0.842,7.7,3,3.2,12.4,,farmemi01
56,Tom Hawkins,26,CIN,SF,79,1721,6.3,13.3,0.471,3.1,5,0.61,11.4,2.1,4.1,15.6,,hawkito01
57,Cliff Hagan,31,STL,SF,79,1716,10.3,22.1,0.465,5.1,6.4,0.8,7.2,4,4.4,25.7,,hagancl01
58,Johnny Cox,26,CHZ,SG,73,1685,5.1,12.1,0.421,2,2.9,0.704,6,3,3.2,12.2,,coxjo01
59,Charlie Hardnett,24,CHZ,PF,78,1657,6.5,14.8,0.441,4.9,7.6,0.645,13.1,1.6,4.9,18,,hardnch01
60,Leroy Ellis,22,LAL,C,80,1628,4.9,11.7,0.419,2.9,4.5,0.658,11.5,1,4.3,12.8,,ellisle01
61,Paul Neumann,25,SYR,PG,80,1581,5.4,11.5,0.471,4.1,5.1,0.815,4.6,5.2,5,14.9,,neumapa01
62,Gene Conley,32,NYK,PF,70,1544,5.9,15.2,0.39,2.8,4.3,0.656,10.9,1.6,6.1,14.7,,conlege01
63,Frank Ramsey,31,BOS,SG,77,1541,6.6,17.4,0.382,6.3,7.8,0.816,6.7,2.2,6.1,19.6,,ramsefr01
64,Adrian Smith,26,CIN,SG,79,1522,5.7,12.9,0.443,5.3,6.5,0.811,4.1,3.3,3.7,16.7,,smithad01
65,Jackie Moreland,24,DET,PF,78,1516,6.4,14.8,0.436,3.4,5.1,0.678,10.7,2.7,5.4,16.3,,morelja01
66,Gene Wiley,25,LAL,C,75,1488,2.6,5.7,0.462,0.6,1.6,0.338,12.2,1,4.4,5.8,,wileyge01
67,Al Butler,24,NYK,PG,74,1488,7.2,16.4,0.439,3.5,4.5,0.77,4.1,3.8,3.5,17.9,,butleal01
68,Willie Jones,26,DET,PG,79,1470,7.5,17.9,0.418,2.9,4,0.72,5.7,4.6,5.1,17.8,,joneswi01
69,Dolph Schayes,34,SYR,PF,66,1438,5.6,14.4,0.388,4.5,5.2,0.879,9.4,4.4,4.4,15.7,,schaydo01
70,Phil Jordon,29,STL,C,73,1420,5.3,13.4,0.4,1.4,2.6,0.554,8.1,2.6,4.4,12.1,,jordoph01
71,Wayne Hightower,23,SFW,PF,66,1387,5,14.2,0.35,2.7,4.1,0.669,9.2,1.3,4.7,12.7,,hightwa01
72,Paul Hogue,22,NYK,C,50,1340,4.1,11.3,0.363,2.1,4.7,0.454,11.6,1.1,5.9,10.3,,hoguedu01
73,Hub Reed,26,CIN,C,80,1299,5.5,11.8,0.466,2.1,2.7,0.755,11,2.3,7.2,13.1,,reedhu01
74,Len Chappell,22,SYR,PF,80,1241,8.2,17.5,0.465,4.3,6.9,0.622,13.4,1.6,5,20.6,,chapple01
75,Dave Gambee,25,SYR,SF,60,1234,6.9,15.7,0.438,5.8,6.9,0.836,8.4,1.4,5.5,19.5,,gambeda01
76,Barney Cable,27,2TM,SF,61,1203,5.2,11.4,0.455,1.9,2.9,0.646,7.1,2.5,4,12.2,,cableba01
77,Barney Cable,27,STL,SF,42,662,5.8,11.7,0.495,2.2,3.4,0.651,7,2.3,4.7,13.9,,cableba01
78,Barney Cable,27,CHZ,SF,19,541,4.4,10.9,0.402,1.4,2.2,0.636,7.3,2.7,3.3,10.2,,cableba01
79,Donnie Butcher,26,NYK,SG,68,1193,5.2,12.8,0.406,4,5.9,0.675,5.4,4.2,4.9,14.3,,butchdo01
80,George Lee,26,SFW,SG,64,1192,4.5,11.9,0.378,4.6,5.8,0.788,6.6,1.9,3.4,13.6,,leege01
81,Al Bianchi,30,SYR,SG,61,1159,6.3,14.8,0.424,3.7,5.1,0.732,4.2,5.3,5.1,16.3,,biancal01
82,Kenny Sears,29,2TM,SF,77,1141,5.1,9.6,0.53,4.1,5.3,0.78,6.5,3,4,14.3,,searske01
83,Kenny Sears,29,NYK,,23,359,4.8,9.2,0.522,2.6,4.6,0.565,6.7,4,2.9,12.2,,searske01
84,Kenny Sears,29,SFW,SF,54,782,5.2,9.8,0.533,4.8,5.6,0.861,6.4,2.5,4.6,15.2,,searske01
85,Don Nelson,22,CHZ,SF,62,1071,4.3,9.8,0.44,5.4,7.4,0.729,9.4,2.4,4.6,14.1,,nelsodo01
86,Bevo Nordmann,23,2TM,C,53,1000,5.6,11.5,0.489,2.1,4.4,0.484,11.4,1.7,5.6,13.4,,nordmbe01
87,Bevo Nordmann,23,STL,C,27,271,4.8,10.6,0.45,2.8,5.2,0.538,11.3,1.1,6.5,12.4,,nordmbe01
88,Bevo Nordmann,23,NYK,C,26,729,5.9,11.8,0.502,1.9,4.1,0.458,11.4,1.9,5.3,13.7,,nordmbe01
89,Maurice King,27,CHZ,PG,37,954,3.5,9.1,0.39,1.1,1.3,0.824,3.8,5.4,3.3,8.2,,kingma01
90,Walter Dukes,32,DET,C,62,913,3.3,10.1,0.325,4,5.4,0.737,14.2,2.2,7.2,10.5,,dukeswa01
91,Slick Leonard,30,CHZ,PG,32,879,3.4,10,0.343,2.4,3.5,0.694,2.8,5.9,3.4,9.3,,leonasl01
92,Kevin Loughery,22,DET,SG,57,845,6.2,16.9,0.368,3,4.3,0.71,4.6,4.4,5.8,15.5,,loughke01
93,Hot Rod Hundley,28,LAL,PG,65,785,4,12,0.336,3.9,5.5,0.706,4.9,6.9,3.7,11.9,,hundlho01
94,Johnny Egan,24,DET,PG,46,752,5.3,14.2,0.372,2.5,3.3,0.768,2.8,5.5,3.4,13.1,,eganjo01
95,Nick Mantis,27,2TM,SG,42,684,4.9,12.8,0.385,1.4,2.6,0.551,4.5,4.4,4.9,11.3,,mantini01
96,Nick Mantis,27,STL,SG,9,58,5,12.4,0.4,1.9,5.6,0.333,3.7,4.3,8.1,11.8,,mantini01
97,Nick Mantis,27,CHZ,SG,33,626,4.9,12.9,0.384,1.4,2.3,0.6,4.5,4.4,4.7,11.3,,mantini01
98,Jim Loscutoff,32,BOS,SF,63,607,5.6,14.9,0.375,1.3,2.5,0.524,9.3,1.5,7.5,12.5,,loscuji01
99,Larry Staverman,26,CHZ,PF,33,602,5.6,11.6,0.485,2.9,3.7,0.79,9.4,2.6,5.6,14.2,,stavela01
100,Billy McGill,23,CHZ,C,60,590,11,21.5,0.513,4.9,7.3,0.672,9.8,2.3,7.2,27,,mcgilbi01
101,Mel Nowell,23,CHZ,SG,39,589,5.6,14.5,0.388,2.9,4,0.727,4.1,5.1,5.3,14.2,,nowelme01
102,John Rudometkin,22,NYK,SF,56,572,6.8,19.3,0.352,4.6,6,0.768,9.4,1.9,3.7,18.2,,rudomjo01
103,Clyde Lovellette,33,BOS,C,61,568,10.2,23.8,0.428,4.6,6.2,0.745,11.2,1.7,8.7,25,,lovelcl01
104,Joe Roberts,26,SYR,PF,33,466,5.6,15.1,0.372,2.7,3.9,0.686,12,1.2,5.1,14,,roberjo01
105,Darrall Imhoff,24,DET,C,45,458,3.8,12,0.314,1.9,3.9,0.48,12.2,2.2,5.2,9.4,,imhofda01
106,Dave Piontek,28,CIN,SF,48,457,4.7,12.4,0.38,0.8,1.3,0.625,7.6,2,5.3,10.2,,piontda01
107,Bob Duffy,22,STL,PG,42,435,5.5,14.4,0.379,1.8,3.2,0.564,3.2,6.9,3.5,12.7,,duffybo02
108,Bill Bridges,23,STL,PF,27,374,6.4,15.4,0.413,3.1,4.9,0.627,13.9,2.2,5.6,15.8,,bridgbi01
109,Bud Olsen,22,CIN,PF,52,373,4.2,12.8,0.323,2.6,3.8,0.692,10.1,4.1,7.5,10.9,,olsenbu01
110,Howie Montgomery,22,SFW,SF,20,364,6.4,15.1,0.425,1.4,2.3,0.609,6.8,2.1,3.5,14.2,,montgho01
111,Dan Swartz,28,BOS,SF,39,335,6.1,16.1,0.38,6.6,7.7,0.847,9.5,2.3,9.9,18.8,,swartda01
112,Howie Jolliff,24,LAL,PF,28,293,1.8,6.8,0.273,0.7,1.1,0.667,7.6,2.5,6,4.4,,jolifho01
113,Ron Horn,24,LAL,SF,28,289,3.4,10.2,0.329,2.5,3.6,0.69,8.8,1.2,5.7,9.2,,hornro01
114,Hubie White,23,SFW,SG,29,271,5.3,14.7,0.36,1.6,2.4,0.667,4.6,3.7,6.2,12.2,,whitehu01
115,Porter Meriwether,22,SYR,PG,31,268,6.4,16.4,0.393,3.1,4.4,0.697,3.9,5.8,2.6,16,,meriwpo01
116,Tom Stith,24,NYK,SF,25,209,6.4,18.9,0.336,0.5,1.7,0.3,6.7,3.1,4,13.3,,stithto01
117,Ben Warley,26,SYR,PF,26,206,8.7,19.4,0.45,4.4,6.1,0.714,15,0.7,7.3,21.8,,warlebe01
118,Ted Luckenbill,23,SFW,PF,20,201,4.7,12.2,0.382,1.6,3.6,0.45,10,1.4,6.1,10.9,,luckete01
119,Dan Tieman,22,CIN,PG,29,176,3.1,11.7,0.263,0.8,2,0.4,4.5,5.5,3.7,7,,tiemada01
120,Fred LaCour,24,SFW,,16,171,5.9,15.4,0.384,1.9,3.4,0.563,5.1,4,5.7,13.7,,lacoufr01
121,Al Ferrari,29,CHZ,,18,138,3.1,9.7,0.324,3.7,4.4,0.824,3.1,3.7,5.5,9.9,,ferraal01
122,Gene Guarilia,25,BOS,SF,11,83,4.8,16.5,0.289,1.7,4.8,0.364,6.1,0.9,2.2,11.3,,guarige01
123,Jack Foley,23,2TM,,11,83,8.7,22.1,0.392,5.6,6.5,0.867,6.9,2.2,3.5,23,,foleyja01
124,Jack Foley,23,BOS,,5,46,10.2,20.3,0.5,4.7,6.3,0.75,5.5,0,2.3,25,,foleyja01
125,Jack Foley,23,NYK,,6,37,6.8,24.3,0.28,6.8,6.8,1,8.8,4.9,4.9,20.4,,foleyja01
126,Ralph Wells,22,CHZ,,3,48,0.7,5.2,0.143,0,5.2,0,4.5,5.2,4.5,1.5,,wellsra01
127,Gene Tormohlen,25,STL,C,7,47,3.8,7.7,0.5,1.5,7.7,0.2,11.5,3.8,8.4,9.2,,tormobu01
128,Dave Fedor,22,SFW,,7,27,4,13.3,0.3,0,1.3,0,8,1.3,5.3,8,,fedorda01
129,Cleveland Buckner,24,NYK,PF,6,27,6.7,13.3,0.5,2.7,5.3,0.5,5.3,6.7,8,16,,buckncl01
130,Danny Doyle,22,DET,PF,4,25,8.6,17.3,0.5,5.8,7.2,0.8,11.5,4.3,5.8,23,,doyleda01
131,Jeff Slade,21,CHZ,,3,20,3.6,9,0.4,0,1.8,0,12.6,0,5.4,7.2,,sladeje01
132,Joe Buckhalter,25,CIN,PF,2,12,0,15,0,6,6,1,9,0,3,6,,buckhjo01
133,Dave Gunther,25,SFW,,1,5,7.2,14.4,0.5,0,0,,21.6,21.6,7.2,14.4,,gunthda01
