Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,DeMar DeRozan,34,CHI,SF,79,79,2989,7.8,16.3,0.48,0.9,2.7,0.333,6.9,13.6,0.509,0.507,6.3,7.4,0.853,0.5,3.6,4.1,5.1,1.1,0.5,1.6,1.9,22.8,CPOY-2,derozde01
2,Domantas Sabonis,27,SAC,C,82,82,2928,7.8,13.1,0.594,0.4,1.1,0.379,7.4,12.1,0.613,0.609,3.6,5.1,0.704,3.6,10.2,13.8,8.3,0.9,0.6,3.3,3.1,19.6,MVP-8DPOY-10NBA3,sabondo01
3,Coby White,23,CHI,PG,79,78,2881,6.8,15.1,0.447,2.6,6.9,0.376,4.1,8.2,0.508,0.534,2.7,3.2,0.838,0.5,3.9,4.5,5.1,0.7,0.2,2.1,2.3,18.9,,whiteco01
4,Mikal Bridges,27,BRK,SF,82,82,2854,7.1,16.3,0.436,2.8,7.5,0.372,4.3,8.9,0.49,0.521,3.3,4,0.814,0.9,3.8,4.7,3.8,1,0.4,2.1,1.5,20.3,,bridgmi01
5,Paolo Banchero,21,ORL,PF,80,80,2799,8.2,18.1,0.455,1.5,4.5,0.339,6.7,13.6,0.493,0.497,5.2,7.2,0.725,1.1,6.1,7.1,5.5,0.9,0.6,3.2,2,23.2,AS,banchpa01
6,Kevin Durant,35,PHO,PF,75,75,2791,9.7,18.5,0.523,2.2,5.2,0.413,7.5,13.3,0.567,0.581,4.7,5.5,0.856,0.5,5.9,6.4,4.9,0.9,1.2,3.1,1.7,26.2,MVP-9ASNBA2,duranke01
7,Dejounte Murray,27,ATL,SG,78,78,2783,8.7,18.9,0.459,2.6,7.2,0.363,6.1,11.8,0.518,0.528,2.7,3.4,0.794,0.8,4.6,5.4,6.5,1.4,0.3,2.6,1.8,22.7,,murrade01
8,Anthony Edwards,22,MIN,SG,79,78,2770,9.3,20.2,0.461,2.5,6.9,0.357,6.9,13.3,0.515,0.522,5.5,6.6,0.836,0.7,4.9,5.6,5.3,1.3,0.5,3.1,1.8,26.6,MVP-7CPOY-8ASNBA2,edwaran01
9,Nikola Jokić,28,DEN,C,79,79,2737,10.8,18.6,0.583,1.1,3,0.359,9.7,15.5,0.626,0.612,4.7,5.8,0.817,2.9,9.9,12.8,9.3,1.4,0.9,3.1,2.6,27.4,MVP-1CPOY-4ASNBA1,jokicni01
10,Jalen Brunson,27,NYK,PG,77,77,2726,10.4,21.8,0.479,2.8,6.9,0.401,7.6,14.8,0.516,0.543,5.6,6.6,0.847,0.6,3.1,3.7,6.9,0.9,0.2,2.5,1.9,29.2,MVP-5CPOY-5ASNBA2,brunsja01
11,Josh Hart,28,NYK,SF,81,42,2707,3.9,9,0.434,1.1,3.4,0.31,2.9,5.6,0.511,0.493,1.2,1.5,0.791,1.7,7.3,9,4.4,1,0.3,1.6,2.3,10.1,,hartjo01
12,Anthony Davis,30,LAL,C,76,76,2700,9.5,17.1,0.556,0.4,1.4,0.271,9.1,15.7,0.582,0.567,5.6,6.9,0.816,3.2,9.6,12.8,3.5,1.2,2.4,2.1,2.4,25,DPOY-4ASNBA2,davisan02
13,Fred VanVleet,29,HOU,PG,73,73,2684,5.7,13.7,0.416,3,7.9,0.387,2.6,5.8,0.454,0.527,2.6,3.1,0.86,0.4,3.3,3.7,7.9,1.4,0.8,1.7,2.5,17,,vanvlfr01
14,De'Aaron Fox,26,SAC,PG,74,74,2659,9.7,21,0.465,2.9,7.9,0.369,6.9,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.7,2,0.4,2.6,2.6,26.6,CPOY-12,foxde01
15,Pascal Siakam,29,2TM,PF,80,80,2657,9.2,17.2,0.536,1.2,3.3,0.346,8.1,13.9,0.581,0.569,3.9,5.4,0.732,1.9,5.8,7.7,4.6,0.9,0.3,1.9,2.6,23.5,,siakapa01
16,Pascal Siakam,29,TOR,PF,39,39,1354,8.6,16.6,0.522,1.2,3.9,0.317,7.4,12.7,0.584,0.559,4.5,5.9,0.758,1.4,5.1,6.5,5.1,0.9,0.3,2.2,2.3,23,,siakapa01
17,Pascal Siakam,29,IND,PF,41,41,1303,9.8,17.9,0.549,1.1,2.8,0.386,8.8,15.1,0.58,0.579,3.3,4.8,0.699,2.3,6.5,8.8,4.2,0.9,0.4,1.6,2.9,24.1,,siakapa01
18,Jayson Tatum,25,BOS,PF,74,74,2645,9.1,19.4,0.471,3.1,8.3,0.376,6,11.1,0.542,0.552,5.6,6.8,0.833,0.9,7.3,8.2,5,1,0.6,2.6,2,27,MVP-6CPOY-9ASNBA1,tatumja01
19,Austin Reaves,25,LAL,SG,82,57,2629,6.3,12.9,0.486,2.1,5.8,0.367,4.1,7.1,0.583,0.568,3.2,3.7,0.853,0.8,4,4.8,6.2,0.9,0.3,2.4,2.1,17.8,,reaveau01
