Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Andre Iguodala,25,PHI,SF,82,82,3269,6,12.6,0.473,0.9,2.9,0.307,5.1,9.8,0.521,0.507,4.2,5.7,0.724,1,4.2,5.2,4.8,1.4,0.4,2.4,1.7,17,DPOY-13,iguodan01
2,Joe Johnson,27,ATL,SG,79,79,3124,7.1,16.4,0.437,1.7,4.8,0.36,5.4,11.6,0.468,0.489,3.4,4.2,0.826,0.7,3.2,4,5.2,1,0.2,2.2,2,19.5,AS,johnsjo02
3,O.J. Mayo,21,MEM,SG,82,82,3120,6.5,14.8,0.438,1.7,4.4,0.384,4.8,10.4,0.461,0.495,2.8,3.2,0.879,0.6,2.9,3.6,3,1,0.1,2.6,2.4,17.5,ROY-2,mayooj01
4,Antawn Jamison,32,WAS,PF,81,81,3096,7.8,16.8,0.468,1.3,3.7,0.351,6.5,13,0.501,0.507,4,5.3,0.754,2.3,6.1,8.4,1.8,1.1,0.3,1.5,2.5,20.9,,jamisan01
5,Raymond Felton,24,CHA,PG,82,81,3086,5.2,12.6,0.408,0.7,2.4,0.285,4.5,10.2,0.437,0.435,2.6,3.2,0.805,0.6,3,3.6,6.5,1.5,0.3,2.7,2.2,13.6,,feltora01
6,Tayshaun Prince,28,DET,SF,82,82,3057,5.4,12,0.45,0.7,1.7,0.397,4.7,10.4,0.458,0.477,2.2,2.9,0.778,1.5,4.1,5.6,3,0.5,0.6,1.2,1.2,13.7,,princta01
7,LeBron James,24,CLE,SF,81,81,3054,9.3,19,0.489,1.6,4.5,0.344,7.7,14.5,0.535,0.53,7,9,0.78,1.2,6,7.2,6.9,1.6,1.1,2.8,1.6,27.2,MVP-1DPOY-2ASNBA1,jamesle01
8,Dirk Nowitzki,30,DAL,PF,81,81,3050,9.1,19.1,0.479,0.7,2,0.359,8.4,17.1,0.493,0.498,5.7,6.4,0.89,1,7,8,2.3,0.7,0.7,1.9,2.1,24.7,MVP-10ASNBA1,nowitdi01
9,Dwyane Wade,27,MIA,SG,79,79,3048,10.1,20.5,0.491,1,3.3,0.317,9,17.3,0.524,0.516,7,9.1,0.765,1.1,3.6,4.7,7,2,1.3,3.2,2.1,28.2,MVP-3DPOY-3ASNBA1,wadedw01
10,Paul Pierce,31,BOS,SF,81,81,3035,6.4,14,0.457,1.4,3.6,0.391,5,10.4,0.48,0.508,5.4,6.6,0.83,0.7,4.8,5.4,3.5,0.9,0.3,2.7,2.6,19.7,MVP-7ASNBA2,piercpa01
11,LaMarcus Aldridge,23,POR,PF,81,81,3004,7.2,14.9,0.484,0.1,0.3,0.25,7.1,14.6,0.489,0.486,3.1,4,0.781,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6,,aldrila01
12,Chris Paul,23,NOH,PG,78,78,3002,7.6,15,0.503,0.8,2.1,0.364,6.8,12.9,0.525,0.528,5.5,6.3,0.868,0.8,4.4,5.2,10.3,2.6,0.1,2.8,2.5,21.4,MVP-5DPOY-6ASNBA2,paulch01
13,Derrick Rose,20,CHI,PG,81,80,3000,6.9,14.5,0.475,0.2,0.9,0.222,6.7,13.6,0.491,0.482,2.4,3,0.788,1.2,2.7,3.8,6.1,0.8,0.2,2.4,1.5,16.3,ROY-1,rosede01
14,Ben Gordon,25,CHI,SG,82,76,2999,7.2,15.8,0.455,2.1,5.1,0.41,5.1,10.7,0.476,0.521,4,4.6,0.864,0.6,2.8,3.4,3.3,0.9,0.3,2.4,2.2,20.4,,gordobe01
15,Pau Gasol,28,LAL,C,81,81,2999,7.1,12.5,0.567,0,0,0.5,7.1,12.5,0.567,0.567,4.1,5.3,0.781,3.1,6.2,9.4,3.4,0.6,1,1.9,2.1,18.3,ASNBA3,gasolpa01
16,David West,28,NOH,PF,76,76,2982,7.4,15.6,0.472,0.1,0.3,0.24,7.3,15.3,0.477,0.474,4.4,5,0.884,1.9,5.9,7.8,2.1,0.6,0.8,2,2.5,19.2,AS,westda01
17,Andre Miller,32,PHI,PG,82,82,2976,6,12.6,0.473,0.2,0.6,0.283,5.8,12,0.483,0.48,4.1,4.9,0.826,1.5,3,4.5,6.5,1.3,0.2,2.4,2.4,16.2,,millean02
18,Kobe Bryant,30,LAL,SG,82,82,2960,9.7,20.8,0.467,1.4,4.1,0.351,8.3,16.7,0.496,0.502,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8,MVP-2DPOY-7ASNBA1,bryanko01
19,John Salmons,29,2TM,SF,79,74,2959,6.3,13.3,0.472,1.5,3.7,0.417,4.7,9.6,0.493,0.53,3.5,4.2,0.83,0.7,3.3,4.1,3,1,0.3,2,2.2,17.6,,salmojo01
20,John Salmons,29,SAC,SF,53,53,1980,6.4,13.5,0.472,1.4,3.3,0.418,5,10.2,0.489,0.524,3.5,4.2,0.823,0.8,3.2,4,3.6,1.1,0.2,2.2,2.2,17.6,,salmojo01
21,John Salmons,29,CHI,SF,26,21,979,6.1,12.8,0.473,1.8,4.3,0.415,4.3,8.5,0.502,0.543,3.6,4.2,0.843,0.6,3.5,4.1,1.9,0.9,0.6,1.6,2.2,17.5,,salmojo01
22,Vince Carter,32,NJN,SG,80,80,2946,7.2,16.4,0.437,1.8,4.8,0.385,5.3,11.6,0.459,0.493,4.1,5,0.817,0.9,4.1,5,4.6,1,0.5,2,2.9,20.3,,cartevi01
23,Rudy Gay,22,MEM,SF,79,78,2945,7,15.4,0.453,1,3,0.351,6,12.5,0.477,0.487,3.2,4.2,0.767,1.3,4,5.3,1.7,1.2,0.7,2.5,2.7,18.3,,gayru01
24,Richard Jefferson,28,MIL,SF,82,82,2939,6.6,15,0.439,1.4,3.6,0.397,5.2,11.4,0.453,0.487,5.1,6.3,0.805,0.7,3.9,4.6,2.4,0.8,0.2,2,3.1,19.7,,jefferi01
25,Chris Bosh,24,TOR,C,77,77,2928,7.6,15.5,0.487,0.1,0.6,0.245,7.4,14.9,0.497,0.492,6.2,7.6,0.817,2.6,6.8,9.5,2.3,0.8,0.9,2.1,2.3,21.5,AS,boshch01
