Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Player-additional
1,Bob McAdoo,23,BUF,C,82,,3539,11.1,21.7,0.512,6.5,8.1,0.805,3.1,8.6,11.7,1.8,0.9,1.8,2.8,28.8,MVP-1ASNBA1,mcadobo01
2,Elvin Hayes,29,WSB,PF,82,,3465,7.7,17.3,0.443,4.2,5.5,0.766,2.3,8.1,10.4,2.1,1.6,1.9,2.5,19.6,MVP-3ASNBA1,hayesel01
3,Sam Lacey,26,KCO,C,81,,3378,4.2,9.8,0.427,1.5,2,0.754,2.4,9.8,12.2,4.6,1.5,1.8,2.9,9.9,MVP-10AS,laceysa01
4,Tiny Archibald,26,KCO,PG,82,,3244,8.4,18.5,0.456,7.2,8.3,0.872,0.5,1.9,2.5,6.2,1.3,0.1,2.1,24.1,MVP-6ASNBA1,architi01
5,Rick Barry,30,GSW,SF,80,,3235,11.4,24.7,0.464,4.4,4.9,0.904,1,4.1,5.1,5.5,2.5,0.4,2.5,27.3,MVP-4ASNBA1,barryri01
6,Dave Bing,31,DET,PG,79,,3222,6.5,14.9,0.434,3.8,4.7,0.809,1,2.2,3.2,6.8,1.3,0.3,2.5,16.7,AS,bingda01
7,Jo Jo White,28,BOS,PG,82,,3220,7.4,16.1,0.457,2.1,2.5,0.834,0.9,2.5,3.5,5.1,1.4,0.2,2.3,16.8,ASNBA2,whitejo01
8,Walt Frazier,29,NYK,PG,78,78,3204,7.6,15.6,0.483,3.7,4.5,0.828,1,4.2,5.2,5.3,2.1,0.2,2.3,18.8,MVP-15ASNBA1,fraziwa01
9,Sidney Wicks,25,POR,PF,82,,3162,7.9,15.8,0.497,4.5,6.4,0.706,2.6,7.4,10,3.3,1.2,0.9,3.3,20.2,MVP-12AS,wickssi01
10,Rudy Tomjanovich,26,HOU,PF,81,,3134,8,15.2,0.525,3.3,4.2,0.79,2.1,4.9,7,2.7,0.9,0.3,2.6,19.3,MVP-21AS,tomjaru01
11,John Havlicek,34,BOS,SF,82,,3132,7.4,16.2,0.455,3.3,3.8,0.87,1.8,3.8,5.6,5,1.3,0.2,2.7,18.1,MVP-7ASNBA2,havlijo01
12,Jimmy Walker,30,KCO,SG,81,,3122,6.4,13.4,0.475,2.8,3.3,0.855,0.6,2.2,2.8,2.6,1,0.1,2.6,15.6,,walkeji01
13,Geoff Petrie,26,POR,PG,80,,3109,7,15.3,0.456,3,3.6,0.839,0.4,2,2.4,4.9,0.9,0.2,2.5,17,,petrige01
14,Fred Carter,29,PHI,PG,77,75,3046,8.5,18.9,0.447,3,4.1,0.738,0.9,3.2,4,4,1,0.2,3,19.9,,cartefr01
15,Bob Dandridge,27,MIL,SF,80,,3031,8.2,17.3,0.473,2.5,3.1,0.805,1.7,4.9,6.5,2.9,1.4,0.6,3.9,18.9,AS,dandrbo01
16,Randy Smith,26,BUF,SG,82,,3001,7.3,15.1,0.484,2.8,3.5,0.8,1.1,3,4.1,6.4,1.6,0,3,17.5,,smithra01
17,Bob Lanier,26,DET,C,76,,2987,8.8,17.3,0.51,4.4,5.4,0.802,2.7,8.3,11,4.2,0.9,2.1,2.9,22,MVP-13AS,laniebo01
18,Wes Unseld,28,WSB,C,73,,2904,3.4,6.7,0.502,1.6,2.3,0.685,3.9,9.4,13.4,3.7,1.4,0.8,2.2,8.3,MVP-9AS,unselwe01
19,Phil Chenier,24,WSB,SG,77,,2869,8.7,19.2,0.45,3.8,4.6,0.825,0.9,2.7,3.7,3.1,2.2,0.7,2,21.1,MVP-8ASNBA2,cheniph01
20,Billy Cunningham,31,PHI,SF,80,73,2859,7.7,17.9,0.428,4.3,5.6,0.777,1.6,7.5,9.1,5.6,1.1,0.4,3.4,19.7,,cunnibi01
21,Pete Maravich,27,NOJ,SG,79,,2853,8.3,19.7,0.419,4.9,6.1,0.811,1.2,4.2,5.3,6.2,1.5,0.2,2.9,21.5,,maravpe01
22,Tom Van Arsdale,31,2TM,SF,82,6,2843,7.5,17.5,0.428,4.1,5.4,0.759,1,2.5,3.5,2.8,1.2,0,3.3,19.1,,vanarto01
23,Tom Van Arsdale,31,PHI,SF,9,6,273,6.5,15.3,0.422,3.7,5.4,0.683,0.9,2.9,3.8,2.1,1.7,0,3.4,16.6,,vanarto01
24,Tom Van Arsdale,31,ATL,SF,73,,2570,7.6,17.8,0.429,4.1,5.4,0.768,1,2.5,3.5,2.9,1.1,0,3.2,19.4,,vanarto01
25,Dennis Awtrey,26,PHO,C,82,,2837,4.3,9.2,0.47,1.7,2.5,0.677,3.1,5.9,8.9,4.3,0.8,0.7,2.9,10.3,,awtrede01
26,Doug Collins,23,PHI,SG,81,76,2820,7.2,14.7,0.488,4.2,5,0.844,1.3,2.7,4,2.7,1.4,0.2,3.7,18.5,,collido01
27,Earl Monroe,30,NYK,SG,78,77,2814,8.5,18.7,0.457,3.8,4.6,0.827,0.7,3.5,4.2,3.5,1.4,0.4,2.6,20.9,MVP-16AS,monroea01
28,John Gianelli,24,NYK,C,80,79,2797,4.4,9.3,0.472,1.7,2.5,0.692,2.8,6.1,8.9,2.1,0.5,1.5,3.4,10.6,,gianejo01
29,Curtis Rowe,25,DET,PF,82,,2787,5.5,11.3,0.483,2.2,2.9,0.753,2.2,5.3,7.6,1.6,0.6,0.6,2.5,13.1,,rowecu01
30,Bill Bradley,31,NYK,SF,79,79,2787,5.8,13.4,0.436,1.9,2.1,0.873,0.8,2.4,3.2,3.2,1,0.2,3.7,13.5,,bradlbi01
31,Nate Thurmond,33,CHI,C,80,77,2756,3.3,9,0.364,1.7,2.9,0.589,3.4,8.4,11.8,4.3,0.6,2.5,3.5,8.3,,thurmna01
32,Kareem Abdul-Jabbar,27,MIL,C,65,,2747,10.6,20.8,0.513,4.3,5.6,0.763,2.5,9.4,12,3.5,0.9,2.8,2.7,25.5,MVP-5AS,abdulka01
33,Mike Newlin,26,HOU,SG,79,,2709,5.8,12,0.482,3.5,4.1,0.869,0.7,2.7,3.5,5.4,1.5,0.1,3.8,15.1,,newlimi01
34,Jim Cleamons,25,CLE,PG,74,,2691,4.9,10.3,0.48,1.9,2.4,0.796,1.3,3.1,4.4,5.1,1.1,0.3,2.6,11.8,,cleamji01
35,Curtis Perry,26,PHO,PF,79,,2688,5.9,12.3,0.477,2.5,3.4,0.719,4.6,7.9,12.6,2.5,1.4,1,3.9,14.2,,perrycu01
36,Fred Brown,26,SEA,SG,81,,2669,9.9,20.7,0.48,3,3.7,0.831,1.5,3.1,4.6,3.8,2.5,0.2,3.1,22.9,MVP-21,brownfr01
37,Gail Goodrich,31,LAL,SG,72,,2668,8.9,19.3,0.459,4.3,5.1,0.841,1.3,1.7,3,5.7,1.4,0.1,2.9,22,AS,goodrga01
38,Paul Silas,31,BOS,PF,82,,2661,4.2,10.1,0.417,3.3,4.7,0.709,4.7,9.2,13.9,3,0.8,0.3,3.1,11.7,AS,silaspa01
39,Bingo Smith,28,CLE,SF,82,,2636,8,16.6,0.483,1.8,2.2,0.825,1.5,4.1,5.6,3.1,1.1,0.4,3.1,17.8,,smithbi02
40,Dave Cowens,26,BOS,C,65,,2632,7.8,16.4,0.475,2.6,3.3,0.783,3.1,10,13.1,4,1.2,1,3.3,18.2,MVP-2ASNBA2,cowenda01
41,Charlie Scott,26,PHO,PG,69,,2592,9.8,22.1,0.441,3.8,4.9,0.781,1,2.8,3.8,4.3,1.5,0.3,4.1,23.3,AS,scottch01
42,Dick Snyder,30,CLE,SG,82,,2590,6.9,13.7,0.504,2.3,2.7,0.846,0.5,2.8,3.3,3.9,1,0.6,3.1,16.1,,snydedi01
