Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,LeBron James,22,CLE,SF,78,78,3190,8.7,18.3,0.476,1.1,3.5,0.319,7.6,14.8,0.513,0.507,5.5,7.9,0.698,0.9,5,5.9,5.3,1.4,0.6,2.8,1.9,24.1,MVP-5ASNBA2,jamesle01
2,Kobe Bryant,28,LAL,SG,77,77,3140,9.3,20.1,0.463,1.6,4.6,0.344,7.8,15.6,0.497,0.502,7.6,8.8,0.868,0.9,4.2,5,4.7,1.3,0.4,2.9,2.4,27.9,MVP-3DPOY-24ASNBA1,bryanko01
3,Vince Carter,30,NJN,SG,82,82,3126,8.4,18.4,0.454,1.8,5,0.357,6.6,13.4,0.491,0.503,5.3,6.6,0.802,1.3,4.4,5.7,4.5,0.9,0.3,2.5,3.1,23.8,AS,cartevi01
4,Elton Brand,27,LAC,PF,80,80,3077,7.5,14.2,0.533,0,0,1,7.5,14.2,0.532,0.533,4.1,5.4,0.761,3.1,5.6,8.7,2.7,0.9,2.1,2.4,2.8,19.2,,brandel01
5,Luol Deng,21,CHI,SF,82,82,3071,7.4,14.3,0.517,0,0.1,0.143,7.4,14.2,0.519,0.518,3.3,4.2,0.777,1.7,5.1,6.8,2.4,1.1,0.6,1.8,2,18.1,DPOY-20,denglu01
6,Andre Iguodala,23,PHI,SG,76,76,3062,5.2,11.7,0.447,0.6,1.8,0.31,4.6,9.8,0.472,0.471,5.3,6.5,0.82,0.9,4.2,5.1,5.1,1.8,0.4,3.1,2.4,16.3,DPOY-24,iguodan01
7,Rafer Alston,30,HOU,PG,82,82,3040,4.5,12.1,0.375,2.3,6.3,0.363,2.3,5.8,0.389,0.47,1.5,2.1,0.734,0.3,3,3.3,5.3,1.5,0.1,2,2.3,12.9,,alstora01
8,Dwight Howard,21,ORL,C,82,82,3023,6.3,10.4,0.603,0,0,0.5,6.3,10.4,0.603,0.603,4.6,7.9,0.586,3.4,8.6,12,1.9,0.8,1.9,3.8,2.9,17.2,DPOY-16ASNBA3,howardw01
9,Ricky Davis,27,MIN,SF,81,81,3021,6,13,0.465,1.5,3.7,0.397,4.6,9.3,0.492,0.521,2.8,3.4,0.839,0.6,3.1,3.8,4.6,1,0.3,2.5,2.3,16.4,,davisri01
10,Shawn Marion,28,PHO,SF,80,80,3010,6.7,12.8,0.524,1,3,0.317,5.8,9.8,0.587,0.561,2.4,3,0.81,2.1,7.3,9.4,1.6,1.9,1.5,1.4,2.6,16.8,DPOY-4AS,mariosh01
