Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,LeBron James,20,CLE,SF,80,80,3388,8.4,17.9,0.472,1.1,3.3,0.351,7.3,14.6,0.499,0.504,5.1,6.8,0.75,1.2,5.1,6.2,6.1,1.9,0.6,2.8,1.6,23.1,MVP-6ASNBA2,jamesle01
2,Stephon Marbury,27,NYK,PG,82,82,3281,6.6,14.4,0.462,1.3,3.6,0.354,5.4,10.8,0.497,0.506,5,6,0.834,0.5,2.2,2.7,7.3,1.3,0.1,2.6,2,19.5,,marbust01
3,Gilbert Arenas,23,WAS,PG,80,80,3274,7.2,16.7,0.431,2.3,6.2,0.365,5,10.6,0.469,0.498,5.7,7,0.814,0.9,3.2,4.2,4.5,1.5,0.3,2.7,2.7,22.4,MVP-12ASNBA3,arenagi01
4,Joe Johnson,23,PHO,SF,82,82,3240,6,13.1,0.461,2,4.1,0.478,4.1,9,0.454,0.536,1.5,2,0.75,1.3,3.4,4.7,3.2,0.9,0.3,1.6,1.9,15.6,,johnsjo02
5,Tracy McGrady,25,HOU,SF,78,78,3182,8.1,18.8,0.431,1.6,4.9,0.326,6.5,13.9,0.468,0.473,4.9,6.3,0.774,0.8,4.7,5.5,5.1,1.5,0.6,2.3,1.9,22.7,MVP-7ASNBA3,mcgratr01
6,Allen Iverson,29,PHI,PG,75,75,3174,8.7,20.6,0.424,1.2,3.8,0.308,7.6,16.8,0.451,0.453,7.4,8.9,0.835,0.6,2.8,3.4,6.8,2,0.1,3.9,1.6,26.1,MVP-5DPOY-11ASNBA1,iversal01
7,Shawn Marion,26,PHO,PF,81,81,3146,7,14.8,0.476,1.3,3.9,0.334,5.7,10.8,0.526,0.52,2.6,3.1,0.833,2.7,7.8,10.5,1.8,1.9,1.4,1.4,2.3,18,MVP-14DPOY-5ASNBA3,mariosh01
8,Kevin Garnett,28,MIN,PF,82,82,3121,7.9,15.7,0.502,0.1,0.3,0.24,7.8,15.4,0.507,0.504,5.1,6.3,0.811,2.8,9.9,12.8,5.4,1.4,1.3,2.6,2.4,21,MVP-11DPOY-9ASNBA2,garneke01
9,Mike Bibby,26,SAC,PG,80,80,3084,6.5,14.8,0.443,1.5,4.2,0.36,5,10.5,0.477,0.495,3.7,4.8,0.775,0.9,3,3.9,6.3,1.4,0.4,2.4,2.2,18.3,,bibbymi01
10,Ray Allen,29,SEA,SG,78,78,3064,7.5,17.6,0.428,2.5,6.5,0.376,5.1,11,0.459,0.498,4.4,5,0.883,0.9,3.1,4.1,3.4,1,0.1,2,2,21.9,MVP-9ASNBA2,allenra02
11,Tayshaun Prince,24,DET,SF,82,82,3039,5.6,11.4,0.487,0.6,1.6,0.341,5,9.8,0.512,0.511,2.6,3.2,0.807,1.6,3.6,5.2,2.9,0.7,0.8,1.6,1.9,14.3,DPOY-7,princta01
12,Dirk Nowitzki,26,DAL,PF,78,78,3020,7.9,17.2,0.459,1.1,2.7,0.399,6.8,14.5,0.47,0.49,7.3,8.4,0.869,1.1,7.9,9,2.9,1.2,1.4,2.1,2.6,24.2,MVP-3ASNBA1,nowitdi01
13,Chris Bosh,20,TOR,PF,81,81,3017,5.6,12,0.471,0,0.1,0.3,5.6,11.9,0.472,0.472,4.9,6.5,0.76,2.3,6.3,8.6,1.8,0.9,1.3,2.2,2.7,16.2,,boshch01
14,Elton Brand,25,LAC,PF,81,81,3001,7.5,15,0.503,0,0,0,7.5,15,0.504,0.503,4.4,5.8,0.752,3.6,5.7,9.2,2.5,0.7,2,2.2,2.9,19.5,,brandel01
15,Steve Francis,27,ORL,PG,78,78,2978,6.8,16.1,0.423,0.5,1.5,0.299,6.3,14.5,0.436,0.438,6,7.3,0.823,1.5,3.9,5.4,6.6,1.4,0.3,3.8,3.3,20.1,,francst01
16,Dwyane Wade,23,MIA,SG,77,77,2974,7.6,16,0.478,0.2,0.5,0.289,7.5,15.4,0.485,0.483,7,9.2,0.762,1.3,3.5,4.8,6.3,1.5,1,3.9,2.8,22.4,MVP-8DPOY-21ASNBA2,wadedw01
17,Paul Pierce,27,BOS,SF,82,82,2960,6.8,14.9,0.455,1.3,3.6,0.37,5.4,11.3,0.481,0.499,6.7,8.1,0.822,0.9,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.5,AS,piercpa01
18,Antoine Walker,28,2TM,PF,77,77,2955,7.1,16.8,0.422,1.3,4.2,0.323,5.7,12.6,0.455,0.462,2.4,4.5,0.539,2.2,6.2,8.5,3.2,1.1,0.7,3.1,2.6,17.9,,walkean02
19,Antoine Walker,28,ATL,PF,53,53,2128,7.1,17.1,0.415,1.4,4.5,0.317,5.7,12.6,0.45,0.457,2.7,5,0.534,2.1,6.3,8.4,3.3,1.1,0.5,3.1,2.5,18.3,,walkean02
20,Antoine Walker,28,BOS,PF,24,24,827,7,15.8,0.442,1.1,3.2,0.342,5.9,12.7,0.467,0.477,1.9,3.4,0.557,2.4,6.2,8.6,3.1,1.1,1.1,3,3,17,,walkean02
21,Richard Hamilton,26,DET,SG,76,76,2926,6.3,14.3,0.44,0.4,1.5,0.305,5.8,12.8,0.455,0.455,4.5,5.3,0.858,0.9,2.7,3.6,4.6,0.9,0.2,2.7,2.9,17.5,,hamilri01
22,Chucky Atkins,30,LAL,PG,82,82,2903,4.8,11.3,0.426,2.2,5.6,0.387,2.6,5.6,0.466,0.523,2,2.5,0.803,0.4,2.1,2.4,4.4,0.9,0,1.9,2.2,13.8,,atkinch01
23,Desmond Mason,27,MIL,SF,80,71,2893,5.9,13.4,0.443,0,0.1,0.125,5.9,13.3,0.445,0.443,5.2,6.5,0.802,1.1,2.8,3.9,2.7,0.7,0.3,2,2.5,17.1,,masonde01
24,Amar'e Stoudemire,22,PHO,C,80,80,2889,9.3,16.6,0.559,0,0.2,0.188,9.3,16.4,0.564,0.56,7.3,9.9,0.733,2.7,6.2,8.9,1.6,1,1.6,2.4,3.5,25.9,MVP-9ASNBA2,stoudam01
25,Chauncey Billups,28,DET,PG,80,80,2866,5.1,11.5,0.442,2.1,4.9,0.426,3,6.6,0.454,0.533,4.3,4.8,0.898,0.6,2.8,3.4,5.8,1,0.1,2.3,2.4,16.5,,billuch01
26,Kurt Thomas,32,NYK,PF,80,80,2855,5.3,11.4,0.471,0,0.1,0.5,5.3,11.3,0.47,0.472,0.8,1.1,0.786,2.1,8.3,10.5,2,0.9,1,1.2,3.9,11.6,,thomaku01
27,Andre Miller,28,DEN,PG,82,82,2852,5.4,11.3,0.477,0.1,0.5,0.154,5.3,10.8,0.492,0.48,3.2,3.8,0.838,1.3,3,4.3,7.2,1.5,0.1,2.8,2.6,14,,millean02
28,Michael Redd,25,MIL,SG,75,75,2848,7.9,17.9,0.441,1.3,3.7,0.355,6.6,14.2,0.463,0.477,4.7,5.5,0.854,0.9,3,3.9,2.2,0.8,0.1,1.7,1.9,21.8,,reddmi01
29,Eddie Jones,33,MIA,SF,80,80,2839,4.5,10.4,0.428,1.8,4.8,0.372,2.7,5.6,0.477,0.515,2.2,2.7,0.806,0.5,4.7,5.1,2.7,1.1,0.5,1.3,3.2,12.9,,jonesed02
30,Quentin Richardson,24,PHO,SG,79,78,2839,5.2,13.3,0.389,2.9,8,0.358,2.3,5.2,0.437,0.498,1.7,2.3,0.739,1.2,4.9,6.1,2,1.2,0.3,1.3,2.5,14.9,,richaqu01
31,Vince Carter,28,2TM,SF,77,76,2828,8.9,19.6,0.452,1.6,4,0.406,7.2,15.6,0.463,0.493,4.7,5.9,0.798,1.3,3.8,5.1,4.2,1.4,0.6,2.1,3.1,24,MVP-13AS,cartevi01
32,Vince Carter,28,TOR,SG,20,20,608,7.3,17.9,0.411,1.1,3.5,0.322,6.2,14.4,0.432,0.442,3,4.3,0.694,1.7,2.3,3.9,3.6,1.5,0.9,1.3,3.3,18.8,,cartevi01
33,Vince Carter,28,NJN,SF,57,56,2220,9.3,20.1,0.462,1.8,4.1,0.425,7.5,16,0.471,0.505,5.1,6.3,0.817,1.3,4.2,5.4,4.3,1.4,0.5,2.4,3,25.4,,cartevi01
34,P.J. Brown,35,NOH,PF,82,78,2817,4.3,9.7,0.446,0,0,,4.3,9.7,0.446,0.446,2.7,3.1,0.864,3.4,6,9.4,2.3,0.9,0.6,1.3,3,11.3,MVP-14,brownpj01
35,Kirk Hinrich,24,CHI,PG,77,77,2800,5.7,14.4,0.397,1.9,5.2,0.355,3.9,9.2,0.42,0.461,2.2,2.8,0.792,0.4,3.5,3.9,6.4,1.6,0.3,2.3,3.1,15.5,DPOY-12,hinriki01
36,Bobby Simmons,24,LAC,SF,75,74,2799,6.1,13.1,0.466,0.6,1.5,0.435,5.5,11.6,0.47,0.491,3,3.5,0.846,1.6,4.1,5.7,2.6,1.4,0.2,1.7,2.9,15.8,MIP-1,simmobo01
37,David Wesley,34,2TM,SG,80,79,2774,4.3,10.9,0.398,1.5,4.1,0.375,2.8,6.8,0.411,0.468,2.1,2.5,0.857,0.5,2.5,3,3.4,1.2,0.1,1.5,2.8,12.3,DPOY-16,wesleda01
38,David Wesley,34,NOH,SG,26,26,934,5.1,13.2,0.389,1.1,3.1,0.35,4,10.1,0.401,0.43,2.6,2.9,0.882,0.5,2.8,3.3,4.2,1.3,0,2.1,2.5,13.9,,wesleda01
39,David Wesley,34,HOU,SG,54,53,1840,3.9,9.7,0.404,1.8,4.6,0.383,2.2,5.1,0.422,0.494,1.9,2.2,0.841,0.5,2.3,2.8,3.1,1.2,0.2,1.2,2.9,11.5,,wesleda01
