Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Andrew Wiggins,21,MIN,SF,82,82,3048,8.4,18.5,0.452,1.2,3.4,0.356,7.2,15.1,0.473,0.484,4.9,6.4,0.76,1.2,2.7,3.9,2.2,1,0.4,2.2,2.2,22.8,,wiggian01
2,Karl-Anthony Towns,21,MIN,C,82,82,3030,9.5,17.6,0.542,1.2,3.3,0.367,8.3,14.3,0.582,0.576,4.2,5.1,0.832,3.5,8.4,12,2.6,0.7,1.2,2.5,2.9,24.5,,townska01
3,James Harden,27,HOU,PG,81,81,2947,8.2,18.7,0.44,3.2,9.2,0.347,5,9.5,0.53,0.525,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8,MVP-2ASNBA1,hardeja01
4,Giannis Antetokounmpo,22,MIL,SF,80,80,2845,8.3,15.9,0.521,0.6,2.3,0.272,7.7,13.7,0.563,0.541,6,7.7,0.77,1.8,7.1,8.9,5.5,1.7,1.9,3,3.1,23.2,MVP-7MIP-1ASNBA2,antetgi01
5,John Wall,26,WAS,PG,78,78,2836,8.2,18.2,0.451,1.1,3.5,0.327,7.1,14.8,0.48,0.482,5.4,6.7,0.801,0.7,3.4,4.1,10.5,2,0.6,4.1,1.9,22.9,MVP-7ASNBA3,walljo01
6,Jimmy Butler,27,CHI,SF,76,75,2809,7.3,16,0.455,1.2,3.2,0.367,6.1,12.9,0.477,0.492,7.5,8.7,0.865,1.7,4.4,6,5.3,1.8,0.4,2,1.4,23.3,ASNBA3,butleji01
7,Harrison Barnes,24,DAL,PF,79,79,2803,7.7,16.4,0.468,1,2.9,0.351,6.7,13.6,0.492,0.498,3.1,3.6,0.861,1.2,3.9,5.1,1.5,0.8,0.2,1.3,1.6,19.5,,barneha02
8,Russell Westbrook,28,OKC,PG,81,81,2802,10.6,24.9,0.425,2.6,7.5,0.343,8,17.4,0.459,0.476,9.1,10.8,0.845,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9,MVP-1ASNBA1,westbru01
9,CJ McCollum,25,POR,SG,80,80,2796,8.9,18.6,0.48,2.4,5.7,0.421,6.5,12.9,0.506,0.544,3.5,3.8,0.912,0.8,2.9,3.7,3.7,0.9,0.5,2.2,2.6,23.7,,mccolcj01
10,LeBron James,32,CLE,SF,74,74,2794,9.5,17.3,0.548,1.6,4.4,0.363,7.9,12.9,0.611,0.594,4.6,6.8,0.674,1.2,7,8.2,8.3,1.2,0.6,3.9,1.7,25.2,MVP-4DPOY-5ASNBA1,jamesle01
11,Trevor Ariza,31,HOU,SF,80,80,2773,4.2,10.4,0.409,2.5,7.2,0.344,1.8,3.2,0.556,0.528,1.2,1.6,0.738,0.7,5.2,5.9,2.3,1.9,0.3,0.9,1.7,12.2,,arizatr01
12,Rudy Gobert,24,UTA,C,81,81,2744,5.4,8.2,0.661,0,0,0,5.4,8.2,0.662,0.661,4.1,6.2,0.653,4.1,9.5,13.6,1.3,0.6,2.8,1.9,3.2,14.9,DPOY-2NBA2,goberru01
